Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,68.6,63.5,365200.0,337946.0,27254.0,7.5
2012,Feb,68.4,63.4,364748.0,337774.0,26974.0,7.4
2012,Mar,68.3,63.3,364426.0,337625.0,26801.0,7.4
2012,Apr,68.2,63.2,364174.0,337455.0,26719.0,7.3
2012,May,68.1,63.1,364032.0,337365.0,26667.0,7.3
2012,Jun,68.0,63.1,363960.0,337406.0,26554.0,7.3
2012,Jul,67.9,63.0,363887.0,337576.0,26311.0,7.2
2012,Aug,67.9,63.0,363879.0,337853.0,26026.0,7.2
2012,Sep,67.9,63.1,364057.0,338216.0,25841.0,7.1
2012,Oct,67.9,63.1,364283.0,338526.0,25757.0,7.1
2012,Nov,67.9,63.1,364384.0,338657.0,25727.0,7.1
2012,Dec,67.8,63.0,364287.0,338581.0,25706.0,7.1
2013,Jan,67.7,63.0,364023.0,338344.0,25679.0,7.1
2013,Feb,67.7,62.9,363684.0,338057.0,25627.0,7.0
2013,Mar,67.6,62.8,363411.0,337876.0,25535.0,7.0
2013,Apr,67.6,62.8,363341.0,337923.0,25418.0,7.0
2013,May,67.5,62.8,363431.0,338083.0,25348.0,7.0
2013,Jun,67.6,62.8,363613.0,338220.0,25393.0,7.0
2013,Jul,67.5,62.8,363803.0,338308.0,25495.0,7.0
2013,Aug,67.5,62.8,363845.0,338340.0,25505.0,7.0
2013,Sep,67.5,62.7,363710.0,338320.0,25390.0,7.0
2013,Oct,67.4,62.7,363558.0,338279.0,25279.0,7.0
2013,Nov,67.4,62.7,363547.0,338306.0,25241.0,6.9
2013,Dec,67.4,62.7,363695.0,338449.0,25246.0,6.9
2014,Jan,67.4,62.8,363966.0,338735.0,25231.0,6.9
2014,Feb,67.5,62.9,364333.0,339157.0,25176.0,6.9
2014,Mar,67.6,62.9,364723.0,339585.0,25138.0,6.9
2014,Apr,67.6,62.9,364982.0,339829.0,25153.0,6.9
2014,May,67.6,62.9,365047.0,339891.0,25156.0,6.9
2014,Jun,67.6,62.9,364977.0,339893.0,25084.0,6.9
2014,Jul,67.5,62.9,364744.0,339820.0,24924.0,6.8
2014,Aug,67.4,62.9,364445.0,339777.0,24668.0,6.8
2014,Sep,67.3,62.8,364135.0,339845.0,24290.0,6.7
2014,Oct,67.2,62.8,363829.0,340035.0,23794.0,6.5
2014,Nov,67.2,62.9,363530.0,340262.0,23268.0,6.4
2014,Dec,67.1,62.9,363338.0,340470.0,22868.0,6.3
2015,Jan,67.1,62.9,363226.0,340538.0,22688.0,6.2
2015,Feb,67.0,62.8,363134.0,340415.0,22719.0,6.3
2015,Mar,67.0,62.8,363053.0,340222.0,22831.0,6.3
2015,Apr,67.0,62.8,362975.0,340096.0,22879.0,6.3
2015,May,66.9,62.7,362798.0,339977.0,22821.0,6.3
2015,Jun,66.8,62.7,362477.0,339787.0,22690.0,6.3
2015,Jul,66.8,62.6,362134.0,339558.0,22576.0,6.2
2015,Aug,66.6,62.5,361851.0,339307.0,22544.0,6.2
2015,Sep,66.6,62.4,361622.0,339036.0,22586.0,6.2
2015,Oct,66.5,62.3,361498.0,338801.0,22697.0,6.3
2015,Nov,66.4,62.2,361518.0,338641.0,22877.0,6.3
2015,Dec,66.4,62.2,361660.0,338572.0,23088.0,6.4
2016,Jan,66.4,62.1,361853.0,338581.0,23272.0,6.4
2016,Feb,66.4,62.1,362043.0,338619.0,23424.0,6.5
2016,Mar,66.4,62.1,362120.0,338578.0,23542.0,6.5
2016,Apr,66.3,62.0,362119.0,338457.0,23662.0,6.5
2016,May,66.3,61.9,362119.0,338314.0,23805.0,6.6
2016,Jun,66.2,61.9,362098.0,338159.0,23939.0,6.6
2016,Jul,66.2,61.8,362029.0,338000.0,24029.0,6.6
2016,Aug,66.1,61.7,361944.0,337853.0,24091.0,6.7
2016,Sep,66.1,61.7,361974.0,337799.0,24175.0,6.7
2016,Oct,66.2,61.7,362112.0,337870.0,24242.0,6.7
2016,Nov,66.2,61.7,362298.0,338067.0,24231.0,6.7
2016,Dec,66.2,61.8,362459.0,338328.0,24131.0,6.7
2017,Jan,66.2,61.8,361868.0,337962.0,23906.0,6.6
2017,Feb,66.2,61.9,361924.0,338214.0,23710.0,6.6
2017,Mar,66.2,61.9,361919.0,338359.0,23560.0,6.5
2017,Apr,66.2,61.9,361816.0,338325.0,23491.0,6.5
2017,May,66.2,61.9,361601.0,338131.0,23470.0,6.5
2017,Jun,66.1,61.8,361303.0,337822.0,23481.0,6.5
2017,Jul,66.1,61.7,360916.0,337403.0,23513.0,6.5
2017,Aug,66.0,61.6,360404.0,336888.0,23516.0,6.5
2017,Sep,65.8,61.5,359766.0,336298.0,23468.0,6.5
2017,Oct,65.7,61.4,359052.0,335702.0,23350.0,6.5
2017,Nov,65.6,61.3,358314.0,335142.0,23172.0,6.5
2017,Dec,65.5,61.3,357632.0,334722.0,22910.0,6.4
2018,Jan,65.4,61.2,357116.0,334533.0,22583.0,6.3
2018,Feb,65.3,61.3,356817.0,334598.0,22219.0,6.2
2018,Mar,65.3,61.3,356698.0,334855.0,21843.0,6.1
2018,Apr,65.3,61.4,356583.0,335100.0,21483.0,6.0
2018,May,65.3,61.4,356371.0,335170.0,21201.0,5.9
2018,Jun,65.2,61.4,356039.0,335039.0,21000.0,5.9
2018,Jul,65.2,61.4,355570.0,334734.0,20836.0,5.9
2018,Aug,65.1,61.3,355011.0,334274.0,20737.0,5.8
2018,Sep,65.0,61.2,354415.0,333683.0,20732.0,5.8
2018,Oct,64.9,61.1,353898.0,333099.0,20799.0,5.9
