Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,60.2,55.8,1362428.0,1261262.0,101166.0,7.4
2012,Feb,60.1,55.7,1360339.0,1260404.0,99935.0,7.3
2012,Mar,60.0,55.6,1358109.0,1258810.0,99299.0,7.3
2012,Apr,59.9,55.5,1355831.0,1256764.0,99067.0,7.3
2012,May,59.8,55.4,1353594.0,1254657.0,98937.0,7.3
2012,Jun,59.6,55.3,1351226.0,1252563.0,98663.0,7.3
2012,Jul,59.5,55.2,1348643.0,1250599.0,98044.0,7.3
2012,Aug,59.3,55.1,1346157.0,1248907.0,97250.0,7.2
2012,Sep,59.2,55.0,1344172.0,1247567.0,96605.0,7.2
2012,Oct,59.1,54.9,1342472.0,1246289.0,96183.0,7.2
2012,Nov,59.0,54.8,1340897.0,1244873.0,96024.0,7.2
2012,Dec,58.9,54.7,1339452.0,1243386.0,96066.0,7.2
2013,Jan,58.9,54.6,1338053.0,1241811.0,96242.0,7.2
2013,Feb,58.8,54.6,1336764.0,1240366.0,96398.0,7.2
2013,Mar,58.7,54.5,1335682.0,1239345.0,96337.0,7.2
2013,Apr,58.7,54.5,1334874.0,1238821.0,96053.0,7.2
2013,May,58.6,54.4,1334104.0,1238431.0,95673.0,7.2
2013,Jun,58.6,54.4,1333280.0,1237985.0,95295.0,7.1
2013,Jul,58.5,54.3,1332281.0,1237390.0,94891.0,7.1
2013,Aug,58.4,54.3,1330709.0,1236614.0,94095.0,7.1
2013,Sep,58.3,54.2,1328616.0,1235898.0,92718.0,7.0
2013,Oct,58.2,54.2,1326715.0,1235660.0,91055.0,6.9
2013,Nov,58.1,54.2,1325461.0,1236175.0,89286.0,6.7
2013,Dec,58.1,54.2,1324767.0,1237331.0,87436.0,6.6
2014,Jan,58.0,54.3,1324443.0,1238994.0,85449.0,6.5
2014,Feb,58.0,54.4,1324270.0,1240888.0,83382.0,6.3
2014,Mar,58.0,54.4,1324213.0,1242674.0,81539.0,6.2
2014,Apr,58.0,54.5,1324212.0,1244129.0,80083.0,6.0
2014,May,58.0,54.5,1324336.0,1245446.0,78890.0,6.0
2014,Jun,58.0,54.6,1324928.0,1247064.0,77864.0,5.9
2014,Jul,58.0,54.6,1326166.0,1249184.0,76982.0,5.8
2014,Aug,58.0,54.7,1328224.0,1251928.0,76296.0,5.7
2014,Sep,58.1,54.8,1330805.0,1255079.0,75726.0,5.7
2014,Oct,58.2,54.9,1333104.0,1258078.0,75026.0,5.6
2014,Nov,58.2,55.0,1334565.0,1260362.0,74203.0,5.6
2014,Dec,58.2,55.0,1335449.0,1261924.0,73525.0,5.5
2015,Jan,58.2,55.1,1336169.0,1263086.0,73083.0,5.5
2015,Feb,58.3,55.1,1336952.0,1264167.0,72785.0,5.4
2015,Mar,58.3,55.1,1337920.0,1265637.0,72283.0,5.4
2015,Apr,58.3,55.2,1338983.0,1267673.0,71310.0,5.3
2015,May,58.3,55.3,1339839.0,1269993.0,69846.0,5.2
2015,Jun,58.3,55.4,1340124.0,1272125.0,67999.0,5.1
2015,Jul,58.3,55.4,1339927.0,1273942.0,65985.0,4.9
2015,Aug,58.2,55.4,1339528.0,1275545.0,63983.0,4.8
2015,Sep,58.2,55.5,1339273.0,1277195.0,62078.0,4.6
2015,Oct,58.2,55.6,1339813.0,1279410.0,60403.0,4.5
2015,Nov,58.2,55.7,1341300.0,1282346.0,58954.0,4.4
2015,Dec,58.3,55.8,1343071.0,1285465.0,57606.0,4.3
2016,Jan,58.3,55.9,1344484.0,1288132.0,56352.0,4.2
2016,Feb,58.3,55.9,1345263.0,1289972.0,55291.0,4.1
2016,Mar,58.3,55.9,1345319.0,1290874.0,54445.0,4.0
2016,Apr,58.2,55.9,1344939.0,1291027.0,53912.0,4.0
2016,May,58.2,55.9,1344591.0,1290913.0,53678.0,4.0
2016,Jun,58.2,55.9,1344422.0,1290844.0,53578.0,4.0
2016,Jul,58.1,55.8,1344309.0,1290861.0,53448.0,4.0
2016,Aug,58.1,55.8,1344072.0,1290838.0,53234.0,4.0
2016,Sep,58.0,55.8,1343648.0,1290648.0,53000.0,3.9
2016,Oct,58.0,55.7,1342910.0,1290250.0,52660.0,3.9
2016,Nov,57.9,55.7,1342237.0,1290085.0,52152.0,3.9
2016,Dec,57.9,55.7,1342177.0,1290651.0,51526.0,3.8
2017,Jan,58.1,55.9,1340807.0,1290170.0,50637.0,3.8
2017,Feb,58.2,56.0,1342683.0,1292667.0,50016.0,3.7
2017,Mar,58.2,56.1,1345009.0,1295409.0,49600.0,3.7
2017,Apr,58.3,56.2,1347419.0,1297981.0,49438.0,3.7
2017,May,58.4,56.3,1349569.0,1300097.0,49472.0,3.7
2017,Jun,58.4,56.3,1351134.0,1301422.0,49712.0,3.7
2017,Jul,58.5,56.3,1351933.0,1301824.0,50109.0,3.7
2017,Aug,58.4,56.2,1351813.0,1301295.0,50518.0,3.7
2017,Sep,58.4,56.2,1350879.0,1300061.0,50818.0,3.8
2017,Oct,58.3,56.1,1349529.0,1298573.0,50956.0,3.8
2017,Nov,58.2,56.0,1348158.0,1297139.0,51019.0,3.8
2017,Dec,58.1,55.9,1347206.0,1296258.0,50948.0,3.8
2018,Jan,58.1,55.9,1346988.0,1296221.0,50767.0,3.8
2018,Feb,58.1,56.0,1347645.0,1297171.0,50474.0,3.7
2018,Mar,58.2,56.0,1348903.0,1298923.0,49980.0,3.7
2018,Apr,58.2,56.1,1349993.0,1300735.0,49258.0,3.6
2018,May,58.2,56.1,1350426.0,1301908.0,48518.0,3.6
2018,Jun,58.2,56.1,1350393.0,1302450.0,47943.0,3.6
2018,Jul,58.2,56.1,1350271.0,1302622.0,47649.0,3.5
2018,Aug,58.2,56.1,1350725.0,1302919.0,47806.0,3.5
2018,Sep,58.2,56.1,1352197.0,1303757.0,48440.0,3.6
2018,Oct,58.3,56.2,1354601.0,1305344.0,49257.0,3.6
2018,Nov,58.4,56.2,1357512.0,1307684.0,49828.0,3.7
2018,Dec,58.5,56.3,1360370.0,1310519.0,49851.0,3.7
2019,Jan,58.6,56.5,1362602.0,1313365.0,49237.0,3.6
2019,Feb,58.6,56.5,1363906.0,1315774.0,48132.0,3.5
2019,Mar,58.6,56.6,1364259.0,1317269.0,46990.0,3.4
2019,Apr,58.6,56.6,1364020.0,1317875.0,46145.0,3.4
2019,May,58.6,56.6,1363616.0,1317815.0,45801.0,3.4
2019,Jun,58.5,56.6,1363502.0,1317463.0,46039.0,3.4
2019,Jul,58.5,56.5,1364006.0,1317280.0,46726.0,3.4
2019,Aug,58.5,56.5,1365145.0,1317678.0,47467.0,3.5
