Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,69.3,63.5,2747283.0,2517729.0,229554.0,8.4
2012,Feb,69.2,63.4,2744941.0,2517116.0,227825.0,8.3
2012,Mar,69.1,63.3,2743601.0,2516649.0,226952.0,8.3
2012,Apr,69.0,63.3,2743294.0,2516847.0,226447.0,8.3
2012,May,68.9,63.2,2744233.0,2518570.0,225663.0,8.2
2012,Jun,68.8,63.2,2746042.0,2521989.0,224053.0,8.2
2012,Jul,68.8,63.2,2748077.0,2526809.0,221268.0,8.1
2012,Aug,68.7,63.3,2750560.0,2532901.0,217659.0,7.9
2012,Sep,68.7,63.4,2753956.0,2539967.0,213989.0,7.8
2012,Oct,68.7,63.4,2757466.0,2546891.0,210575.0,7.6
2012,Nov,68.7,63.5,2760368.0,2552987.0,207381.0,7.5
2012,Dec,68.6,63.5,2762211.0,2558031.0,204180.0,7.4
2013,Jan,68.5,63.5,2762675.0,2561687.0,200988.0,7.3
2013,Feb,68.4,63.5,2762415.0,2564483.0,197932.0,7.2
2013,Mar,68.3,63.5,2762705.0,2567602.0,195103.0,7.1
2013,Apr,68.3,63.5,2764238.0,2571622.0,192616.0,7.0
2013,May,68.2,63.5,2766305.0,2575647.0,190658.0,6.9
2013,Jun,68.2,63.5,2768303.0,2579085.0,189218.0,6.8
2013,Jul,68.1,63.5,2769662.0,2581932.0,187730.0,6.8
2013,Aug,68.0,63.4,2769322.0,2584166.0,185156.0,6.7
2013,Sep,67.8,63.4,2767570.0,2586419.0,181151.0,6.5
2013,Oct,67.7,63.4,2766264.0,2589867.0,176397.0,6.4
2013,Nov,67.6,63.4,2767651.0,2595558.0,172093.0,6.2
2013,Dec,67.6,63.5,2772177.0,2603433.0,168744.0,6.1
2014,Jan,67.7,63.6,2778644.0,2613030.0,165614.0,6.0
2014,Feb,67.8,63.8,2785590.0,2623718.0,161872.0,5.8
2014,Mar,67.8,64.0,2791859.0,2634418.0,157441.0,5.6
2014,Apr,67.8,64.1,2796320.0,2644060.0,152260.0,5.4
2014,May,67.8,64.2,2799033.0,2652822.0,146211.0,5.2
2014,Jun,67.7,64.3,2800957.0,2661226.0,139731.0,5.0
2014,Jul,67.6,64.4,2802732.0,2669021.0,133711.0,4.8
2014,Aug,67.6,64.5,2805239.0,2676304.0,128935.0,4.6
2014,Sep,67.5,64.5,2808186.0,2682837.0,125349.0,4.5
2014,Oct,67.4,64.5,2810762.0,2688227.0,122535.0,4.4
2014,Nov,67.3,64.5,2811968.0,2691945.0,120023.0,4.3
2014,Dec,67.2,64.4,2812244.0,2694387.0,117857.0,4.2
2015,Jan,67.1,64.3,2812740.0,2696305.0,116435.0,4.1
2015,Feb,67.0,64.3,2813690.0,2698184.0,115506.0,4.1
2015,Mar,66.9,64.2,2815196.0,2700859.0,114337.0,4.1
2015,Apr,66.9,64.2,2817304.0,2704794.0,112510.0,4.0
2015,May,66.8,64.2,2819533.0,2709579.0,109954.0,3.9
2015,Jun,66.7,64.2,2821315.0,2714525.0,106790.0,3.8
2015,Jul,66.6,64.2,2823037.0,2719557.0,103480.0,3.7
2015,Aug,66.5,64.2,2825443.0,2724952.0,100491.0,3.6
2015,Sep,66.5,64.2,2829407.0,2731343.0,98064.0,3.5
2015,Oct,66.5,64.3,2835695.0,2739313.0,96382.0,3.4
2015,Nov,66.6,64.4,2844179.0,2748716.0,95463.0,3.4
