Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,67.4,61.7,1912351.0,1752189.0,160162.0,8.4
2012,Feb,67.2,61.6,1908624.0,1749642.0,158982.0,8.3
2012,Mar,67.0,61.4,1904314.0,1745620.0,158694.0,8.3
2012,Apr,66.8,61.2,1899200.0,1740242.0,158958.0,8.4
2012,May,66.6,61.0,1893644.0,1734363.0,159281.0,8.4
2012,Jun,66.4,60.8,1887999.0,1728720.0,159279.0,8.4
2012,Jul,66.1,60.6,1882615.0,1723907.0,158708.0,8.4
2012,Aug,66.0,60.4,1878205.0,1720408.0,157797.0,8.4
2012,Sep,65.8,60.3,1875209.0,1718236.0,156973.0,8.4
2012,Oct,65.7,60.2,1873204.0,1716902.0,156302.0,8.3
2012,Nov,65.6,60.2,1871522.0,1715773.0,155749.0,8.3
2012,Dec,65.6,60.1,1869431.0,1714212.0,155219.0,8.3
2013,Jan,65.4,60.0,1866718.0,1712022.0,154696.0,8.3
2013,Feb,65.3,59.9,1864254.0,1710153.0,154101.0,8.3
2013,Mar,65.3,59.9,1863120.0,1709824.0,153296.0,8.2
2013,Apr,65.3,60.0,1863931.0,1711614.0,152317.0,8.2
2013,May,65.4,60.1,1866153.0,1714775.0,151378.0,8.1
2013,Jun,65.4,60.2,1868813.0,1718256.0,150557.0,8.1
2013,Jul,65.5,60.2,1870801.0,1721124.0,149677.0,8.0
2013,Aug,65.5,60.3,1871349.0,1723188.0,148161.0,7.9
2013,Sep,65.4,60.3,1870764.0,1724994.0,145770.0,7.8
2013,Oct,65.4,60.4,1870128.0,1727081.0,143047.0,7.6
2013,Nov,65.4,60.5,1870266.0,1729880.0,140386.0,7.5
2013,Dec,65.4,60.6,1871503.0,1733625.0,137878.0,7.4
2014,Jan,65.4,60.7,1873722.0,1738339.0,135383.0,7.2
2014,Feb,65.5,60.9,1876435.0,1743577.0,132858.0,7.1
2014,Mar,65.6,61.0,1879255.0,1748668.0,130587.0,6.9
2014,Apr,65.7,61.2,1882025.0,1753324.0,128701.0,6.8
2014,May,65.8,61.3,1884757.0,1757743.0,127014.0,6.7
2014,Jun,65.8,61.5,1887936.0,1762463.0,125473.0,6.6
2014,Jul,65.9,61.6,1891461.0,1767363.0,124098.0,6.6
2014,Aug,66.0,61.8,1894819.0,1771979.0,122840.0,6.5
2014,Sep,66.1,61.9,1897546.0,1776030.0,121516.0,6.4
2014,Oct,66.2,62.0,1899432.0,1779699.0,119733.0,6.3
2014,Nov,66.2,62.1,1900520.0,1783052.0,117468.0,6.2
2014,Dec,66.2,62.2,1901233.0,1786010.0,115223.0,6.1
2015,Jan,66.2,62.3,1901701.0,1788370.0,113331.0,6.0
2015,Feb,66.2,62.3,1901730.0,1789810.0,111920.0,5.9
2015,Mar,66.2,62.4,1900978.0,1790269.0,110709.0,5.8
2015,Apr,66.1,62.3,1899181.0,1789732.0,109449.0,5.8
2015,May,66.0,62.3,1896379.0,1788339.0,108040.0,5.7
2015,Jun,65.9,62.2,1892772.0,1786301.0,106471.0,5.6
2015,Jul,65.8,62.1,1889106.0,1784137.0,104969.0,5.6
2015,Aug,65.7,62.0,1886215.0,1782474.0,103741.0,5.5
2015,Sep,65.6,62.0,1884305.0,1781625.0,102680.0,5.4
2015,Oct,65.5,62.0,1883557.0,1781801.0,101756.0,5.4
2015,Nov,65.6,62.0,1883966.0,1782985.0,100981.0,5.4
2015,Dec,65.6,62.1,1884911.0,1784830.0,100081.0,5.3
2016,Jan,65.6,62.2,1885910.0,1787016.0,98894.0,5.2
2016,Feb,65.7,62.3,1886939.0,1789442.0,97497.0,5.2
2016,Mar,65.7,62.4,1888081.0,1792129.0,95952.0,5.1
2016,Apr,65.7,62.5,1889305.0,1794839.0,94466.0,5.0
2016,May,65.8,62.5,1890682.0,1797493.0,93189.0,4.9
2016,Jun,65.8,62.6,1892133.0,1800092.0,92041.0,4.9
2016,Jul,65.9,62.7,1893536.0,1802669.0,90867.0,4.8
2016,Aug,65.9,62.8,1894991.0,1805214.0,89777.0,4.7
2016,Sep,66.0,62.9,1896690.0,1807641.0,89049.0,4.7
2016,Oct,66.0,62.9,1898583.0,1810005.0,88578.0,4.7
2016,Nov,66.1,63.0,1900809.0,1812673.0,88136.0,4.6
2016,Dec,66.2,63.1,1903587.0,1815897.0,87690.0,4.6
2017,Jan,66.4,63.4,1924150.0,1836282.0,87868.0,4.6
2017,Feb,66.5,63.5,1927400.0,1840062.0,87338.0,4.5
2017,Mar,66.6,63.6,1929652.0,1842864.0,86788.0,4.5
2017,Apr,66.6,63.6,1930564.0,1844343.0,86221.0,4.5
2017,May,66.6,63.6,1930068.0,1844470.0,85598.0,4.4
2017,Jun,66.5,63.6,1928233.0,1843190.0,85043.0,4.4
2017,Jul,66.4,63.5,1925520.0,1840878.0,84642.0,4.4
2017,Aug,66.2,63.3,1922196.0,1837969.0,84227.0,4.4
2017,Sep,66.1,63.2,1918762.0,1835036.0,83726.0,4.4
2017,Oct,66.0,63.1,1915879.0,1832749.0,83130.0,4.3
2017,Nov,65.9,63.0,1913860.0,1831392.0,82468.0,4.3
2017,Dec,65.8,63.0,1913150.0,1831551.0,81599.0,4.3
2018,Jan,65.9,63.1,1914126.0,1833522.0,80604.0,4.2
2018,Feb,65.9,63.2,1917006.0,1837410.0,79596.0,4.2
2018,Mar,66.1,63.4,1921347.0,1842774.0,78573.0,4.1
2018,Apr,66.2,63.6,1926073.0,1848578.0,77495.0,4.0
2018,May,66.4,63.7,1930061.0,1853593.0,76468.0,4.0
2018,Jun,66.4,63.8,1932975.0,1857475.0,75500.0,3.9
2018,Jul,66.5,63.9,1934953.0,1860403.0,74550.0,3.9
2018,Aug,66.5,64.0,1936517.0,1862712.0,73805.0,3.8
2018,Sep,66.6,64.0,1937971.0,1864603.0,73368.0,3.8
2018,Oct,66.6,64.1,1939340.0,1866228.0,73112.0,3.8
2018,Nov,66.6,64.1,1940661.0,1867834.0,72827.0,3.8
2018,Dec,66.7,64.2,1941904.0,1869577.0,72327.0,3.7
2019,Jan,66.7,64.3,1942918.0,1871367.0,71551.0,3.7
2019,Feb,66.7,64.3,1943590.0,1873144.0,70446.0,3.6
2019,Mar,66.8,64.4,1944162.0,1874877.0,69285.0,3.6
2019,Apr,66.8,64.5,1945128.0,1876820.0,68308.0,3.5
2019,May,66.9,64.5,1946722.0,1879011.0,67711.0,3.5
2019,Jun,66.9,64.6,1948897.0,1881282.0,67615.0,3.5
2019,Jul,67.0,64.7,1951186.0,1883233.0,67953.0,3.5
2019,Aug,67.0,64.7,1953344.0,1884967.0,68377.0,3.5
2019,Sep,67.1,64.8,1955509.0,1887112.0,68397.0,3.5
2019,Oct,67.2,64.8,1957603.0,1889362.0,68241.0,3.5
2019,Nov,67.2,64.9,1959190.0,1891108.0,68082.0,3.5
2019,Dec,67.2,64.8,1958825.0,1890967.0,67858.0,3.5
2020,Jan,67.1,64.8,1955906.0,1888465.0,67441.0,3.4
2020,Feb,66.9,64.6,1950771.0,1883931.0,66840.0,3.4
2020,Mar,66.7,64.4,1944775.0,1878877.0,65898.0,3.4
2020,Apr,63.1,58.1,1840803.0,1694407.0,146396.0,8.0
2020,May,65.7,58.2,1915301.0,1696323.0,218978.0,11.4
2020,Jun,65.5,58.2,1908325.0,1696962.0,211363.0,11.1
2020,Jul,65.8,58.4,1916680.0,1702587.0,214093.0,11.2
2020,Aug,64.6,58.5,1884280.0,1705729.0,178551.0,9.5
2020,Sep,64.4,58.7,1878425.0,1710459.0,167966.0,8.9
2020,Oct,63.8,58.6,1861060.0,1710946.0,150114.0,8.1
2020,Nov,63.6,58.6,1856081.0,1711450.0,144631.0,7.8
2020,Dec,63.5,58.6,1853792.0,1711536.0,142256.0,7.7
2021,Jan,63.3,58.6,1847172.0,1712261.0,134911.0,7.3
2021,Feb,63.2,58.7,1846719.0,1714601.0,132118.0,7.2
2021,Mar,63.3,58.8,1847871.0,1718902.0,128969.0,7.0
2021,Apr,63.5,59.0,1853765.0,1724237.0,129528.0,7.0
2021,May,63.4,59.2,1853898.0,1730239.0,123659.0,6.7
2021,Jun,63.7,59.4,1861467.0,1736426.0,125041.0,6.7
2021,Jul,63.6,59.5,1859930.0,1742212.0,117718.0,6.3
2021,Aug,63.6,59.7,1861388.0,1748664.0,112724.0,6.1
2021,Sep,63.5,59.9,1859051.0,1754406.0,104645.0,5.6
2021,Oct,63.5,60.0,1860534.0,1759603.0,100931.0,5.4
2021,Nov,63.3,60.0,1856259.0,1759666.0,96593.0,5.2
2021,Dec,63.2,59.9,1853732.0,1759082.0,94650.0,5.1
2022,Jan,63.6,60.2,1867354.0,1768439.0,98915.0,5.3
