Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,62.3,58.0,446183.0,414872.0,31311.0,7.0
2012,Feb,62.3,57.9,446164.0,415034.0,31130.0,7.0
2012,Mar,62.2,57.9,446185.0,414992.0,31193.0,7.0
2012,Apr,62.2,57.8,446181.0,414769.0,31412.0,7.0
2012,May,62.1,57.7,446177.0,414524.0,31653.0,7.1
2012,Jun,62.1,57.7,446176.0,414378.0,31798.0,7.1
2012,Jul,62.0,57.6,446132.0,414347.0,31785.0,7.1
2012,Aug,62.0,57.6,446071.0,414386.0,31685.0,7.1
2012,Sep,61.9,57.5,446070.0,414465.0,31605.0,7.1
2012,Oct,61.8,57.4,446007.0,414443.0,31564.0,7.1
2012,Nov,61.7,57.3,445776.0,414226.0,31550.0,7.1
2012,Dec,61.6,57.2,445343.0,413820.0,31523.0,7.1
2013,Jan,61.4,57.1,444691.0,413236.0,31455.0,7.1
2013,Feb,61.3,57.0,443906.0,412611.0,31295.0,7.0
2013,Mar,61.1,56.9,443158.0,412171.0,30987.0,7.0
2013,Apr,61.0,56.8,442681.0,412135.0,30546.0,6.9
2013,May,60.9,56.8,442526.0,412480.0,30046.0,6.8
2013,Jun,60.9,56.8,442641.0,413085.0,29556.0,6.7
2013,Jul,60.9,56.9,442935.0,413831.0,29104.0,6.6
2013,Aug,60.8,56.9,443283.0,414660.0,28623.0,6.5
2013,Sep,60.8,57.0,443676.0,415572.0,28104.0,6.3
2013,Oct,60.8,57.0,444215.0,416563.0,27652.0,6.2
2013,Nov,60.8,57.1,444909.0,417594.0,27315.0,6.1
2013,Dec,60.9,57.2,445675.0,418596.0,27079.0,6.1
2014,Jan,60.9,57.3,446546.0,419663.0,26883.0,6.0
2014,Feb,61.0,57.4,447591.0,420921.0,26670.0,6.0
2014,Mar,61.1,57.5,448826.0,422367.0,26459.0,5.9
2014,Apr,61.2,57.7,450102.0,423844.0,26258.0,5.8
2014,May,61.3,57.8,451305.0,425282.0,26023.0,5.8
2014,Jun,61.4,57.9,452472.0,426731.0,25741.0,5.7
2014,Jul,61.5,58.1,453608.0,428207.0,25401.0,5.6
2014,Aug,61.6,58.2,454713.0,429692.0,25021.0,5.5
2014,Sep,61.7,58.3,455690.0,431084.0,24606.0,5.4
2014,Oct,61.7,58.4,456448.0,432329.0,24119.0,5.3
2014,Nov,61.7,58.5,457025.0,433436.0,23589.0,5.2
2014,Dec,61.7,58.6,457575.0,434437.0,23138.0,5.1
2015,Jan,61.7,58.7,458168.0,435330.0,22838.0,5.0
2015,Feb,61.8,58.7,458835.0,436141.0,22694.0,4.9
2015,Mar,61.8,58.8,459628.0,437007.0,22621.0,4.9
2015,Apr,61.9,58.9,460528.0,437998.0,22530.0,4.9
2015,May,62.0,58.9,461456.0,439061.0,22395.0,4.9
2015,Jun,62.0,59.0,462330.0,440105.0,22225.0,4.8
2015,Jul,62.1,59.1,463176.0,441109.0,22067.0,4.8
2015,Aug,62.1,59.2,464036.0,442091.0,21945.0,4.7
2015,Sep,62.2,59.2,464940.0,443116.0,21824.0,4.7
2015,Oct,62.2,59.3,465959.0,444262.0,21697.0,4.7
2015,Nov,62.3,59.4,467051.0,445489.0,21562.0,4.6
2015,Dec,62.4,59.6,468016.0,446642.0,21374.0,4.6
2016,Jan,62.4,59.6,468654.0,447512.0,21142.0,4.5
2016,Feb,62.4,59.6,468905.0,447972.0,20933.0,4.5
2016,Mar,62.4,59.6,468851.0,448073.0,20778.0,4.4
2016,Apr,62.3,59.5,468680.0,447969.0,20711.0,4.4
2016,May,62.2,59.5,468563.0,447804.0,20759.0,4.4
2016,Jun,62.1,59.4,468515.0,447619.0,20896.0,4.5
2016,Jul,62.1,59.3,468517.0,447440.0,21077.0,4.5
2016,Aug,62.0,59.2,468615.0,447331.0,21284.0,4.5
2016,Sep,62.0,59.2,468865.0,447328.0,21537.0,4.6
2016,Oct,62.0,59.1,469237.0,447444.0,21793.0,4.6
2016,Nov,62.0,59.1,469756.0,447782.0,21974.0,4.7
2016,Dec,62.0,59.1,470473.0,448430.0,22043.0,4.7
2017,Jan,61.9,59.0,470994.0,448971.0,22023.0,4.7
2017,Feb,62.0,59.2,472026.0,450089.0,21937.0,4.6
2017,Mar,62.1,59.2,472954.0,451138.0,21816.0,4.6
2017,Apr,62.2,59.3,473834.0,452145.0,21689.0,4.6
2017,May,62.2,59.4,474720.0,453188.0,21532.0,4.5
2017,Jun,62.3,59.5,475584.0,454216.0,21368.0,4.5
2017,Jul,62.3,59.6,476348.0,455117.0,21231.0,4.5
2017,Aug,62.3,59.6,476879.0,455788.0,21091.0,4.4
2017,Sep,62.3,59.6,477134.0,456213.0,20921.0,4.4
2017,Oct,62.2,59.5,477200.0,456491.0,20709.0,4.3
2017,Nov,62.2,59.5,477198.0,456726.0,20472.0,4.3
2017,Dec,62.1,59.5,477330.0,457153.0,20177.0,4.2
2018,Jan,62.1,59.6,477849.0,458014.0,19835.0,4.2
2018,Feb,62.2,59.7,478859.0,459386.0,19473.0,4.1
2018,Mar,62.3,59.9,480089.0,460998.0,19091.0,4.0
2018,Apr,62.4,60.0,480979.0,462285.0,18694.0,3.9
2018,May,62.4,60.0,481216.0,462907.0,18309.0,3.8
2018,Jun,62.3,59.9,480865.0,462940.0,17925.0,3.7
2018,Jul,62.1,59.8,480159.0,462621.0,17538.0,3.7
2018,Aug,62.0,59.7,479524.0,462295.0,17229.0,3.6
2018,Sep,61.8,59.6,479275.0,462222.0,17053.0,3.6
2018,Oct,61.8,59.6,479610.0,462589.0,17021.0,3.5
2018,Nov,61.9,59.7,480528.0,463425.0,17103.0,3.6
