Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,60.6,55.0,9292160.0,8441097.0,851063.0,9.2
2012,Feb,60.6,55.1,9296328.0,8454837.0,841491.0,9.1
2012,Mar,60.5,55.1,9303773.0,8468399.0,835374.0,9.0
2012,Apr,60.5,55.1,9312582.0,8481558.0,831024.0,8.9
2012,May,60.5,55.1,9322199.0,8496177.0,826022.0,8.9
2012,Jun,60.5,55.2,9332286.0,8513758.0,818528.0,8.8
2012,Jul,60.5,55.3,9342026.0,8534305.0,807721.0,8.6
2012,Aug,60.5,55.3,9352027.0,8556664.0,795363.0,8.5
2012,Sep,60.5,55.4,9363037.0,8578931.0,784106.0,8.4
2012,Oct,60.4,55.4,9372631.0,8597972.0,774659.0,8.3
2012,Nov,60.4,55.5,9379264.0,8612023.0,767241.0,8.2
2012,Dec,60.3,55.5,9382701.0,8621568.0,761133.0,8.1
2013,Jan,60.3,55.4,9383321.0,8628007.0,755314.0,8.0
2013,Feb,60.2,55.4,9383328.0,8634844.0,748484.0,8.0
2013,Mar,60.2,55.4,9385906.0,8646346.0,739560.0,7.9
2013,Apr,60.2,55.5,9394008.0,8664776.0,729232.0,7.8
2013,May,60.2,55.6,9405649.0,8686257.0,719392.0,7.6
2013,Jun,60.2,55.6,9417639.0,8706200.0,711439.0,7.6
2013,Jul,60.1,55.6,9427528.0,8722512.0,705016.0,7.5
2013,Aug,60.1,55.6,9432470.0,8735091.0,697379.0,7.4
2013,Sep,60.0,55.6,9433614.0,8746255.0,687359.0,7.3
2013,Oct,59.9,55.6,9436839.0,8759566.0,677273.0,7.2
2013,Nov,59.9,55.7,9446215.0,8777668.0,668547.0,7.1
2013,Dec,59.9,55.7,9461489.0,8800149.0,661340.0,7.0
2014,Jan,59.9,55.8,9479786.0,8825090.0,654696.0,6.9
2014,Feb,60.0,55.9,9497821.0,8849988.0,647833.0,6.8
2014,Mar,60.0,55.9,9513557.0,8872130.0,641427.0,6.7
2014,Apr,60.0,56.0,9525298.0,8890013.0,635285.0,6.7
2014,May,59.9,56.0,9534040.0,8905898.0,628142.0,6.6
2014,Jun,59.9,56.0,9543064.0,8923099.0,619965.0,6.5
2014,Jul,59.9,56.1,9553381.0,8941700.0,611681.0,6.4
2014,Aug,59.9,56.1,9565595.0,8961454.0,604141.0,6.3
2014,Sep,59.8,56.1,9577872.0,8980727.0,597145.0,6.2
2014,Oct,59.8,56.1,9586098.0,8996931.0,589167.0,6.1
2014,Nov,59.7,56.1,9588482.0,9008617.0,579865.0,6.0
2014,Dec,59.6,56.0,9588236.0,9017099.0,571137.0,6.0
2015,Jan,59.5,56.0,9588873.0,9024705.0,564168.0,5.9
2015,Feb,59.4,56.0,9592040.0,9032822.0,559218.0,5.8
2015,Mar,59.4,55.9,9598497.0,9043681.0,554816.0,5.8
2015,Apr,59.3,55.9,9607811.0,9058084.0,549727.0,5.7
2015,May,59.3,56.0,9618147.0,9074570.0,543577.0,5.7
2015,Jun,59.3,56.0,9627791.0,9091449.0,536342.0,5.6
2015,Jul,59.2,56.0,9637406.0,9108581.0,528825.0,5.5
2015,Aug,59.2,56.0,9648341.0,9126443.0,521898.0,5.4
2015,Sep,59.1,56.0,9661738.0,9146394.0,515344.0,5.3
2015,Oct,59.1,56.0,9679856.0,9170460.0,509396.0,5.3
2015,Nov,59.2,56.1,9702643.0,9198031.0,504612.0,5.2
2015,Dec,59.2,56.2,9726210.0,9226214.0,499996.0,5.1
2016,Jan,59.2,56.2,9746916.0,9252093.0,494823.0,5.1
2016,Feb,59.2,56.3,9763853.0,9274276.0,489577.0,5.0
2016,Mar,59.2,56.3,9777290.0,9292824.0,484466.0,5.0
2016,Apr,59.2,56.3,9790156.0,9309537.0,480619.0,4.9
2016,May,59.2,56.3,9806455.0,9327449.0,479006.0,4.9
2016,Jun,59.2,56.3,9826989.0,9347749.0,479240.0,4.9
2016,Jul,59.2,56.3,9850017.0,9369741.0,480276.0,4.9
2016,Aug,59.3,56.4,9873290.0,9391728.0,481562.0,4.9
2016,Sep,59.3,56.4,9894617.0,9411626.0,482991.0,4.9
