Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,61.7,57.6,654711.0,611452.0,43259.0,6.6
2012,Feb,61.5,57.5,653076.0,610580.0,42496.0,6.5
2012,Mar,61.3,57.4,651755.0,609893.0,41862.0,6.4
2012,Apr,61.2,57.3,650783.0,609546.0,41237.0,6.3
2012,May,61.1,57.3,650165.0,609679.0,40486.0,6.2
2012,Jun,61.0,57.3,649786.0,610269.0,39517.0,6.1
2012,Jul,60.9,57.3,649583.0,611262.0,38321.0,5.9
2012,Aug,60.9,57.4,649534.0,612513.0,37021.0,5.7
2012,Sep,60.9,57.5,649620.0,613823.0,35797.0,5.5
2012,Oct,60.8,57.6,649565.0,614838.0,34727.0,5.3
2012,Nov,60.7,57.6,649173.0,615327.0,33846.0,5.2
2012,Dec,60.6,57.5,648487.0,615337.0,33150.0,5.1
2013,Jan,60.5,57.4,647730.0,615167.0,32563.0,5.0
2013,Feb,60.4,57.4,647257.0,615252.0,32005.0,4.9
2013,Mar,60.4,57.4,647266.0,615831.0,31435.0,4.9
2013,Apr,60.4,57.5,647794.0,616903.0,30891.0,4.8
2013,May,60.4,57.6,648702.0,618211.0,30491.0,4.7
2013,Jun,60.5,57.7,649806.0,619477.0,30329.0,4.7
2013,Jul,60.6,57.8,650974.0,620569.0,30405.0,4.7
2013,Aug,60.6,57.8,652138.0,621567.0,30571.0,4.7
2013,Sep,60.7,57.9,653325.0,622633.0,30692.0,4.7
2013,Oct,60.8,58.0,654646.0,623909.0,30737.0,4.7
2013,Nov,61.0,58.1,656212.0,625532.0,30680.0,4.7
2013,Dec,61.1,58.2,657879.0,627380.0,30499.0,4.6
2014,Jan,61.2,58.4,659402.0,629214.0,30188.0,4.6
2014,Feb,61.3,58.5,660678.0,630881.0,29797.0,4.5
2014,Mar,61.4,58.6,661775.0,632329.0,29446.0,4.4
2014,Apr,61.4,58.7,662692.0,633518.0,29174.0,4.4
2014,May,61.5,58.8,663424.0,634545.0,28879.0,4.4
2014,Jun,61.5,58.9,664120.0,635619.0,28501.0,4.3
2014,Jul,61.5,58.9,664779.0,636723.0,28056.0,4.2
2014,Aug,61.6,59.0,665410.0,637809.0,27601.0,4.1
2014,Sep,61.6,59.1,666039.0,638866.0,27173.0,4.1
2014,Oct,61.6,59.1,666609.0,639868.0,26741.0,4.0
2014,Nov,61.6,59.2,667024.0,640728.0,26296.0,3.9
2014,Dec,61.6,59.2,667398.0,641508.0,25890.0,3.9
2015,Jan,61.6,59.3,667875.0,642329.0,25546.0,3.8
2015,Feb,61.6,59.3,668343.0,643165.0,25178.0,3.8
2015,Mar,61.7,59.4,668758.0,644078.0,24680.0,3.7
2015,Apr,61.7,59.5,669187.0,645104.0,24083.0,3.6
2015,May,61.7,59.5,669614.0,646142.0,23472.0,3.5
2015,Jun,61.7,59.6,669943.0,647039.0,22904.0,3.4
2015,Jul,61.7,59.6,670277.0,647849.0,22428.0,3.3
2015,Aug,61.7,59.7,670776.0,648736.0,22040.0,3.3
2015,Sep,61.7,59.7,671504.0,649824.0,21680.0,3.2
2015,Oct,61.8,59.8,672548.0,651209.0,21339.0,3.2
2015,Nov,61.8,59.9,673778.0,652737.0,21041.0,3.1
2015,Dec,61.9,60.0,674900.0,654135.0,20765.0,3.1
2016,Jan,61.9,60.0,675700.0,655187.0,20513.0,3.0
2016,Feb,61.9,60.1,676234.0,655874.0,20360.0,3.0
2016,Mar,62.0,60.1,676608.0,656314.0,20294.0,3.0
2016,Apr,62.0,60.1,676978.0,656743.0,20235.0,3.0
2016,May,62.0,60.2,677630.0,657476.0,20154.0,3.0
2016,Jun,62.1,60.2,678662.0,658647.0,20015.0,2.9
2016,Jul,62.1,60.3,679858.0,660086.0,19772.0,2.9
2016,Aug,62.2,60.4,680909.0,661451.0,19458.0,2.9
2016,Sep,62.3,60.5,681639.0,662483.0,19156.0,2.8
2016,Oct,62.3,60.6,681999.0,663144.0,18855.0,2.8
2016,Nov,62.3,60.6,682195.0,663687.0,18508.0,2.7
2016,Dec,62.3,60.7,682432.0,664308.0,18124.0,2.7
2017,Jan,62.3,60.7,697290.0,679241.0,18049.0,2.6
2017,Feb,62.3,60.8,698076.0,680263.0,17813.0,2.6
2017,Mar,62.4,60.8,698739.0,681195.0,17544.0,2.5
2017,Apr,62.4,60.9,699003.0,681836.0,17167.0,2.5
2017,May,62.4,60.9,698628.0,682060.0,16568.0,2.4
2017,Jun,62.3,60.8,697513.0,681765.0,15748.0,2.3
2017,Jul,62.1,60.8,695816.0,681002.0,14814.0,2.1
2017,Aug,61.9,60.6,693848.0,679954.0,13894.0,2.0
2017,Sep,61.7,60.5,691983.0,678813.0,13170.0,1.9
2017,Oct,61.5,60.4,690640.0,677815.0,12825.0,1.9
2017,Nov,61.5,60.3,690058.0,677106.0,12952.0,1.9
2017,Dec,61.5,60.3,690394.0,676938.0,13456.0,1.9
2018,Jan,61.6,60.3,691605.0,677395.0,14210.0,2.1
2018,Feb,61.7,60.4,693399.0,678324.0,15075.0,2.2
2018,Mar,61.9,60.5,695255.0,679371.0,15884.0,2.3
2018,Apr,62.0,60.5,696488.0,680023.0,16465.0,2.4
2018,May,62.0,60.5,696557.0,679818.0,16739.0,2.4
2018,Jun,61.9,60.4,695460.0,678739.0,16721.0,2.4
2018,Jul,61.7,60.2,693476.0,677020.0,16456.0,2.4
2018,Aug,61.5,60.0,691084.0,674938.0,16146.0,2.3
2018,Sep,61.2,59.8,688755.0,672742.0,16013.0,2.3
2018,Oct,61.1,59.6,686908.0,670692.0,16216.0,2.4
2018,Nov,61.0,59.5,685747.0,668938.0,16809.0,2.5
2018,Dec,60.9,59.3,685240.0,667556.0,17684.0,2.6
2019,Jan,60.9,59.3,685158.0,666547.0,18611.0,2.7
2019,Feb,60.9,59.2,685255.0,665919.0,19336.0,2.8
2019,Mar,61.0,59.2,685374.0,665629.0,19745.0,2.9
2019,Apr,61.0,59.2,685423.0,665713.0,19710.0,2.9
2019,May,61.0,59.3,685361.0,666208.0,19153.0,2.8
2019,Jun,61.0,59.3,685149.0,667023.0,18126.0,2.6
2019,Jul,60.9,59.4,684632.0,667894.0,16738.0,2.4
2019,Aug,60.8,59.5,683925.0,668718.0,15207.0,2.2
2019,Sep,60.8,59.6,683497.0,669649.0,13848.0,2.0
2019,Oct,60.8,59.6,683631.0,670591.0,13040.0,1.9
2019,Nov,60.8,59.7,684365.0,671426.0,12939.0,1.9
2019,Dec,60.9,59.7,685205.0,671747.0,13458.0,2.0
2020,Jan,60.9,59.7,685559.0,671319.0,14240.0,2.1
2020,Feb,60.9,59.6,685148.0,670279.0,14869.0,2.2
2020,Mar,60.8,59.5,684233.0,669113.0,15120.0,2.2
2020,Apr,57.4,44.5,645069.0,500444.0,144625.0,22.4
2020,May,58.7,46.5,660015.0,522349.0,137666.0,20.9
2020,Jun,58.8,48.4,660242.0,543375.0,116867.0,17.7
2020,Jul,59.8,50.1,671547.0,562908.0,108639.0,16.2
2020,Aug,59.8,51.5,671577.0,578316.0,93261.0,13.9
2020,Sep,55.4,47.5,621205.0,532877.0,88328.0,14.2
2020,Oct,57.3,50.4,642471.0,564967.0,77504.0,12.1
2020,Nov,58.1,51.9,651730.0,581486.0,70244.0,10.8
2020,Dec,58.8,53.1,658833.0,594415.0,64418.0,9.8
2021,Jan,58.9,54.0,659102.0,604294.0,54808.0,8.3
2021,Feb,59.0,54.7,660593.0,612198.0,48395.0,7.3
2021,Mar,59.3,55.3,662910.0,618852.0,44058.0,6.6
2021,Apr,59.7,55.9,666715.0,624544.0,42171.0,6.3
2021,May,59.8,56.3,668460.0,629314.0,39146.0,5.9
2021,Jun,60.3,56.7,673261.0,633345.0,39916.0,5.9
2021,Jul,60.3,57.0,673359.0,636168.0,37191.0,5.5
2021,Aug,60.4,57.2,674105.0,638284.0,35821.0,5.3
2021,Sep,60.2,57.3,672069.0,639636.0,32433.0,4.8
2021,Oct,60.3,57.4,672416.0,640962.0,31454.0,4.7
2021,Nov,60.1,57.5,671162.0,641748.0,29414.0,4.4
2021,Dec,60.2,57.6,671468.0,642577.0,28891.0,4.3
2022,Jan,60.4,57.8,673681.0,644157.0,29524.0,4.4
