Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,66.0,59.9,6580816.0,5972028.0,608788.0,9.3
2012,Feb,65.9,59.9,6576290.0,5978214.0,598076.0,9.1
2012,Mar,65.9,59.9,6574536.0,5981261.0,593275.0,9.0
2012,Apr,65.8,59.9,6574291.0,5981264.0,593027.0,9.0
2012,May,65.8,59.9,6576078.0,5981247.0,594831.0,9.0
2012,Jun,65.9,59.9,6579685.0,5983696.0,595989.0,9.1
2012,Jul,65.9,59.9,6583994.0,5989315.0,594679.0,9.0
2012,Aug,65.9,60.0,6588983.0,5997041.0,591942.0,9.0
2012,Sep,65.9,60.0,6594683.0,6003932.0,590751.0,9.0
2012,Oct,65.9,60.0,6598498.0,6006076.0,592422.0,9.0
2012,Nov,65.9,60.0,6598094.0,6001684.0,596410.0,9.0
2012,Dec,65.8,59.8,6592899.0,5991770.0,601129.0,9.1
2013,Jan,65.7,59.7,6584280.0,5978819.0,605461.0,9.2
2013,Feb,65.6,59.6,6574749.0,5966349.0,608400.0,9.3
2013,Mar,65.6,59.5,6567333.0,5958222.0,609111.0,9.3
2013,Apr,65.5,59.4,6564365.0,5956555.0,607810.0,9.3
2013,May,65.5,59.4,6564150.0,5958543.0,605607.0,9.2
2013,Jun,65.5,59.5,6564252.0,5960949.0,603303.0,9.2
2013,Jul,65.4,59.4,6562584.0,5961642.0,600942.0,9.2
2013,Aug,65.4,59.4,6556695.0,5960397.0,596298.0,9.1
2013,Sep,65.2,59.4,6547345.0,5959101.0,588244.0,9.0
2013,Oct,65.2,59.4,6539322.0,5960606.0,578716.0,8.8
2013,Nov,65.1,59.4,6536335.0,5967239.0,569096.0,8.7
2013,Dec,65.1,59.5,6537549.0,5978331.0,559218.0,8.6
2014,Jan,65.1,59.7,6539433.0,5991934.0,547499.0,8.4
2014,Feb,65.1,59.8,6539294.0,6006418.0,532876.0,8.1
2014,Mar,65.1,59.9,6535796.0,6019511.0,516285.0,7.9
2014,Apr,65.0,60.0,6528094.0,6029065.0,499029.0,7.6
2014,May,64.9,60.1,6518261.0,6036226.0,482035.0,7.4
2014,Jun,64.8,60.1,6510457.0,6043882.0,466575.0,7.2
2014,Jul,64.7,60.2,6506321.0,6053007.0,453314.0,7.0
2014,Aug,64.7,60.3,6505638.0,6063338.0,442300.0,6.8
2014,Sep,64.7,60.4,6506203.0,6073599.0,432604.0,6.6
2014,Oct,64.7,60.5,6504445.0,6081936.0,422509.0,6.5
2014,Nov,64.6,60.5,6498807.0,6086861.0,411946.0,6.3
2014,Dec,64.6,60.6,6492057.0,6089359.0,402698.0,6.2
2015,Jan,64.5,60.6,6487628.0,6091476.0,396152.0,6.1
2015,Feb,64.5,60.6,6487282.0,6094125.0,393157.0,6.1
2015,Mar,64.6,60.7,6491517.0,6098798.0,392719.0,6.0
2015,Apr,64.7,60.7,6499013.0,6106082.0,392931.0,6.0
2015,May,64.7,60.8,6506301.0,6114433.0,391868.0,6.0
2015,Jun,64.8,60.9,6510435.0,6121275.0,389160.0,6.0
2015,Jul,64.8,60.9,6511967.0,6125787.0,386180.0,5.9
2015,Aug,64.8,61.0,6513391.0,6128765.0,384626.0,5.9
2015,Sep,64.8,61.0,6517227.0,6132095.0,385132.0,5.9
2015,Oct,64.9,61.1,6526537.0,6138315.0,388222.0,5.9
2015,Nov,65.1,61.2,6542574.0,6148366.0,394208.0,6.0
2015,Dec,65.3,61.3,6561973.0,6160489.0,401484.0,6.1
2016,Jan,65.5,61.4,6579309.0,6171894.0,407415.0,6.2
2016,Feb,65.6,61.5,6590470.0,6180514.0,409956.0,6.2
2016,Mar,65.6,61.6,6593404.0,6185600.0,407804.0,6.2
2016,Apr,65.6,61.6,6589117.0,6186891.0,402226.0,6.1
2016,May,65.5,61.6,6580544.0,6184932.0,395612.0,6.0
2016,Jun,65.4,61.5,6569841.0,6180798.0,389043.0,5.9
2016,Jul,65.3,61.5,6558534.0,6175653.0,382881.0,5.8
2016,Aug,65.2,61.4,6548208.0,6170083.0,378125.0,5.8
2016,Sep,65.1,61.3,6539107.0,6164292.0,374815.0,5.7
2016,Oct,65.0,61.3,6529612.0,6158816.0,370796.0,5.7
2016,Nov,64.9,61.3,6518407.0,6154569.0,363838.0,5.6
2016,Dec,64.8,61.2,6506520.0,6152559.0,353961.0,5.4
2017,Jan,64.7,61.3,6565989.0,6219411.0,346578.0,5.3
