Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,63.7,58.3,3195782.0,2926439.0,269343.0,8.4
2012,Feb,63.5,58.2,3188573.0,2924640.0,263933.0,8.3
2012,Mar,63.3,58.1,3180618.0,2919810.0,260808.0,8.2
2012,Apr,63.1,58.0,3172844.0,2913076.0,259768.0,8.2
2012,May,63.0,57.8,3166824.0,2906905.0,259919.0,8.2
2012,Jun,62.9,57.7,3163404.0,2903332.0,260072.0,8.2
2012,Jul,62.8,57.7,3162320.0,2902854.0,259466.0,8.2
2012,Aug,62.8,57.7,3163313.0,2904676.0,258637.0,8.2
2012,Sep,62.8,57.7,3166249.0,2907739.0,258510.0,8.2
2012,Oct,62.9,57.7,3169729.0,2910539.0,259190.0,8.2
2012,Nov,62.9,57.7,3172886.0,2912626.0,260260.0,8.2
2012,Dec,62.9,57.7,3175152.0,2914128.0,261024.0,8.2
2013,Jan,62.9,57.7,3176337.0,2915330.0,261007.0,8.2
2013,Feb,62.9,57.7,3177057.0,2917239.0,259818.0,8.2
2013,Mar,62.9,57.8,3178518.0,2921428.0,257090.0,8.1
2013,Apr,62.9,57.9,3181648.0,2928625.0,253023.0,8.0
2013,May,63.0,58.1,3185716.0,2937252.0,248464.0,7.8
2013,Jun,63.0,58.2,3190582.0,2946381.0,244201.0,7.7
2013,Jul,63.1,58.4,3196530.0,2956324.0,240206.0,7.5
2013,Aug,63.2,58.5,3201733.0,2966614.0,235119.0,7.3
2013,Sep,63.2,58.7,3204516.0,2976182.0,228334.0,7.1
2013,Oct,63.2,58.8,3205501.0,2984597.0,220904.0,6.9
2013,Nov,63.2,58.9,3206192.0,2992216.0,213976.0,6.7
2013,Dec,63.2,59.1,3207647.0,2999291.0,208356.0,6.5
2014,Jan,63.2,59.2,3210348.0,3006208.0,204140.0,6.4
2014,Feb,63.2,59.3,3214183.0,3013026.0,201157.0,6.3
2014,Mar,63.3,59.4,3218859.0,3019531.0,199328.0,6.2
2014,Apr,63.4,59.5,3222985.0,3024974.0,198011.0,6.1
2014,May,63.4,59.5,3226182.0,3030027.0,196155.0,6.1
2014,Jun,63.4,59.6,3228715.0,3035235.0,193480.0,6.0
2014,Jul,63.4,59.7,3230459.0,3039980.0,190479.0,5.9
2014,Aug,63.4,59.7,3233023.0,3044917.0,188106.0,5.8
2014,Sep,63.5,59.8,3237161.0,3050703.0,186458.0,5.8
2014,Oct,63.5,59.9,3241264.0,3056667.0,184597.0,5.7
2014,Nov,63.5,60.0,3243507.0,3061704.0,181803.0,5.6
2014,Dec,63.5,60.0,3243867.0,3065804.0,178063.0,5.5
2015,Jan,63.5,60.1,3243609.0,3069876.0,173733.0,5.4
2015,Feb,63.5,60.2,3243958.0,3074662.0,169296.0,5.2
2015,Mar,63.5,60.3,3245723.0,3080816.0,164907.0,5.1
2015,Apr,63.6,60.4,3249285.0,3088493.0,160792.0,4.9
2015,May,63.6,60.6,3254041.0,3096911.0,157130.0,4.8
2015,Jun,63.7,60.7,3258941.0,3105042.0,153899.0,4.7
2015,Jul,63.8,60.8,3264081.0,3112811.0,151270.0,4.6
2015,Aug,63.9,60.9,3269717.0,3120334.0,149383.0,4.6
2015,Sep,64.0,61.1,3276546.0,3128292.0,148254.0,4.5
2015,Oct,64.1,61.2,3286118.0,3137870.0,148248.0,4.5
2015,Nov,64.3,61.4,3298722.0,3149094.0,149628.0,4.5
2015,Dec,64.6,61.6,3312477.0,3160677.0,151800.0,4.6
