Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,69.9,66.2,1665187.0,1577773.0,87414.0,5.2
2012,Feb,69.8,66.2,1663580.0,1577533.0,86047.0,5.2
2012,Mar,69.7,66.1,1662015.0,1576690.0,85325.0,5.1
2012,Apr,69.6,66.0,1660230.0,1575227.0,85003.0,5.1
2012,May,69.5,65.9,1658427.0,1573642.0,84785.0,5.1
2012,Jun,69.4,65.8,1657167.0,1572697.0,84470.0,5.1
2012,Jul,69.3,65.8,1656736.0,1572880.0,83856.0,5.1
2012,Aug,69.3,65.8,1657235.0,1574109.0,83126.0,5.0
2012,Sep,69.3,65.9,1658681.0,1576085.0,82596.0,5.0
2012,Oct,69.3,65.9,1660482.0,1578228.0,82254.0,5.0
2012,Nov,69.4,65.9,1661913.0,1579766.0,82147.0,4.9
2012,Dec,69.4,65.9,1662647.0,1580457.0,82190.0,4.9
2013,Jan,69.3,65.9,1662643.0,1580382.0,82261.0,4.9
2013,Feb,69.3,65.9,1662690.0,1580469.0,82221.0,4.9
2013,Mar,69.3,65.9,1664171.0,1582269.0,81902.0,4.9
2013,Apr,69.5,66.1,1668153.0,1586806.0,81347.0,4.9
2013,May,69.7,66.3,1673821.0,1593137.0,80684.0,4.8
2013,Jun,69.9,66.5,1679506.0,1599483.0,80023.0,4.8
2013,Jul,70.0,66.7,1683993.0,1604608.0,79385.0,4.7
2013,Aug,70.1,66.8,1686408.0,1607835.0,78573.0,4.7
2013,Sep,70.0,66.8,1686554.0,1609044.0,77510.0,4.6
2013,Oct,69.9,66.8,1685404.0,1608832.0,76572.0,4.5
2013,Nov,69.9,66.7,1684452.0,1608558.0,75894.0,4.5
2013,Dec,69.8,66.7,1684792.0,1609386.0,75406.0,4.5
2014,Jan,69.9,66.8,1686880.0,1611910.0,74970.0,4.4
2014,Feb,70.0,66.9,1690118.0,1615655.0,74463.0,4.4
2014,Mar,70.1,67.0,1693311.0,1619332.0,73979.0,4.4
2014,Apr,70.2,67.1,1695751.0,1622168.0,73583.0,4.3
2014,May,70.2,67.2,1697727.0,1624533.0,73194.0,4.3
2014,Jun,70.3,67.2,1699665.0,1626906.0,72759.0,4.3
2014,Jul,70.3,67.3,1701256.0,1628984.0,72272.0,4.2
2014,Aug,70.3,67.3,1702696.0,1630943.0,71753.0,4.2
2014,Sep,70.3,67.4,1704150.0,1633086.0,71064.0,4.2
2014,Oct,70.3,67.5,1705341.0,1635343.0,69998.0,4.1
2014,Nov,70.3,67.5,1705842.0,1637265.0,68577.0,4.0
2014,Dec,70.3,67.5,1705596.0,1638437.0,67159.0,3.9
2015,Jan,70.2,67.5,1704798.0,1638800.0,65998.0,3.9
2015,Feb,70.2,67.5,1703904.0,1638715.0,65189.0,3.8
2015,Mar,70.1,67.5,1703231.0,1638687.0,64544.0,3.8
2015,Apr,70.1,67.5,1702323.0,1638444.0,63879.0,3.8
2015,May,70.0,67.4,1700817.0,1637661.0,63156.0,3.7
2015,Jun,69.9,67.3,1698838.0,1636400.0,62438.0,3.7
2015,Jul,69.8,67.2,1697034.0,1635142.0,61892.0,3.6
2015,Aug,69.7,67.2,1696005.0,1634411.0,61594.0,3.6
2015,Sep,69.7,67.2,1696155.0,1634605.0,61550.0,3.6
2015,Oct,69.7,67.2,1697907.0,1636189.0,61718.0,3.6
2015,Nov,69.8,67.3,1701237.0,1639252.0,61985.0,3.6
2015,Dec,70.0,67.4,1705328.0,1643195.0,62133.0,3.6
2016,Jan,70.1,67.6,1708738.0,1646660.0,62078.0,3.6
2016,Feb,70.2,67.6,1710383.0,1648419.0,61964.0,3.6
2016,Mar,70.1,67.6,1710050.0,1648133.0,61917.0,3.6
2016,Apr,70.0,67.5,1708496.0,1646486.0,62010.0,3.6
2016,May,69.9,67.4,1706702.0,1644496.0,62206.0,3.6
2016,Jun,69.8,67.3,1705132.0,1642812.0,62320.0,3.7
2016,Jul,69.7,67.2,1703877.0,1641745.0,62132.0,3.6
2016,Aug,69.7,67.1,1702459.0,1640827.0,61632.0,3.6
2016,Sep,69.5,67.1,1700400.0,1639444.0,60956.0,3.6
2016,Oct,69.4,66.9,1697326.0,1637247.0,60079.0,3.5
2016,Nov,69.2,66.8,1693569.0,1634566.0,59003.0,3.5
2016,Dec,69.0,66.7,1689919.0,1632092.0,57827.0,3.4
2017,Jan,69.0,66.7,1696536.0,1640207.0,56329.0,3.3
2017,Feb,68.9,66.7,1695743.0,1640706.0,55037.0,3.2
2017,Mar,68.9,66.7,1696350.0,1642428.0,53922.0,3.2
2017,Apr,68.9,66.8,1697896.0,1644766.0,53130.0,3.1
2017,May,69.0,66.9,1699561.0,1646955.0,52606.0,3.1
2017,Jun,69.0,66.9,1700553.0,1648287.0,52266.0,3.1
2017,Jul,69.0,66.9,1700544.0,1648568.0,51976.0,3.1
2017,Aug,68.9,66.8,1699477.0,1648009.0,51468.0,3.0
2017,Sep,68.8,66.7,1697774.0,1647100.0,50674.0,3.0
2017,Oct,68.7,66.7,1696152.0,1646476.0,49676.0,2.9
2017,Nov,68.6,66.7,1695053.0,1646441.0,48612.0,2.9
2017,Dec,68.6,66.7,1695075.0,1647607.0,47468.0,2.8
2018,Jan,68.7,66.8,1696976.0,1650712.0,46264.0,2.7
2018,Feb,68.8,67.0,1701026.0,1655931.0,45095.0,2.7
2018,Mar,69.1,67.3,1706429.0,1662427.0,44002.0,2.6
2018,Apr,69.2,67.5,1711544.0,1668519.0,43025.0,2.5
2018,May,69.4,67.7,1715246.0,1672897.0,42349.0,2.5
2018,Jun,69.4,67.7,1717407.0,1675364.0,42043.0,2.4
2018,Jul,69.4,67.7,1718261.0,1676213.0,42048.0,2.4
2018,Aug,69.4,67.7,1718668.0,1676289.0,42379.0,2.5
2018,Sep,69.4,67.7,1719372.0,1676525.0,42847.0,2.5
2018,Oct,69.4,67.7,1720922.0,1677594.0,43328.0,2.5
2018,Nov,69.5,67.7,1723734.0,1680011.0,43723.0,2.5
2018,Dec,69.6,67.9,1727762.0,1683836.0,43926.0,2.5
2019,Jan,69.8,68.0,1732197.0,1688310.0,43887.0,2.5
2019,Feb,70.0,68.2,1736453.0,1692818.0,43635.0,2.5
2019,Mar,70.1,68.3,1740581.0,1697118.0,43463.0,2.5
2019,Apr,70.2,68.5,1744736.0,1701156.0,43580.0,2.5
2019,May,70.4,68.6,1748680.0,1704571.0,44109.0,2.5
2019,Jun,70.5,68.7,1752230.0,1707129.0,45101.0,2.6
2019,Jul,70.5,68.7,1755135.0,1708734.0,46401.0,2.6
2019,Aug,70.6,68.7,1757098.0,1709540.0,47558.0,2.7
2019,Sep,70.6,68.7,1758313.0,1710291.0,48022.0,2.7
2019,Oct,70.6,68.7,1758580.0,1710838.0,47742.0,2.7
2019,Nov,70.5,68.6,1757277.0,1710325.0,46952.0,2.7
2019,Dec,70.3,68.5,1753532.0,1707436.0,46096.0,2.6
2020,Jan,70.0,68.2,1747415.0,1701909.0,45506.0,2.6
2020,Feb,69.7,67.9,1739520.0,1694404.0,45116.0,2.6
2020,Mar,69.4,67.6,1731056.0,1686641.0,44415.0,2.6
2020,Apr,69.0,61.7,1721183.0,1540749.0,180434.0,10.5
2020,May,67.1,61.8,1675014.0,1541346.0,133668.0,8.0
2020,Jun,66.2,61.9,1651007.0,1544167.0,106840.0,6.5
2020,Jul,66.1,62.2,1648875.0,1553002.0,95873.0,5.8
2020,Aug,65.9,62.6,1646359.0,1561925.0,84434.0,5.1
2020,Sep,66.1,62.9,1651241.0,1571345.0,79896.0,4.8
2020,Oct,66.1,63.1,1652825.0,1577987.0,74838.0,4.5
2020,Nov,66.3,63.3,1658195.0,1583691.0,74504.0,4.5
2020,Dec,66.5,63.5,1661964.0,1587317.0,74647.0,4.5
2021,Jan,66.5,63.6,1663589.0,1590464.0,73125.0,4.4
2021,Feb,66.6,63.7,1666487.0,1593411.0,73076.0,4.4
2021,Mar,66.8,63.9,1671505.0,1597659.0,73846.0,4.4
2021,Apr,67.0,64.0,1676502.0,1601704.0,74798.0,4.5
2021,May,67.1,64.1,1679868.0,1604918.0,74950.0,4.5
2021,Jun,67.2,64.2,1682834.0,1607573.0,75261.0,4.5
2021,Jul,67.1,64.2,1682722.0,1608627.0,74095.0,4.4
2021,Aug,67.0,64.2,1681377.0,1609512.0,71865.0,4.3
2021,Sep,66.9,64.1,1678099.0,1609344.0,68755.0,4.1
2021,Oct,66.8,64.1,1677109.0,1610792.0,66317.0,4.0
2021,Nov,66.7,64.1,1675768.0,1610657.0,65111.0,3.9
2021,Dec,66.7,64.1,1675625.0,1610773.0,64852.0,3.9
2022,Jan,66.8,64.3,1680376.0,1617703.0,62673.0,3.7
