date,Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate,State
2012-01-01,2012,Jan,63.3,56.3,18456650.0,16397835.0,2058815.0,11.2,California
2012-02-01,2012,Feb,63.2,56.3,18447162.0,16411184.0,2035978.0,11.0,California
2012-03-01,2012,Mar,63.2,56.3,18445792.0,16424830.0,2020962.0,11.0,California
2012-04-01,2012,Apr,63.1,56.3,18449665.0,16440520.0,2009145.0,10.9,California
2012-05-01,2012,May,63.1,56.3,18457489.0,16462781.0,1994708.0,10.8,California
2012-06-01,2012,Jun,63.1,56.3,18468110.0,16494261.0,1973849.0,10.7,California
2012-07-01,2012,Jul,63.1,56.4,18479876.0,16534689.0,1945187.0,10.5,California
2012-08-01,2012,Aug,63.0,56.5,18494681.0,16581684.0,1912997.0,10.3,California
2012-09-01,2012,Sep,63.0,56.6,18515366.0,16631825.0,1883541.0,10.2,California
2012-10-01,2012,Oct,63.1,56.7,18536565.0,16678616.0,1857949.0,10.0,California
2012-11-01,2012,Nov,63.0,56.8,18553309.0,16717341.0,1835968.0,9.9,California
2012-12-01,2012,Dec,63.0,56.9,18562700.0,16747321.0,1815379.0,9.8,California
2013-01-01,2013,Jan,63.0,56.9,18564212.0,16769858.0,1794354.0,9.7,California
2013-02-01,2013,Feb,62.9,56.9,18561589.0,16789624.0,1771965.0,9.5,California
2013-03-01,2013,Mar,62.9,56.9,18560032.0,16812502.0,1747530.0,9.4,California
2013-04-01,2013,Apr,62.8,57.0,18565682.0,16842626.0,1723056.0,9.3,California
2013-05-01,2013,May,62.8,57.0,18576563.0,16874399.0,1702164.0,9.2,California
2013-06-01,2013,Jun,62.8,57.1,18587359.0,16900895.0,1686464.0,9.1,California
2013-07-01,2013,Jul,62.7,57.1,18593103.0,16919448.0,1673655.0,9.0,California
2013-08-01,2013,Aug,62.7,57.1,18587188.0,16930930.0,1656258.0,8.9,California
2013-09-01,2013,Sep,62.5,57.0,18570217.0,16939401.0,1630816.0,8.8,California
2013-10-01,2013,Oct,62.4,57.0,18553825.0,16951113.0,1602712.0,8.6,California
2013-11-01,2013,Nov,62.3,57.0,18547876.0,16971722.0,1576154.0,8.5,California
2013-12-01,2013,Dec,62.3,57.1,18554149.0,17001882.0,1552267.0,8.4,California
2014-01-01,2014,Jan,62.3,57.2,18569356.0,17040259.0,1529097.0,8.2,California
2014-02-01,2014,Feb,62.3,57.3,18588369.0,17083487.0,1504882.0,8.1,California
2014-03-01,2014,Mar,62.3,57.4,18608224.0,17126546.0,1481678.0,8.0,California
2014-04-01,2014,Apr,62.3,57.4,18624963.0,17164661.0,1460302.0,7.8,California
2014-05-01,2014,May,62.3,57.5,18638929.0,17200175.0,1438754.0,7.7,California
2014-06-01,2014,Jun,62.3,57.6,18656005.0,17238675.0,1417330.0,7.6,California
2014-07-01,2014,Jul,62.3,57.7,18677566.0,17279967.0,1397599.0,7.5,California
2014-08-01,2014,Aug,62.3,57.7,18704813.0,17324005.0,1380808.0,7.4,California
2014-09-01,2014,Sep,62.4,57.8,18735234.0,17369795.0,1365439.0,7.3,California
2014-10-01,2014,Oct,62.4,57.9,18760622.0,17413762.0,1346860.0,7.2,California
2014-11-01,2014,Nov,62.4,58.0,18775765.0,17451977.0,1323788.0,7.1,California
2014-12-01,2014,Dec,62.4,58.0,18785368.0,17484592.0,1300776.0,6.9,California
2015-01-01,2015,Jan,62.3,58.1,18794302.0,17513360.0,1280942.0,6.8,California
2015-02-01,2015,Feb,62.3,58.1,18804573.0,17539526.0,1265047.0,6.7,California
2015-03-01,2015,Mar,62.3,58.2,18816299.0,17566611.0,1249688.0,6.6,California
2015-04-01,2015,Apr,62.3,58.2,18826398.0,17594659.0,1231739.0,6.5,California
2015-05-01,2015,May,62.3,58.3,18830333.0,17620363.0,1209970.0,6.4,California
2015-06-01,2015,Jun,62.2,58.3,18825613.0,17640900.0,1184713.0,6.3,California
2015-07-01,2015,Jul,62.1,58.3,18816836.0,17658045.0,1158791.0,6.2,California
2015-08-01,2015,Aug,62.0,58.3,18810236.0,17674840.0,1135396.0,6.0,California
2015-09-01,2015,Sep,62.0,58.3,18810658.0,17695331.0,1115327.0,5.9,California
2015-10-01,2015,Oct,62.0,58.4,18824385.0,17724466.0,1099919.0,5.8,California
2015-11-01,2015,Nov,62.0,58.4,18852382.0,17762494.0,1089888.0,5.8,California
2015-12-01,2015,Dec,62.1,58.5,18886247.0,17804150.0,1082097.0,5.7,California
2016-01-01,2016,Jan,62.1,58.6,18917326.0,17843140.0,1074186.0,5.7,California
2016-02-01,2016,Feb,62.2,58.7,18941962.0,17875645.0,1066317.0,5.6,California
2016-03-01,2016,Mar,62.2,58.7,18959258.0,17901022.0,1058236.0,5.6,California
2016-04-01,2016,Apr,62.2,58.7,18973207.0,17921613.0,1051594.0,5.5,California
2016-05-01,2016,May,62.2,58.8,18989520.0,17941250.0,1048270.0,5.5,California
2016-06-01,2016,Jun,62.2,58.8,19008579.0,17961187.0,1047392.0,5.5,California
2016-07-01,2016,Jul,62.2,58.8,19028074.0,17981056.0,1047018.0,5.5,California
2016-08-01,2016,Aug,62.2,58.8,19046039.0,17999607.0,1046432.0,5.5,California
2016-09-01,2016,Sep,62.2,58.8,19061155.0,18015129.0,1046026.0,5.5,California
2016-10-01,2016,Oct,62.2,58.8,19071727.0,18028383.0,1043344.0,5.5,California
2016-11-01,2016,Nov,62.2,58.8,19079948.0,18044658.0,1035290.0,5.4,California
2016-12-01,2016,Dec,62.2,58.9,19090083.0,18068401.0,1021682.0,5.4,California
2017-01-01,2017,Jan,62.2,58.9,19107737.0,18104833.0,1002904.0,5.2,California
2017-02-01,2017,Feb,62.2,59.0,19127260.0,18143666.0,983594.0,5.1,California
2017-03-01,2017,Mar,62.3,59.1,19149284.0,18183179.0,966105.0,5.0,California
2017-04-01,2017,Apr,62.3,59.2,19172412.0,18220082.0,952330.0,5.0,California
2017-05-01,2017,May,62.4,59.3,19193658.0,18252450.0,941208.0,4.9,California
2017-06-01,2017,Jun,62.4,59.4,19209913.0,18277837.0,932076.0,4.9,California
2017-07-01,2017,Jul,62.4,59.4,19220058.0,18295974.0,924084.0,4.8,California
2017-08-01,2017,Aug,62.3,59.4,19221629.0,18307232.0,914397.0,4.8,California
2017-09-01,2017,Sep,62.3,59.4,19215041.0,18312935.0,902106.0,4.7,California
2017-10-01,2017,Oct,62.2,59.3,19204052.0,18316581.0,887471.0,4.6,California
2017-11-01,2017,Nov,62.2,59.3,19193135.0,18320848.0,872287.0,4.5,California
2017-12-01,2017,Dec,62.1,59.3,19189000.0,18331881.0,857119.0,4.5,California
2018-01-01,2018,Jan,62.1,59.4,19198144.0,18354112.0,844032.0,4.4,California
2018-02-01,2018,Feb,62.2,59.5,19223127.0,18389120.0,834007.0,4.3,California
2018-03-01,2018,Mar,62.3,59.6,19257396.0,18431283.0,826113.0,4.3,California
2018-04-01,2018,Apr,62.4,59.7,19287831.0,18468594.0,819237.0,4.2,California
2018-05-01,2018,May,62.4,59.8,19305583.0,18491362.0,814221.0,4.2,California
2018-06-01,2018,Jun,62.4,59.8,19310277.0,18499191.0,811086.0,4.2,California
2018-07-01,2018,Jul,62.3,59.7,19305159.0,18495803.0,809356.0,4.2,California
2018-08-01,2018,Aug,62.3,59.7,19299752.0,18488583.0,811169.0,4.2,California
2018-09-01,2018,Sep,62.3,59.6,19300343.0,18483342.0,817001.0,4.2,California
2018-10-01,2018,Oct,62.3,59.6,19308507.0,18483737.0,824770.0,4.3,California
2018-11-01,2018,Nov,62.3,59.6,19321690.0,18490160.0,831530.0,4.3,California
2018-12-01,2018,Dec,62.3,59.6,19335749.0,18501839.0,833910.0,4.3,California
2019-01-01,2019,Jan,62.4,59.7,19346362.0,18516404.0,829958.0,4.3,California
2019-02-01,2019,Feb,62.4,59.7,19351682.0,18532272.0,819410.0,4.2,California
2019-03-01,2019,Mar,62.4,59.8,19354512.0,18548250.0,806262.0,4.2,California
2019-04-01,2019,Apr,62.4,59.8,19360091.0,18566280.0,793811.0,4.1,California
2019-05-01,2019,May,62.4,59.9,19369999.0,18584927.0,785072.0,4.1,California
2019-06-01,2019,Jun,62.4,59.9,19383861.0,18601627.0,782234.0,4.0,California
2019-07-01,2019,Jul,62.5,59.9,19400003.0,18615002.0,785001.0,4.0,California
2019-08-01,2019,Aug,62.5,60.0,19417606.0,18628076.0,789530.0,4.1,California
2019-09-01,2019,Sep,62.6,60.0,19440418.0,18649671.0,790747.0,4.1,California
2019-10-01,2019,Oct,62.6,60.1,19471434.0,18680037.0,791397.0,4.1,California
2019-11-01,2019,Nov,62.7,60.2,19507623.0,18714185.0,793438.0,4.1,California
2019-12-01,2019,Dec,62.8,60.3,19535597.0,18738543.0,797054.0,4.1,California
2020-01-01,2020,Jan,62.8,60.3,19545409.0,18744753.0,800656.0,4.1,California
2020-02-01,2020,Feb,62.8,60.2,19536350.0,18733837.0,802513.0,4.1,California
2020-03-01,2020,Mar,61.9,58.6,19267549.0,18213641.0,1053908.0,5.5,California
2020-04-01,2020,Apr,60.0,50.4,18651174.0,15685944.0,2965230.0,15.9,California
2020-05-01,2020,May,59.8,50.2,18606506.0,15604432.0,3002074.0,16.1,California
2020-06-01,2020,Jun,61.2,52.6,19042530.0,16365183.0,2677347.0,14.1,California
2020-07-01,2020,Jul,61.3,53.1,19059395.0,16506245.0,2553150.0,13.4,California
2020-08-01,2020,Aug,60.7,53.4,18869585.0,16616651.0,2252934.0,11.9,California
2020-09-01,2020,Sep,60.0,53.8,18666533.0,16740763.0,1925770.0,10.3,California
2020-10-01,2020,Oct,59.8,54.1,18584660.0,16820478.0,1764182.0,9.5,California
2020-11-01,2020,Nov,59.8,54.3,18600782.0,16892595.0,1708187.0,9.2,California
2020-12-01,2020,Dec,60.1,54.6,18670917.0,16957946.0,1712971.0,9.2,California
2021-01-01,2021,Jan,60.1,54.8,18657907.0,17020492.0,1637415.0,8.8,California
2021-02-01,2021,Feb,60.3,55.1,18706712.0,17099131.0,1607581.0,8.6,California
2021-03-01,2021,Mar,60.5,55.4,18781662.0,17199917.0,1581745.0,8.4,California
2021-04-01,2021,Apr,60.9,55.8,18881824.0,17310628.0,1571196.0,8.3,California
2021-05-01,2021,May,61.0,56.2,18913379.0,17414749.0,1498630.0,7.9,California
2021-06-01,2021,Jun,61.3,56.5,19021240.0,17517358.0,1503882.0,7.9,California
2021-07-01,2021,Jul,61.3,56.8,19016323.0,17609627.0,1406696.0,7.4,California
2021-08-01,2021,Aug,61.4,57.1,19049309.0,17709087.0,1340222.0,7.0,California
2021-09-01,2021,Sep,61.3,57.4,19006826.0,17788720.0,1218106.0,6.4,California
2021-10-01,2021,Oct,61.4,57.6,19024355.0,17860812.0,1163543.0,6.1,California
2021-11-01,2021,Nov,61.2,57.6,18963995.0,17860281.0,1103714.0,5.8,California
2021-12-01,2021,Dec,61.1,57.6,18946015.0,17850959.0,1095056.0,5.8,California
2022-01-01,2022,Jan,61.5,58.0,19064484.0,17960170.0,1104314.0,5.8,California
2012-01-01,2012,Jan,60.6,55.0,9292160.0,8441097.0,851063.0,9.2,Florida
2012-02-01,2012,Feb,60.6,55.1,9296328.0,8454837.0,841491.0,9.1,Florida
2012-03-01,2012,Mar,60.5,55.1,9303773.0,8468399.0,835374.0,9.0,Florida
2012-04-01,2012,Apr,60.5,55.1,9312582.0,8481558.0,831024.0,8.9,Florida
2012-05-01,2012,May,60.5,55.1,9322199.0,8496177.0,826022.0,8.9,Florida
2012-06-01,2012,Jun,60.5,55.2,9332286.0,8513758.0,818528.0,8.8,Florida
2012-07-01,2012,Jul,60.5,55.3,9342026.0,8534305.0,807721.0,8.6,Florida
2012-08-01,2012,Aug,60.5,55.3,9352027.0,8556664.0,795363.0,8.5,Florida
2012-09-01,2012,Sep,60.5,55.4,9363037.0,8578931.0,784106.0,8.4,Florida
2012-10-01,2012,Oct,60.4,55.4,9372631.0,8597972.0,774659.0,8.3,Florida
2012-11-01,2012,Nov,60.4,55.5,9379264.0,8612023.0,767241.0,8.2,Florida
2012-12-01,2012,Dec,60.3,55.5,9382701.0,8621568.0,761133.0,8.1,Florida
2013-01-01,2013,Jan,60.3,55.4,9383321.0,8628007.0,755314.0,8.0,Florida
2013-02-01,2013,Feb,60.2,55.4,9383328.0,8634844.0,748484.0,8.0,Florida
2013-03-01,2013,Mar,60.2,55.4,9385906.0,8646346.0,739560.0,7.9,Florida
2013-04-01,2013,Apr,60.2,55.5,9394008.0,8664776.0,729232.0,7.8,Florida
2013-05-01,2013,May,60.2,55.6,9405649.0,8686257.0,719392.0,7.6,Florida
2013-06-01,2013,Jun,60.2,55.6,9417639.0,8706200.0,711439.0,7.6,Florida
2013-07-01,2013,Jul,60.1,55.6,9427528.0,8722512.0,705016.0,7.5,Florida
2013-08-01,2013,Aug,60.1,55.6,9432470.0,8735091.0,697379.0,7.4,Florida
2013-09-01,2013,Sep,60.0,55.6,9433614.0,8746255.0,687359.0,7.3,Florida
2013-10-01,2013,Oct,59.9,55.6,9436839.0,8759566.0,677273.0,7.2,Florida
2013-11-01,2013,Nov,59.9,55.7,9446215.0,8777668.0,668547.0,7.1,Florida
2013-12-01,2013,Dec,59.9,55.7,9461489.0,8800149.0,661340.0,7.0,Florida
2014-01-01,2014,Jan,59.9,55.8,9479786.0,8825090.0,654696.0,6.9,Florida
2014-02-01,2014,Feb,60.0,55.9,9497821.0,8849988.0,647833.0,6.8,Florida
2014-03-01,2014,Mar,60.0,55.9,9513557.0,8872130.0,641427.0,6.7,Florida
2014-04-01,2014,Apr,60.0,56.0,9525298.0,8890013.0,635285.0,6.7,Florida
2014-05-01,2014,May,59.9,56.0,9534040.0,8905898.0,628142.0,6.6,Florida
2014-06-01,2014,Jun,59.9,56.0,9543064.0,8923099.0,619965.0,6.5,Florida
2014-07-01,2014,Jul,59.9,56.1,9553381.0,8941700.0,611681.0,6.4,Florida
2014-08-01,2014,Aug,59.9,56.1,9565595.0,8961454.0,604141.0,6.3,Florida
2014-09-01,2014,Sep,59.8,56.1,9577872.0,8980727.0,597145.0,6.2,Florida
2014-10-01,2014,Oct,59.8,56.1,9586098.0,8996931.0,589167.0,6.1,Florida
2014-11-01,2014,Nov,59.7,56.1,9588482.0,9008617.0,579865.0,6.0,Florida
2014-12-01,2014,Dec,59.6,56.0,9588236.0,9017099.0,571137.0,6.0,Florida
2015-01-01,2015,Jan,59.5,56.0,9588873.0,9024705.0,564168.0,5.9,Florida
2015-02-01,2015,Feb,59.4,56.0,9592040.0,9032822.0,559218.0,5.8,Florida
2015-03-01,2015,Mar,59.4,55.9,9598497.0,9043681.0,554816.0,5.8,Florida
2015-04-01,2015,Apr,59.3,55.9,9607811.0,9058084.0,549727.0,5.7,Florida
2015-05-01,2015,May,59.3,56.0,9618147.0,9074570.0,543577.0,5.7,Florida
2015-06-01,2015,Jun,59.3,56.0,9627791.0,9091449.0,536342.0,5.6,Florida
2015-07-01,2015,Jul,59.2,56.0,9637406.0,9108581.0,528825.0,5.5,Florida
2015-08-01,2015,Aug,59.2,56.0,9648341.0,9126443.0,521898.0,5.4,Florida
2015-09-01,2015,Sep,59.1,56.0,9661738.0,9146394.0,515344.0,5.3,Florida
2015-10-01,2015,Oct,59.1,56.0,9679856.0,9170460.0,509396.0,5.3,Florida
2015-11-01,2015,Nov,59.2,56.1,9702643.0,9198031.0,504612.0,5.2,Florida
2015-12-01,2015,Dec,59.2,56.2,9726210.0,9226214.0,499996.0,5.1,Florida
2016-01-01,2016,Jan,59.2,56.2,9746916.0,9252093.0,494823.0,5.1,Florida
2016-02-01,2016,Feb,59.2,56.3,9763853.0,9274276.0,489577.0,5.0,Florida
2016-03-01,2016,Mar,59.2,56.3,9777290.0,9292824.0,484466.0,5.0,Florida
2016-04-01,2016,Apr,59.2,56.3,9790156.0,9309537.0,480619.0,4.9,Florida
2016-05-01,2016,May,59.2,56.3,9806455.0,9327449.0,479006.0,4.9,Florida
2016-06-01,2016,Jun,59.2,56.3,9826989.0,9347749.0,479240.0,4.9,Florida
2016-07-01,2016,Jul,59.2,56.3,9850017.0,9369741.0,480276.0,4.9,Florida
2016-08-01,2016,Aug,59.3,56.4,9873290.0,9391728.0,481562.0,4.9,Florida
2016-09-01,2016,Sep,59.3,56.4,9894617.0,9411626.0,482991.0,4.9,Florida
2016-10-01,2016,Oct,59.3,56.4,9912032.0,9428996.0,483036.0,4.9,Florida
