Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,68.9,64.8,1494362.0,1405492.0,88870.0,5.9
2012,Feb,68.8,64.7,1492333.0,1404669.0,87664.0,5.9
2012,Mar,68.7,64.7,1490738.0,1403751.0,86987.0,5.8
2012,Apr,68.6,64.6,1489485.0,1402934.0,86551.0,5.8
2012,May,68.5,64.6,1488736.0,1402661.0,86075.0,5.8
2012,Jun,68.5,64.5,1488524.0,1403130.0,85394.0,5.7
2012,Jul,68.4,64.6,1488847.0,1404335.0,84512.0,5.7
2012,Aug,68.5,64.6,1489743.0,1405991.0,83752.0,5.6
2012,Sep,68.5,64.7,1491050.0,1407653.0,83397.0,5.6
2012,Oct,68.5,64.7,1492122.0,1408760.0,83362.0,5.6
2012,Nov,68.5,64.7,1492672.0,1409248.0,83424.0,5.6
2012,Dec,68.5,64.7,1492648.0,1409265.0,83383.0,5.6
2013,Jan,68.4,64.6,1492010.0,1408859.0,83151.0,5.6
2013,Feb,68.4,64.6,1491109.0,1408465.0,82644.0,5.5
2013,Mar,68.4,64.6,1490526.0,1408599.0,81927.0,5.5
2013,Apr,68.3,64.6,1490653.0,1409461.0,81192.0,5.4
2013,May,68.3,64.6,1491094.0,1410482.0,80612.0,5.4
2013,Jun,68.3,64.7,1491270.0,1411118.0,80152.0,5.4
2013,Jul,68.3,64.6,1490847.0,1411224.0,79623.0,5.3
2013,Aug,68.2,64.6,1489665.0,1411057.0,78608.0,5.3
2013,Sep,68.1,64.6,1488146.0,1411091.0,77055.0,5.2
2013,Oct,68.0,64.6,1487170.0,1411799.0,75371.0,5.1
2013,Nov,68.0,64.6,1487212.0,1413405.0,73807.0,5.0
2013,Dec,68.0,64.7,1488263.0,1415787.0,72476.0,4.9
2014,Jan,68.1,64.8,1490102.0,1418761.0,71341.0,4.8
2014,Feb,68.1,64.9,1492219.0,1421820.0,70399.0,4.7
2014,Mar,68.2,65.0,1494043.0,1424398.0,69645.0,4.7
2014,Apr,68.2,65.1,1495057.0,1426026.0,69031.0,4.6
2014,May,68.2,65.1,1495273.0,1426868.0,68405.0,4.6
2014,Jun,68.2,65.1,1495152.0,1427461.0,67691.0,4.5
2014,Jul,68.1,65.1,1494899.0,1427996.0,66903.0,4.5
2014,Aug,68.1,65.1,1494750.0,1428614.0,66136.0,4.4
2014,Sep,68.0,65.1,1494751.0,1429313.0,65438.0,4.4
2014,Oct,68.0,65.0,1494702.0,1429984.0,64718.0,4.3
2014,Nov,68.0,65.0,1494484.0,1430308.0,64176.0,4.3
2014,Dec,67.9,65.0,1494280.0,1430176.0,64104.0,4.3
2015,Jan,67.9,65.0,1494068.0,1429606.0,64462.0,4.3
2015,Feb,67.9,64.9,1493764.0,1428745.0,65019.0,4.4
