Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,59.8,55.5,2087233.0,1938549.0,148684.0,7.1
2012,Feb,59.8,55.5,2088242.0,1940786.0,147456.0,7.1
2012,Mar,59.8,55.6,2089768.0,1943114.0,146654.0,7.0
2012,Apr,59.8,55.6,2090997.0,1945016.0,145981.0,7.0
2012,May,59.8,55.6,2091414.0,1946434.0,144980.0,6.9
2012,Jun,59.7,55.6,2090759.0,1947689.0,143070.0,6.8
2012,Jul,59.6,55.6,2089201.0,1949077.0,140124.0,6.7
2012,Aug,59.6,55.7,2087894.0,1950819.0,137075.0,6.6
2012,Sep,59.5,55.7,2088122.0,1953077.0,135045.0,6.5
2012,Oct,59.5,55.7,2089992.0,1955491.0,134501.0,6.4
2012,Nov,59.6,55.7,2092996.0,1957453.0,135543.0,6.5
2012,Dec,59.7,55.7,2096245.0,1958519.0,137726.0,6.6
2013,Jan,59.7,55.7,2098900.0,1958670.0,140230.0,6.7
2013,Feb,59.7,55.7,2100577.0,1958498.0,142079.0,6.8
2013,Mar,59.7,55.7,2101504.0,1958880.0,142624.0,6.8
2013,Apr,59.7,55.7,2102390.0,1960578.0,141812.0,6.7
2013,May,59.7,55.7,2103144.0,1963094.0,140050.0,6.7
2013,Jun,59.7,55.8,2103648.0,1965593.0,138055.0,6.6
2013,Jul,59.7,55.8,2103958.0,1967784.0,136174.0,6.5
2013,Aug,59.6,55.8,2103449.0,1969745.0,133704.0,6.4
2013,Sep,59.5,55.8,2102001.0,1971714.0,130287.0,6.2
2013,Oct,59.5,55.9,2100686.0,1974140.0,126546.0,6.0
2013,Nov,59.4,56.0,2100476.0,1977442.0,123034.0,5.9
2013,Dec,59.4,56.0,2101607.0,1981332.0,120275.0,5.7
2014,Jan,59.5,56.1,2103844.0,1985316.0,118528.0,5.6
2014,Feb,59.5,56.2,2107066.0,1989022.0,118044.0,5.6
2014,Mar,59.7,56.3,2111847.0,1992426.0,119421.0,5.7
2014,Apr,59.8,56.3,2118328.0,1995649.0,122679.0,5.8
2014,May,60.0,56.4,2126535.0,1999443.0,127092.0,6.0
2014,Jun,60.3,56.5,2136367.0,2004372.0,131995.0,6.2
2014,Jul,60.5,56.7,2146989.0,2010030.0,136959.0,6.4
2014,Aug,60.8,56.8,2157540.0,2015914.0,141626.0,6.6
2014,Sep,61.0,56.9,2166638.0,2021167.0,145471.0,6.7
2014,Oct,61.1,57.0,2172611.0,2024800.0,147811.0,6.8
2014,Nov,61.2,57.0,2174782.0,2026322.0,148460.0,6.8
2014,Dec,61.1,57.0,2174213.0,2026255.0,147958.0,6.8
2015,Jan,61.0,56.9,2172224.0,2025344.0,146880.0,6.8
2015,Feb,60.9,56.8,2169594.0,2024043.0,145551.0,6.7
2015,Mar,60.8,56.8,2166522.0,2022881.0,143641.0,6.6
2015,Apr,60.7,56.7,2162787.0,2021790.0,140997.0,6.5
2015,May,60.5,56.7,2158261.0,2020294.0,137967.0,6.4
2015,Jun,60.4,56.6,2152853.0,2017960.0,134893.0,6.3
2015,Jul,60.2,56.5,2146855.0,2014908.0,131947.0,6.1
2015,Aug,60.0,56.3,2141096.0,2011545.0,129551.0,6.1
2015,Sep,59.8,56.2,2136562.0,2008611.0,127951.0,6.0
2015,Oct,59.7,56.1,2134141.0,2006830.0,127311.0,6.0
2015,Nov,59.7,56.1,2133748.0,2006151.0,127597.0,6.0
2015,Dec,59.7,56.1,2134220.0,2005983.0,128237.0,6.0
2016,Jan,59.7,56.1,2134557.0,2005777.0,128780.0,6.0
2016,Feb,59.6,56.0,2134491.0,2005278.0,129213.0,6.1
2016,Mar,59.6,56.0,2133521.0,2004061.0,129460.0,6.1
2016,Apr,59.5,55.9,2131830.0,2002097.0,129733.0,6.1
2016,May,59.4,55.8,2129860.0,1999764.0,130096.0,6.1
2016,Jun,59.4,55.7,2127524.0,1997206.0,130318.0,6.1
2016,Jul,59.3,55.6,2124777.0,1994428.0,130349.0,6.1
2016,Aug,59.2,55.5,2121376.0,1991224.0,130152.0,6.1
2016,Sep,59.0,55.4,2117470.0,1987810.0,129660.0,6.1
2016,Oct,58.9,55.3,2113467.0,1984845.0,128622.0,6.1
2016,Nov,58.8,55.3,2110081.0,1983120.0,126961.0,6.0
2016,Dec,58.8,55.3,2107951.0,1982995.0,124956.0,5.9
2017,Jan,58.8,55.4,2108478.0,1985716.0,122762.0,5.8
2017,Feb,58.8,55.5,2108908.0,1988965.0,119943.0,5.7
2017,Mar,58.8,55.6,2109114.0,1992398.0,116716.0,5.5
2017,Apr,58.8,55.7,2109123.0,1995730.0,113393.0,5.4
2017,May,58.8,55.7,2108626.0,1998677.0,109949.0,5.2
2017,Jun,58.8,55.8,2107721.0,2000996.0,106725.0,5.1
2017,Jul,58.8,55.9,2106949.0,2002832.0,104117.0,4.9
2017,Aug,58.7,55.9,2106561.0,2004515.0,102046.0,4.8
2017,Sep,58.7,55.9,2106373.0,2005913.0,100460.0,4.8
2017,Oct,58.7,56.0,2106403.0,2006969.0,99434.0,4.7
2017,Nov,58.8,56.0,2107102.0,2008039.0,99063.0,4.7
2017,Dec,58.8,56.0,2108887.0,2009776.0,99111.0,4.7
2018,Jan,58.9,56.1,2112103.0,2012307.0,99796.0,4.7
2018,Feb,59.0,56.2,2116516.0,2015356.0,101160.0,4.8
2018,Mar,59.2,56.3,2120755.0,2018008.0,102747.0,4.8
2018,Apr,59.2,56.3,2122681.0,2018850.0,103831.0,4.9
2018,May,59.2,56.3,2121315.0,2017213.0,104102.0,4.9
2018,Jun,59.1,56.2,2117268.0,2013800.0,103468.0,4.9
2018,Jul,58.9,56.1,2111633.0,2009598.0,102035.0,4.8
2018,Aug,58.8,56.0,2106387.0,2005687.0,100700.0,4.8
2018,Sep,58.7,55.9,2103348.0,2002980.0,100368.0,4.8
2018,Oct,58.6,55.8,2102973.0,2001988.0,100985.0,4.8
2018,Nov,58.7,55.9,2104600.0,2002758.0,101842.0,4.8
2018,Dec,58.8,55.9,2107218.0,2005129.0,102089.0,4.8
2019,Jan,58.8,56.0,2109622.0,2008556.0,101066.0,4.8
2019,Feb,58.9,56.1,2110451.0,2011922.0,98529.0,4.7
2019,Mar,58.9,56.2,2109424.0,2013987.0,95437.0,4.5
2019,Apr,58.8,56.2,2107367.0,2014589.0,92778.0,4.4
2019,May,58.7,56.2,2104995.0,2013775.0,91220.0,4.3
2019,Jun,58.7,56.1,2103166.0,2011979.0,91187.0,4.3
2019,Jul,58.7,56.1,2102674.0,2009816.0,92858.0,4.4
2019,Aug,58.7,56.0,2103911.0,2008124.0,95787.0,4.6
2019,Sep,58.8,56.0,2106812.0,2008088.0,98724.0,4.7
2019,Oct,58.9,56.0,2110529.0,2008999.0,101530.0,4.8
2019,Nov,58.9,56.0,2113054.0,2008729.0,104325.0,4.9
2019,Dec,58.9,55.9,2111963.0,2005055.0,106908.0,5.1
2020,Jan,58.8,55.7,2107062.0,1998238.0,108824.0,5.2
2020,Feb,58.6,55.5,2100460.0,1990629.0,109831.0,5.2
2020,Mar,59.4,55.4,2129984.0,1985735.0,144249.0,6.8
2020,Apr,55.5,48.0,1988419.0,1719078.0,269341.0,13.5
2020,May,56.6,49.6,2026490.0,1777005.0,249485.0,12.3
2020,Jun,56.7,50.5,2031092.0,1806775.0,224317.0,11.0
2020,Jul,57.4,51.4,2054032.0,1838704.0,215328.0,10.5
2020,Aug,57.5,52.1,2056793.0,1864094.0,192699.0,9.4
2020,Sep,57.8,52.7,2068168.0,1884721.0,183447.0,8.9
2020,Oct,57.6,53.0,2061330.0,1897015.0,164315.0,8.0
2020,Nov,57.6,53.3,2059406.0,1905998.0,153408.0,7.4
2020,Dec,57.6,53.5,2058216.0,1913619.0,144597.0,7.0
2021,Jan,57.5,53.8,2054678.0,1920919.0,133759.0,6.5
2021,Feb,57.6,54.0,2056686.0,1928050.0,128636.0,6.3
2021,Mar,57.8,54.2,2062079.0,1935637.0,126442.0,6.1
2021,Apr,57.9,54.4,2067819.0,1942197.0,125622.0,6.1
2021,May,58.0,54.6,2069990.0,1947251.0,122739.0,5.9
2021,Jun,58.1,54.7,2071002.0,1950121.0,120881.0,5.8
2021,Jul,57.9,54.7,2064982.0,1951720.0,113262.0,5.5
2021,Aug,57.8,54.8,2060422.0,1953709.0,106713.0,5.2
2021,Sep,57.7,54.9,2056962.0,1957465.0,99497.0,4.8
2021,Oct,57.7,55.0,2058294.0,1962589.0,95705.0,4.6
2021,Nov,57.7,55.1,2060428.0,1967435.0,92993.0,4.5
2021,Dec,57.8,55.2,2062572.0,1971316.0,91256.0,4.4
2022,Jan,58.0,55.5,2069163.0,1979339.0,89824.0,4.3
