Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,60.2,54.7,4681300.0,4250546.0,430754.0,9.2
2012,Feb,60.1,54.7,4677505.0,4251976.0,425529.0,9.1
2012,Mar,60.1,54.6,4674978.0,4251685.0,423293.0,9.1
2012,Apr,60.0,54.6,4673683.0,4250642.0,423041.0,9.1
2012,May,60.0,54.6,4674360.0,4250834.0,423526.0,9.1
2012,Jun,60.0,54.6,4676951.0,4253239.0,423712.0,9.1
2012,Jul,60.1,54.6,4680759.0,4257873.0,422886.0,9.0
2012,Aug,60.1,54.7,4685915.0,4264274.0,421641.0,9.0
2012,Sep,60.2,54.8,4692724.0,4271479.0,421245.0,9.0
2012,Oct,60.2,54.8,4699999.0,4278209.0,421790.0,9.0
2012,Nov,60.3,54.9,4706523.0,4283628.0,422895.0,9.0
2012,Dec,60.3,54.9,4711644.0,4287975.0,423669.0,9.0
2013,Jan,60.4,54.9,4715747.0,4292124.0,423623.0,9.0
2013,Feb,60.4,55.0,4719805.0,4297093.0,422712.0,9.0
2013,Mar,60.4,55.1,4724478.0,4303586.0,420892.0,8.9
2013,Apr,60.5,55.2,4730864.0,4311970.0,418894.0,8.9
2013,May,60.6,55.2,4738195.0,4320494.0,417701.0,8.8
2013,Jun,60.6,55.3,4745039.0,4327389.0,417650.0,8.8
2013,Jul,60.7,55.3,4749853.0,4332010.0,417843.0,8.8
2013,Aug,60.7,55.4,4750495.0,4334709.0,415786.0,8.8
2013,Sep,60.6,55.4,4747499.0,4336984.0,410515.0,8.6
2013,Oct,60.5,55.4,4744156.0,4340565.0,403591.0,8.5
2013,Nov,60.5,55.4,4743413.0,4346689.0,396724.0,8.4
2013,Dec,60.5,55.5,4745607.0,4354920.0,390687.0,8.2
2014,Jan,60.5,55.6,4749538.0,4364414.0,385124.0,8.1
2014,Feb,60.6,55.7,4754121.0,4374624.0,379497.0,8.0
2014,Mar,60.6,55.9,4758378.0,4384836.0,373542.0,7.9
2014,Apr,60.6,56.0,4760730.0,4393862.0,366868.0,7.7
2014,May,60.6,56.0,4760984.0,4402006.0,358978.0,7.5
2014,Jun,60.6,56.1,4760581.0,4410586.0,349995.0,7.4
2014,Jul,60.6,56.2,4760410.0,4419845.0,340565.0,7.2
2014,Aug,60.5,56.3,4761597.0,4429841.0,331756.0,7.0
2014,Sep,60.5,56.4,4763243.0,4439814.0,323429.0,6.8
2014,Oct,60.5,56.5,4763011.0,4448646.0,314365.0,6.6
2014,Nov,60.5,56.6,4759649.0,4455559.0,304090.0,6.4
2014,Dec,60.4,56.7,4754985.0,4461008.0,293977.0,6.2
2015,Jan,60.3,56.7,4751121.0,4465483.0,285638.0,6.0
2015,Feb,60.3,56.8,4748842.0,4469325.0,279517.0,5.9
2015,Mar,60.3,56.8,4748857.0,4473859.0,274998.0,5.8
2015,Apr,60.3,56.9,4750757.0,4479763.0,270994.0,5.7
2015,May,60.3,56.9,4753081.0,4486713.0,266368.0,5.6
2015,Jun,60.3,57.0,4754815.0,4494018.0,260797.0,5.5
2015,Jul,60.3,57.1,4756256.0,4501568.0,254688.0,5.4
2015,Aug,60.3,57.2,4758144.0,4509543.0,248601.0,5.2
2015,Sep,60.4,57.3,4761803.0,4518849.0,242954.0,5.1
2015,Oct,60.4,57.4,4769314.0,4530470.0,238844.0,5.0
2015,Nov,60.5,57.5,4781113.0,4544206.0,236907.0,5.0
2015,Dec,60.7,57.7,4795181.0,4558668.0,236513.0,4.9
2016,Jan,60.9,57.9,4808822.0,4571961.0,236861.0,4.9
2016,Feb,61.0,58.0,4820513.0,4582714.0,237799.0,4.9
2016,Mar,61.1,58.1,4829629.0,4590535.0,239094.0,5.0
2016,Apr,61.2,58.1,4836910.0,4596471.0,240439.0,5.0
2016,May,61.2,58.2,4843434.0,4601766.0,241668.0,5.0
2016,Jun,61.3,58.2,4849566.0,4606797.0,242769.0,5.0
2016,Jul,61.3,58.2,4855399.0,4611733.0,243666.0,5.0
2016,Aug,61.4,58.3,4860940.0,4616444.0,244496.0,5.0
2016,Sep,61.4,58.3,4866256.0,4620323.0,245933.0,5.1
2016,Oct,61.4,58.3,4870453.0,4623219.0,247234.0,5.1
2016,Nov,61.4,58.3,4873086.0,4626288.0,246798.0,5.1
2016,Dec,61.4,58.3,4874253.0,4630737.0,243516.0,5.0
2017,Jan,61.3,58.4,4896758.0,4659428.0,237330.0,4.8
2017,Feb,61.3,58.5,4896252.0,4668276.0,227976.0,4.7
2017,Mar,61.3,58.6,4895969.0,4677098.0,218871.0,4.5
2017,Apr,61.3,58.6,4897585.0,4684609.0,212976.0,4.3
2017,May,61.3,58.7,4902149.0,4690213.0,211936.0,4.3
2017,Jun,61.4,58.7,4908978.0,4693648.0,215330.0,4.4
2017,Jul,61.4,58.7,4916658.0,4694847.0,221811.0,4.5
2017,Aug,61.5,58.6,4922722.0,4693937.0,228785.0,4.6
2017,Sep,61.5,58.6,4925268.0,4691656.0,233612.0,4.7
2017,Oct,61.5,58.5,4924445.0,4689603.0,234842.0,4.8
2017,Nov,61.4,58.5,4921884.0,4689031.0,232853.0,4.7
2017,Dec,61.4,58.5,4920031.0,4691756.0,228275.0,4.6
2018,Jan,61.4,58.6,4921307.0,4699003.0,222304.0,4.5
2018,Feb,61.4,58.7,4926798.0,4710607.0,216191.0,4.4
2018,Mar,61.5,58.9,4934424.0,4724083.0,210341.0,4.3
2018,Apr,61.6,59.0,4940110.0,4735329.0,204781.0,4.1
2018,May,61.6,59.1,4942048.0,4741589.0,200459.0,4.1
2018,Jun,61.6,59.1,4941326.0,4742855.0,198471.0,4.0
2018,Jul,61.5,59.0,4939428.0,4740742.0,198686.0,4.0
2018,Aug,61.5,59.0,4938929.0,4738274.0,200655.0,4.1
2018,Sep,61.5,59.0,4941061.0,4737567.0,203494.0,4.1
2018,Oct,61.5,59.0,4945622.0,4739280.0,206342.0,4.2
2018,Nov,61.6,59.0,4951727.0,4743011.0,208716.0,4.2
2018,Dec,61.7,59.0,4957789.0,4747929.0,209860.0,4.2
2019,Jan,61.7,59.1,4962244.0,4752990.0,209254.0,4.2
2019,Feb,61.7,59.2,4964805.0,4757683.0,207122.0,4.2
2019,Mar,61.8,59.2,4966873.0,4761695.0,205178.0,4.1
2019,Apr,61.8,59.2,4969895.0,4765306.0,204589.0,4.1
2019,May,61.8,59.3,4973009.0,4767742.0,205267.0,4.1
2019,Jun,61.8,59.3,4975206.0,4768486.0,206720.0,4.2
2019,Jul,61.8,59.2,4975972.0,4767901.0,208071.0,4.2
2019,Aug,61.8,59.2,4975210.0,4767057.0,208153.0,4.2
2019,Sep,61.7,59.2,4973743.0,4768528.0,205215.0,4.1
2019,Oct,61.7,59.2,4971894.0,4772044.0,199850.0,4.0
2019,Nov,61.7,59.2,4968361.0,4774614.0,193747.0,3.9
2019,Dec,61.5,59.2,4960659.0,4771296.0,189363.0,3.8
2020,Jan,61.4,59.0,4947228.0,4759231.0,187997.0,3.8
2020,Feb,61.1,58.8,4926425.0,4738902.0,187523.0,3.8
2020,Mar,60.8,58.5,4899311.0,4715188.0,184123.0,3.8
2020,Apr,56.6,43.7,4560551.0,3524836.0,1035715.0,22.7
2020,May,60.5,48.9,4873862.0,3937789.0,936073.0,19.2
2020,Jun,62.0,52.9,4992980.0,4266100.0,726880.0,14.6
2020,Jul,61.3,53.6,4934852.0,4315434.0,619418.0,12.6
2020,Aug,60.3,54.3,4861442.0,4377730.0,483712.0,9.9
2020,Sep,60.1,54.9,4844405.0,4421486.0,422919.0,8.7
2020,Oct,59.6,55.1,4802783.0,4441635.0,361148.0,7.5
2020,Nov,59.4,55.2,4786854.0,4448752.0,338102.0,7.1
2020,Dec,58.3,54.2,4695972.0,4369522.0,326450.0,7.0
2021,Jan,59.0,55.2,4755919.0,4449362.0,306557.0,6.4
2021,Feb,59.0,55.2,4751610.0,4451853.0,299757.0,6.3
2021,Mar,59.0,55.3,4753677.0,4457749.0,295928.0,6.2
2021,Apr,59.1,55.4,4762840.0,4465367.0,297473.0,6.2
2021,May,59.2,55.5,4771544.0,4473656.0,297888.0,6.2
2021,Jun,59.4,55.6,4784578.0,4481616.0,302962.0,6.3
2021,Jul,59.4,55.7,4791068.0,4492147.0,298921.0,6.2
2021,Aug,59.4,55.9,4793832.0,4505360.0,288472.0,6.0
2021,Sep,59.4,56.0,4792660.0,4521171.0,271489.0,5.7
