Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,59.5,54.1,1338147.0,1216211.0,121936.0,9.1
2012,Feb,59.3,54.0,1334895.0,1215042.0,119853.0,9.0
2012,Mar,59.2,53.9,1332365.0,1213667.0,118698.0,8.9
2012,Apr,59.1,53.8,1330658.0,1212323.0,118335.0,8.9
2012,May,59.0,53.8,1329787.0,1211394.0,118393.0,8.9
2012,Jun,59.0,53.8,1329476.0,1211194.0,118282.0,8.9
2012,Jul,59.0,53.8,1329451.0,1211838.0,117613.0,8.8
2012,Aug,59.0,53.8,1329468.0,1212890.0,116578.0,8.8
2012,Sep,58.9,53.8,1329339.0,1213704.0,115635.0,8.7
2012,Oct,58.9,53.8,1328815.0,1213839.0,114976.0,8.7
2012,Nov,58.8,53.7,1327884.0,1213261.0,114623.0,8.6
2012,Dec,58.7,53.7,1326506.0,1212063.0,114443.0,8.6
2013,Jan,58.3,53.2,1316549.0,1202216.0,114333.0,8.7
2013,Feb,57.8,52.8,1306538.0,1192627.0,113911.0,8.7
2013,Mar,57.4,52.4,1296897.0,1183985.0,112912.0,8.7
2013,Apr,57.0,52.0,1288199.0,1176746.0,111453.0,8.7
2013,May,56.6,51.7,1280192.0,1170333.0,109859.0,8.6
2013,Jun,56.2,51.4,1272370.0,1163744.0,108626.0,8.5
2013,Jul,56.0,51.2,1268048.0,1160302.0,107746.0,8.5
2013,Aug,55.4,50.7,1254811.0,1148171.0,106640.0,8.5
2013,Sep,55.3,50.6,1252815.0,1147763.0,105052.0,8.4
2013,Oct,55.2,50.6,1250602.0,1147147.0,103455.0,8.3
2013,Nov,55.1,50.6,1248764.0,1146573.0,102191.0,8.2
2013,Dec,55.0,50.5,1247492.0,1146243.0,101249.0,8.1
2014,Jan,54.9,50.5,1246805.0,1146363.0,100442.0,8.1
2014,Feb,54.9,50.5,1246453.0,1146767.0,99686.0,8.0
2014,Mar,54.9,50.5,1246033.0,1147012.0,99021.0,7.9
2014,Apr,54.8,50.5,1245010.0,1146757.0,98253.0,7.9
2014,May,54.8,50.5,1243633.0,1146391.0,97242.0,7.8
2014,Jun,54.7,50.5,1242518.0,1146590.0,95928.0,7.7
2014,Jul,54.6,50.5,1241849.0,1147388.0,94461.0,7.6
2014,Aug,54.6,50.5,1241705.0,1148638.0,93067.0,7.5
