Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,64.0,60.1,504102.0,473787.0,30315.0,6.0
2012,Feb,63.9,60.1,504157.0,474178.0,29979.0,5.9
2012,Mar,63.9,60.1,504449.0,474559.0,29890.0,5.9
2012,Apr,64.0,60.2,504942.0,474995.0,29947.0,5.9
2012,May,64.0,60.2,505634.0,475624.0,30010.0,5.9
2012,Jun,64.1,60.3,506446.0,476486.0,29960.0,5.9
2012,Jul,64.1,60.4,507185.0,477470.0,29715.0,5.9
2012,Aug,64.1,60.4,507764.0,478438.0,29326.0,5.8
2012,Sep,64.1,60.5,508244.0,479327.0,28917.0,5.7
2012,Oct,64.1,60.5,508604.0,480064.0,28540.0,5.6
2012,Nov,64.1,60.5,508875.0,480628.0,28247.0,5.6
2012,Dec,64.0,60.5,509103.0,481061.0,28042.0,5.5
2013,Jan,64.0,60.5,509349.0,481423.0,27926.0,5.5
2013,Feb,64.0,60.5,509687.0,481801.0,27886.0,5.5
2013,Mar,64.0,60.5,510119.0,482245.0,27874.0,5.5
2013,Apr,64.0,60.5,510594.0,482766.0,27828.0,5.5
2013,May,64.0,60.5,510966.0,483222.0,27744.0,5.4
2013,Jun,64.0,60.5,511208.0,483568.0,27640.0,5.4
2013,Jul,64.0,60.5,511458.0,483921.0,27537.0,5.4
2013,Aug,63.9,60.5,511695.0,484345.0,27350.0,5.3
2013,Sep,63.9,60.5,511880.0,484863.0,27017.0,5.3
2013,Oct,63.9,60.5,512116.0,485480.0,26636.0,5.2
2013,Nov,63.9,60.6,512380.0,486132.0,26248.0,5.1
2013,Dec,63.8,60.6,512516.0,486660.0,25856.0,5.0
2014,Jan,63.8,60.6,512421.0,486983.0,25438.0,5.0
2014,Feb,63.7,60.6,512169.0,487185.0,24984.0,4.9
2014,Mar,63.6,60.6,511966.0,487393.0,24573.0,4.8
2014,Apr,63.6,60.6,511934.0,487669.0,24265.0,4.7
2014,May,63.6,60.6,512134.0,488112.0,24022.0,4.7
2014,Jun,63.6,60.6,512539.0,488704.0,23835.0,4.7
2014,Jul,63.5,60.6,512909.0,489212.0,23697.0,4.6
2014,Aug,63.5,60.6,513167.0,489580.0,23587.0,4.6
2014,Sep,63.5,60.6,513367.0,489884.0,23483.0,4.6
2014,Oct,63.4,60.6,513525.0,490239.0,23286.0,4.5
2014,Nov,63.4,60.6,513751.0,490786.0,22965.0,4.5
2014,Dec,63.4,60.6,514253.0,491643.0,22610.0,4.4
2015,Jan,63.5,60.7,515033.0,492735.0,22298.0,4.3
2015,Feb,63.6,60.8,515924.0,493824.0,22100.0,4.3
2015,Mar,63.6,60.9,516734.0,494730.0,22004.0,4.3
2015,Apr,63.6,60.9,517282.0,495305.0,21977.0,4.2
2015,May,63.6,60.9,517493.0,495499.0,21994.0,4.3
2015,Jun,63.6,60.9,517470.0,495452.0,22018.0,4.3
2015,Jul,63.5,60.8,517499.0,495460.0,22039.0,4.3
2015,Aug,63.5,60.8,517775.0,495684.0,22091.0,4.3
