Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,64.7,56.7,1363603.0,1195245.0,168358.0,12.3
2012,Feb,64.6,56.7,1363319.0,1197373.0,165946.0,12.2
2012,Mar,64.5,56.7,1363757.0,1199248.0,164509.0,12.1
2012,Apr,64.5,56.8,1364616.0,1200986.0,163630.0,12.0
2012,May,64.5,56.8,1365728.0,1202977.0,162751.0,11.9
2012,Jun,64.4,56.8,1366798.0,1205447.0,161351.0,11.8
2012,Jul,64.4,56.9,1367483.0,1208382.0,159101.0,11.6
2012,Aug,64.3,57.0,1367955.0,1211574.0,156381.0,11.4
2012,Sep,64.3,57.0,1368573.0,1214739.0,153834.0,11.2
2012,Oct,64.2,57.1,1369063.0,1217434.0,151629.0,11.1
2012,Nov,64.1,57.1,1369310.0,1219490.0,149820.0,10.9
2012,Dec,64.0,57.1,1369233.0,1220968.0,148265.0,10.8
2013,Jan,64.0,57.1,1368931.0,1222071.0,146860.0,10.7
2013,Feb,63.9,57.1,1368771.0,1223325.0,145446.0,10.6
2013,Mar,63.8,57.1,1368999.0,1225232.0,143767.0,10.5
2013,Apr,63.8,57.2,1369806.0,1227979.0,141827.0,10.4
2013,May,63.8,57.3,1370943.0,1231067.0,139876.0,10.2
2013,Jun,63.8,57.3,1372012.0,1233932.0,138080.0,10.1
2013,Jul,63.7,57.4,1372712.0,1236337.0,136375.0,9.9
2013,Aug,63.6,57.4,1372608.0,1238307.0,134301.0,9.8
2013,Sep,63.5,57.4,1371772.0,1240084.0,131688.0,9.6
2013,Oct,63.3,57.4,1371166.0,1242032.0,129134.0,9.4
2013,Nov,63.2,57.4,1371342.0,1244462.0,126880.0,9.3
2013,Dec,63.2,57.4,1372217.0,1247354.0,124863.0,9.1
2014,Jan,63.2,57.5,1373421.0,1250571.0,122850.0,8.9
2014,Feb,63.1,57.6,1374578.0,1253863.0,120715.0,8.8
2014,Mar,63.1,57.7,1375605.0,1256934.0,118671.0,8.6
2014,Apr,63.0,57.7,1376354.0,1259583.0,116771.0,8.5
2014,May,63.0,57.7,1376943.0,1262099.0,114844.0,8.3
2014,Jun,62.9,57.8,1377865.0,1264946.0,112919.0,8.2
2014,Jul,62.9,57.8,1379296.0,1268140.0,111156.0,8.1
2014,Aug,62.9,57.9,1381318.0,1271663.0,109655.0,7.9
2014,Sep,62.9,58.0,1383739.0,1275356.0,108383.0,7.8
2014,Oct,62.9,58.0,1385877.0,1278928.0,106949.0,7.7
2014,Nov,62.8,58.1,1387386.0,1282078.0,105308.0,7.6
2014,Dec,62.8,58.1,1388719.0,1284896.0,103823.0,7.5
2015,Jan,62.7,58.1,1390075.0,1287564.0,102511.0,7.4
2015,Feb,62.7,58.1,1391547.0,1290189.0,101358.0,7.3
2015,Mar,62.7,58.2,1393136.0,1292980.0,100156.0,7.2
2015,Apr,62.7,58.2,1394785.0,1295937.0,98848.0,7.1
2015,May,62.6,58.3,1396200.0,1298740.0,97460.0,7.0
2015,Jun,62.6,58.3,1397085.0,1301068.0,96017.0,6.9
2015,Jul,62.5,58.3,1397589.0,1302948.0,94641.0,6.8
2015,Aug,62.4,58.2,1398013.0,1304599.0,93414.0,6.7
2015,Sep,62.3,58.2,1398568.0,1306362.0,92206.0,6.6
2015,Oct,62.3,58.2,1399703.0,1308661.0,91042.0,6.5
2015,Nov,62.2,58.2,1401563.0,1311565.0,89998.0,6.4
2015,Dec,62.2,58.3,1403650.0,1314754.0,88896.0,6.3
2016,Jan,62.2,58.3,1405588.0,1317857.0,87731.0,6.2
2016,Feb,62.2,58.4,1407222.0,1320668.0,86554.0,6.2
2016,Mar,62.2,58.4,1408473.0,1323153.0,85320.0,6.1
2016,Apr,62.1,58.4,1409538.0,1325445.0,84093.0,6.0
2016,May,62.1,58.4,1410785.0,1327774.0,83011.0,5.9
2016,Jun,62.0,58.4,1412384.0,1330298.0,82086.0,5.8
2016,Jul,62.0,58.5,1414241.0,1333032.0,81209.0,5.7
2016,Aug,62.0,58.5,1416277.0,1335898.0,80379.0,5.7
2016,Sep,62.0,58.5,1418474.0,1338773.0,79701.0,5.6
2016,Oct,62.0,58.5,1420709.0,1341689.0,79020.0,5.6
2016,Nov,61.9,58.5,1423131.0,1344990.0,78141.0,5.5
2016,Dec,62.0,58.6,1426046.0,1348939.0,77107.0,5.4
2017,Jan,62.2,58.8,1422626.0,1345895.0,76731.0,5.4
2017,Feb,62.3,59.0,1427127.0,1351001.0,76126.0,5.3
2017,Mar,62.4,59.1,1431411.0,1356268.0,75143.0,5.2
2017,Apr,62.4,59.2,1435347.0,1361526.0,73821.0,5.1
2017,May,62.5,59.4,1438906.0,1366662.0,72244.0,5.0
2017,Jun,62.6,59.5,1442180.0,1371436.0,70744.0,4.9
2017,Jul,62.6,59.6,1445520.0,1375795.0,69725.0,4.8
2017,Aug,62.6,59.6,1449012.0,1379704.0,69308.0,4.8
2017,Sep,62.7,59.7,1452637.0,1383214.0,69423.0,4.8
2017,Oct,62.7,59.7,1456539.0,1386589.0,69950.0,4.8
2017,Nov,62.8,59.7,1460795.0,1390016.0,70779.0,4.8
2017,Dec,62.9,59.8,1465560.0,1393994.0,71566.0,4.9
2018,Jan,63.0,59.9,1470869.0,1398904.0,71965.0,4.9
2018,Feb,63.1,60.1,1476446.0,1404901.0,71545.0,4.8
2018,Mar,63.2,60.3,1481564.0,1411555.0,70009.0,4.7
2018,Apr,63.3,60.4,1485423.0,1417957.0,67466.0,4.5
