Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,65.9,59.8,4573226.0,4149396.0,423830.0,9.3
2012,Feb,65.9,59.8,4572104.0,4146808.0,425296.0,9.3
2012,Mar,65.9,59.7,4572304.0,4143868.0,428436.0,9.4
2012,Apr,65.9,59.7,4572964.0,4140731.0,432233.0,9.5
2012,May,65.9,59.6,4574098.0,4138729.0,435369.0,9.5
2012,Jun,65.9,59.6,4575467.0,4138908.0,436559.0,9.5
2012,Jul,65.9,59.6,4576629.0,4141405.0,435224.0,9.5
2012,Aug,65.9,59.6,4578329.0,4145792.0,432537.0,9.4
2012,Sep,65.9,59.7,4581093.0,4151159.0,429934.0,9.4
2012,Oct,65.9,59.7,4583579.0,4156020.0,427559.0,9.3
2012,Nov,65.9,59.8,4584357.0,4159323.0,425034.0,9.3
2012,Dec,65.8,59.8,4582248.0,4160353.0,421895.0,9.2
2013,Jan,65.7,59.7,4576918.0,4158784.0,418134.0,9.1
2013,Feb,65.6,59.7,4569169.0,4155701.0,413468.0,9.0
2013,Mar,65.5,59.6,4560491.0,4152943.0,407548.0,8.9
2013,Apr,65.3,59.6,4552734.0,4152015.0,400719.0,8.8
2013,May,65.2,59.6,4545446.0,4151597.0,393849.0,8.7
2013,Jun,65.1,59.5,4537662.0,4150253.0,387409.0,8.5
2013,Jul,64.9,59.5,4528808.0,4147947.0,380861.0,8.4
2013,Aug,64.7,59.4,4517350.0,4144838.0,372512.0,8.2
2013,Sep,64.5,59.3,4503664.0,4141572.0,362092.0,8.0
2013,Oct,64.3,59.3,4490616.0,4139153.0,351463.0,7.8
2013,Nov,64.2,59.3,4480939.0,4139036.0,341903.0,7.6
2013,Dec,64.1,59.3,4475815.0,4142292.0,333523.0,7.5
2014,Jan,64.0,59.4,4474601.0,4148926.0,325675.0,7.3
2014,Feb,64.1,59.5,4475891.0,4157794.0,318097.0,7.1
2014,Mar,64.1,59.6,4478887.0,4167358.0,311529.0,7.0
2014,Apr,64.1,59.7,4482331.0,4175971.0,306360.0,6.8
2014,May,64.2,59.8,4486012.0,4183785.0,302227.0,6.7
2014,Jun,64.2,59.9,4490716.0,4191512.0,299204.0,6.7
2014,Jul,64.3,60.0,4496114.0,4198635.0,297479.0,6.6
2014,Aug,64.3,60.1,4502037.0,4205182.0,296855.0,6.6
2014,Sep,64.4,60.2,4507583.0,4211077.0,296506.0,6.6
2014,Oct,64.4,60.2,4510847.0,4215767.0,295080.0,6.5
2014,Nov,64.4,60.2,4510783.0,4218647.0,292136.0,6.5
2014,Dec,64.4,60.2,4508668.0,4220057.0,288611.0,6.4
2015,Jan,64.3,60.2,4506245.0,4221064.0,285181.0,6.3
2015,Feb,64.3,60.3,4504414.0,4222229.0,282185.0,6.3
2015,Mar,64.3,60.3,4503300.0,4224426.0,278874.0,6.2
2015,Apr,64.2,60.3,4502099.0,4227666.0,274433.0,6.1
2015,May,64.2,60.4,4499740.0,4231181.0,268559.0,6.0
2015,Jun,64.1,60.4,4495690.0,4234299.0,261391.0,5.8
2015,Jul,64.0,60.4,4490941.0,4237324.0,253617.0,5.6
2015,Aug,64.0,60.5,4486690.0,4240738.0,245952.0,5.5
2015,Sep,63.9,60.5,4483815.0,4245263.0,238552.0,5.3
2015,Oct,63.9,60.6,4484030.0,4251866.0,232164.0,5.2
2015,Nov,63.9,60.7,4487793.0,4260009.0,227784.0,5.1
2015,Dec,64.0,60.8,4493120.0,4267692.0,225428.0,5.0
2016,Jan,64.1,60.9,4497590.0,4273085.0,224505.0,5.0
