Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,58.3,54.2,927044.0,861016.0,66028.0,7.1
2012,Feb,58.3,54.2,926718.0,861491.0,65227.0,7.0
2012,Mar,58.2,54.2,926490.0,861751.0,64739.0,7.0
2012,Apr,58.2,54.2,926207.0,861707.0,64500.0,7.0
2012,May,58.2,54.1,926085.0,861677.0,64408.0,7.0
2012,Jun,58.2,54.1,926467.0,862094.0,64373.0,6.9
2012,Jul,58.2,54.2,927463.0,863126.0,64337.0,6.9
2012,Aug,58.3,54.2,928991.0,864648.0,64343.0,6.9
2012,Sep,58.4,54.3,930861.0,866333.0,64528.0,6.9
2012,Oct,58.4,54.4,932379.0,867580.0,64799.0,6.9
2012,Nov,58.4,54.4,933099.0,868064.0,65035.0,7.0
2012,Dec,58.4,54.3,933029.0,867842.0,65187.0,7.0
2013,Jan,58.3,54.3,932257.0,867056.0,65201.0,7.0
2013,Feb,58.2,54.2,931106.0,866088.0,65018.0,7.0
2013,Mar,58.2,54.1,930071.0,865458.0,64613.0,6.9
2013,Apr,58.1,54.1,929563.0,865440.0,64123.0,6.9
2013,May,58.1,54.1,929480.0,865698.0,63782.0,6.9
2013,Jun,58.1,54.1,929499.0,865780.0,63719.0,6.9
2013,Jul,58.0,54.0,929444.0,865549.0,63895.0,6.9
2013,Aug,58.0,54.0,929189.0,865146.0,64043.0,6.9
2013,Sep,58.0,54.0,928819.0,864817.0,64002.0,6.9
2013,Oct,57.9,54.0,928678.0,864770.0,63908.0,6.9
2013,Nov,57.9,54.0,928846.0,865040.0,63806.0,6.9
2013,Dec,57.9,54.0,929082.0,865489.0,63593.0,6.8
2014,Jan,57.9,54.0,929249.0,866039.0,63210.0,6.8
2014,Feb,58.0,54.0,929329.0,866611.0,62718.0,6.7
2014,Mar,58.0,54.1,929411.0,867098.0,62313.0,6.7
2014,Apr,58.0,54.1,929509.0,867421.0,62088.0,6.7
2014,May,58.0,54.1,929764.0,867859.0,61905.0,6.7
2014,Jun,58.0,54.2,930470.0,868766.0,61704.0,6.6
2014,Jul,58.1,54.2,931549.0,870102.0,61447.0,6.6
2014,Aug,58.1,54.3,932840.0,871735.0,61105.0,6.6
2014,Sep,58.2,54.4,934149.0,873427.0,60722.0,6.5
2014,Oct,58.2,54.5,935256.0,874941.0,60315.0,6.4
2014,Nov,58.2,54.5,936040.0,876027.0,60013.0,6.4
2014,Dec,58.3,54.5,936723.0,876625.0,60098.0,6.4
2015,Jan,58.3,54.5,937449.0,876798.0,60651.0,6.5
2015,Feb,58.3,54.5,938267.0,876702.0,61565.0,6.6
2015,Mar,58.4,54.5,939088.0,876587.0,62501.0,6.7
2015,Apr,58.4,54.5,939710.0,876589.0,63121.0,6.7
2015,May,58.4,54.5,939838.0,876592.0,63246.0,6.7
2015,Jun,58.3,54.4,939351.0,876434.0,62917.0,6.7
2015,Jul,58.3,54.4,938492.0,876122.0,62370.0,6.6
2015,Aug,58.2,54.3,937602.0,875731.0,61871.0,6.6
2015,Sep,58.1,54.3,936945.0,875502.0,61443.0,6.6
2015,Oct,58.1,54.3,936887.0,875740.0,61147.0,6.5
2015,Nov,58.1,54.3,937588.0,876509.0,61079.0,6.5
2015,Dec,58.2,54.4,938775.0,877628.0,61147.0,6.5
2016,Jan,58.2,54.4,940030.0,878770.0,61260.0,6.5
2016,Feb,58.3,54.5,941120.0,879654.0,61466.0,6.5
2016,Mar,58.3,54.5,941995.0,880148.0,61847.0,6.6
2016,Apr,58.3,54.5,942848.0,880344.0,62504.0,6.6
2016,May,58.4,54.5,943841.0,880426.0,63415.0,6.7
2016,Jun,58.4,54.4,944847.0,880481.0,64366.0,6.8
2016,Jul,58.5,54.4,945687.0,880580.0,65107.0,6.9
2016,Aug,58.5,54.4,946277.0,880730.0,65547.0,6.9
2016,Sep,58.5,54.4,946531.0,880785.0,65746.0,6.9
2016,Oct,58.4,54.4,946423.0,880745.0,65678.0,6.9
2016,Nov,58.4,54.4,946214.0,880917.0,65297.0,6.9
2016,Dec,58.4,54.4,946205.0,881536.0,64669.0,6.8
2017,Jan,58.4,54.4,948436.0,884417.0,64019.0,6.7
2017,Feb,58.4,54.5,949289.0,886194.0,63095.0,6.6
2017,Mar,58.5,54.6,950051.0,888083.0,61968.0,6.5
2017,Apr,58.5,54.7,950523.0,889828.0,60695.0,6.4
2017,May,58.5,54.8,950564.0,891259.0,59305.0,6.2
2017,Jun,58.4,54.9,950091.0,892199.0,57892.0,6.1
2017,Jul,58.3,54.9,949257.0,892654.0,56603.0,6.0
2017,Aug,58.3,54.8,948194.0,892747.0,55447.0,5.8
2017,Sep,58.2,54.8,947109.0,892724.0,54385.0,5.7
2017,Oct,58.1,54.8,946178.0,892867.0,53311.0,5.6
2017,Nov,58.0,54.8,945481.0,893299.0,52182.0,5.5
2017,Dec,58.0,54.8,945193.0,894267.0,50926.0,5.4
2018,Jan,58.0,54.9,945574.0,895943.0,49631.0,5.2
2018,Feb,58.0,55.1,946700.0,898319.0,48381.0,5.1
2018,Mar,58.1,55.2,948232.0,901035.0,47197.0,5.0
2018,Apr,58.2,55.3,949515.0,903412.0,46103.0,4.9
2018,May,58.2,55.4,950167.0,904933.0,45234.0,4.8
2018,Jun,58.2,55.4,950210.0,905561.0,44649.0,4.7
