Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,61.6,56.3,9564435.0,8742699.0,821736.0,8.6
2012,Feb,61.6,56.3,9568747.0,8742066.0,826681.0,8.6
2012,Mar,61.6,56.3,9575456.0,8742131.0,833325.0,8.7
2012,Apr,61.6,56.2,9581857.0,8742019.0,839838.0,8.8
2012,May,61.7,56.2,9588258.0,8744437.0,843821.0,8.8
2012,Jun,61.7,56.2,9595186.0,8751630.0,843556.0,8.8
2012,Jul,61.7,56.3,9602750.0,8764316.0,838434.0,8.7
2012,Aug,61.7,56.4,9612652.0,8781926.0,830726.0,8.6
2012,Sep,61.8,56.5,9625882.0,8802411.0,823471.0,8.6
2012,Oct,61.8,56.6,9638067.0,8820734.0,817333.0,8.5
2012,Nov,61.8,56.6,9645668.0,8833612.0,812056.0,8.4
2012,Dec,61.8,56.7,9647282.0,8840572.0,806710.0,8.4
2013,Jan,61.8,56.6,9643243.0,8842773.0,800470.0,8.3
2013,Feb,61.7,56.6,9637148.0,8844420.0,792728.0,8.2
2013,Mar,61.7,56.7,9634141.0,8850795.0,783346.0,8.1
2013,Apr,61.7,56.7,9638121.0,8864330.0,773791.0,8.0
2013,May,61.7,56.8,9646461.0,8880236.0,766225.0,7.9
2013,Jun,61.8,56.9,9655330.0,8893914.0,761416.0,7.9
2013,Jul,61.8,56.9,9660293.0,8902869.0,757424.0,7.8
2013,Aug,61.7,56.9,9655577.0,8906160.0,749417.0,7.8
2013,Sep,61.6,56.9,9640261.0,8905146.0,735115.0,7.6
2013,Oct,61.4,56.9,9620358.0,8902906.0,717452.0,7.5
2013,Nov,61.3,56.8,9601154.0,8901935.0,699219.0,7.3
2013,Dec,61.2,56.8,9583747.0,8901999.0,681748.0,7.1
2014,Jan,61.1,56.8,9568507.0,8903251.0,665256.0,7.0
2014,Feb,61.0,56.8,9555038.0,8905204.0,649834.0,6.8
