Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,62.8,56.7,4685349.0,4230281.0,455068.0,9.7
2012,Feb,62.7,56.7,4687985.0,4239253.0,448732.0,9.6
2012,Mar,62.7,56.8,4690963.0,4245775.0,445188.0,9.5
2012,Apr,62.7,56.8,4694447.0,4250182.0,444265.0,9.5
2012,May,62.7,56.8,4699826.0,4254632.0,445194.0,9.5
2012,Jun,62.8,56.8,4708084.0,4261249.0,446835.0,9.5
2012,Jul,62.9,56.9,4718993.0,4270883.0,448110.0,9.5
2012,Aug,63.0,57.0,4731208.0,4282400.0,448808.0,9.5
2012,Sep,63.0,57.1,4743200.0,4293726.0,449474.0,9.5
2012,Oct,63.1,57.1,4752900.0,4302880.0,450020.0,9.5
2012,Nov,63.1,57.1,4758979.0,4308809.0,450170.0,9.5
2012,Dec,63.1,57.1,4761413.0,4311658.0,449755.0,9.4
2013,Jan,63.0,57.1,4761137.0,4312086.0,449051.0,9.4
2013,Feb,62.7,57.0,4743684.0,4311836.0,431848.0,9.1
2013,Mar,62.5,57.0,4728352.0,4313036.0,415316.0,8.8
2013,Apr,62.3,57.0,4716914.0,4317396.0,399518.0,8.5
2013,May,62.1,57.0,4708233.0,4324012.0,384221.0,8.2
2013,Jun,61.9,57.1,4700202.0,4331352.0,368850.0,7.8
2013,Jul,61.7,57.1,4691444.0,4338744.0,352700.0,7.5
2013,Aug,61.6,57.1,4688961.0,4346556.0,342405.0,7.3
2013,Sep,61.3,57.2,4667427.0,4354108.0,313319.0,6.7
2013,Oct,61.2,57.2,4668675.0,4360357.0,308318.0,6.6
2013,Nov,61.2,57.2,4669501.0,4365537.0,303964.0,6.5
2013,Dec,61.2,57.2,4671157.0,4370197.0,300960.0,6.4
2014,Jan,61.1,57.2,4674182.0,4375293.0,298889.0,6.4
2014,Feb,61.1,57.3,4678328.0,4381465.0,296863.0,6.3
2014,Mar,61.1,57.3,4683224.0,4388272.0,294952.0,6.3
2014,Apr,61.1,57.3,4687746.0,4394339.0,293407.0,6.3
2014,May,61.1,57.3,4691864.0,4399972.0,291892.0,6.2
2014,Jun,61.1,57.4,4696574.0,4406318.0,290256.0,6.2
2014,Jul,61.1,57.4,4701014.0,4412779.0,288235.0,6.1
2014,Aug,61.1,57.4,4705145.0,4419198.0,285947.0,6.1
2014,Sep,61.1,57.4,4709906.0,4426731.0,283175.0,6.0
2014,Oct,61.1,57.5,4715147.0,4435823.0,279324.0,5.9
2014,Nov,61.1,57.5,4719503.0,4444742.0,274761.0,5.8
2014,Dec,61.1,57.6,4723623.0,4452536.0,271087.0,5.7
2015,Jan,61.1,57.6,4728780.0,4459141.0,269639.0,5.7
2015,Feb,61.1,57.6,4735727.0,4464853.0,270874.0,5.7
2015,Mar,61.1,57.6,4744251.0,4470715.0,273536.0,5.8
2015,Apr,61.2,57.6,4753189.0,4477145.0,276044.0,5.8
