Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,63.6,58.6,5734275.0,5284949.0,449326.0,7.8
2012,Feb,63.6,58.7,5731180.0,5291278.0,439902.0,7.7
2012,Mar,63.5,58.7,5727867.0,5294585.0,433282.0,7.6
2012,Apr,63.5,58.7,5721910.0,5293517.0,428393.0,7.5
2012,May,63.4,58.7,5714684.0,5290887.0,423797.0,7.4
2012,Jun,63.3,58.6,5708474.0,5289595.0,418879.0,7.3
2012,Jul,63.2,58.6,5703982.0,5290271.0,413711.0,7.3
2012,Aug,63.2,58.6,5701818.0,5292044.0,409774.0,7.2
2012,Sep,63.1,58.6,5702365.0,5293329.0,409036.0,7.2
2012,Oct,63.1,58.6,5703549.0,5291979.0,411570.0,7.2
2012,Nov,63.1,58.5,5703304.0,5287084.0,416220.0,7.3
2012,Dec,63.1,58.4,5701489.0,5279998.0,421491.0,7.4
2013,Jan,63.0,58.3,5699301.0,5272736.0,426565.0,7.5
2013,Feb,63.0,58.2,5698685.0,5268265.0,430420.0,7.6
2013,Mar,63.0,58.2,5701127.0,5269020.0,432107.0,7.6
2013,Apr,63.1,58.3,5706929.0,5274989.0,431940.0,7.6
2013,May,63.1,58.3,5713147.0,5281766.0,431381.0,7.6
2013,Jun,63.1,58.4,5717334.0,5285529.0,431805.0,7.6
2013,Jul,63.1,58.3,5718793.0,5285992.0,432801.0,7.6
2013,Aug,63.1,58.3,5716629.0,5284908.0,431721.0,7.6
2013,Sep,63.0,58.3,5711245.0,5284794.0,426451.0,7.5
2013,Oct,62.9,58.3,5705087.0,5287632.0,417455.0,7.3
2013,Nov,62.8,58.3,5700211.0,5294623.0,405588.0,7.1
2013,Dec,62.7,58.4,5696553.0,5304884.0,391669.0,6.9
2014,Jan,62.7,58.5,5693500.0,5316915.0,376585.0,6.6
2014,Feb,62.7,58.7,5691029.0,5328838.0,362191.0,6.4
2014,Mar,62.6,58.8,5690228.0,5339396.0,350832.0,6.2
2014,Apr,62.6,58.9,5691744.0,5348627.0,343117.0,6.0
2014,May,62.7,58.9,5696376.0,5358794.0,337582.0,5.9
2014,Jun,62.7,59.1,5704592.0,5372122.0,332470.0,5.8
2014,Jul,62.8,59.2,5714956.0,5387836.0,327120.0,5.7
2014,Aug,62.9,59.4,5726029.0,5404261.0,321768.0,5.6
2014,Sep,63.0,59.5,5735306.0,5419107.0,316199.0,5.5
2014,Oct,63.0,59.6,5740022.0,5429896.0,310126.0,5.4
2014,Nov,63.0,59.6,5738510.0,5434432.0,304078.0,5.3
2014,Dec,62.9,59.6,5732637.0,5433117.0,299520.0,5.2
2015,Jan,62.8,59.5,5725314.0,5428302.0,297012.0,5.2
2015,Feb,62.7,59.5,5719068.0,5423145.0,295923.0,5.2
2015,Mar,62.7,59.5,5715533.0,5421129.0,294404.0,5.2
2015,Apr,62.7,59.5,5713945.0,5422656.0,291289.0,5.1
2015,May,62.6,59.5,5712467.0,5426068.0,286399.0,5.0
2015,Jun,62.6,59.5,5709322.0,5428877.0,280445.0,4.9
2015,Jul,62.5,59.5,5704862.0,5429949.0,274913.0,4.8
2015,Aug,62.4,59.5,5700670.0,5429438.0,271232.0,4.8
2015,Sep,62.4,59.4,5698995.0,5428901.0,270094.0,4.7
2015,Oct,62.4,59.4,5702644.0,5430886.0,271758.0,4.8
2015,Nov,62.5,59.5,5713128.0,5437112.0,276016.0,4.8
2015,Dec,62.7,59.6,5728436.0,5446975.0,281461.0,4.9
2016,Jan,62.8,59.7,5743731.0,5457717.0,286014.0,5.0
2016,Feb,62.9,59.8,5754850.0,5466498.0,288352.0,5.0
2016,Mar,63.0,59.8,5759537.0,5471393.0,288144.0,5.0
2016,Apr,62.9,59.8,5759108.0,5472521.0,286587.0,5.0
2016,May,62.9,59.8,5756166.0,5470836.0,285330.0,5.0
2016,Jun,62.8,59.7,5752564.0,5467270.0,285294.0,5.0
2016,Jul,62.8,59.7,5749748.0,5463246.0,286502.0,5.0
2016,Aug,62.7,59.6,5749164.0,5459942.0,289222.0,5.0
2016,Sep,62.8,59.5,5752040.0,5458133.0,293907.0,5.1
2016,Oct,62.8,59.5,5757428.0,5457993.0,299435.0,5.2
2016,Nov,62.8,59.5,5763754.0,5460359.0,303395.0,5.3
2016,Dec,62.9,59.6,5770112.0,5465690.0,304422.0,5.3
2017,Jan,62.9,59.6,5795256.0,5490665.0,304591.0,5.3
2017,Feb,62.9,59.7,5803585.0,5501760.0,301825.0,5.2
2017,Mar,63.0,59.8,5811518.0,5512940.0,298578.0,5.1
2017,Apr,63.1,59.9,5818553.0,5523019.0,295534.0,5.1
2017,May,63.1,59.9,5824602.0,5531724.0,292878.0,5.0
2017,Jun,63.1,60.0,5829922.0,5538880.0,291042.0,5.0
