Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,62.0,58.7,1786242.0,1692448.0,93794.0,5.3
2012,Feb,62.0,58.8,1787662.0,1695613.0,92049.0,5.1
2012,Mar,62.0,58.8,1789039.0,1698086.0,90953.0,5.1
2012,Apr,62.0,58.9,1790363.0,1699795.0,90568.0,5.1
2012,May,62.0,58.9,1791951.0,1701275.0,90676.0,5.1
2012,Jun,62.0,58.9,1793879.0,1702959.0,90920.0,5.1
2012,Jul,62.0,58.9,1795981.0,1705012.0,90969.0,5.1
2012,Aug,62.1,58.9,1798319.0,1707423.0,90896.0,5.1
2012,Sep,62.1,59.0,1800762.0,1709795.0,90967.0,5.1
2012,Oct,62.1,59.0,1802490.0,1711251.0,91239.0,5.1
2012,Nov,62.1,58.9,1802927.0,1711235.0,91692.0,5.1
2012,Dec,62.0,58.8,1802218.0,1709988.0,92230.0,5.1
2013,Jan,61.9,58.7,1800908.0,1708092.0,92816.0,5.2
2013,Feb,61.8,58.6,1799714.0,1706445.0,93269.0,5.2
2013,Mar,61.8,58.6,1799353.0,1706007.0,93346.0,5.2
2013,Apr,61.8,58.6,1800235.0,1707161.0,93074.0,5.2
2013,May,61.8,58.6,1801681.0,1708925.0,92756.0,5.1
2013,Jun,61.7,58.6,1802864.0,1710192.0,92672.0,5.1
2013,Jul,61.7,58.5,1803164.0,1710369.0,92795.0,5.1
2013,Aug,61.6,58.5,1802134.0,1709443.0,92691.0,5.1
2013,Sep,61.5,58.4,1800109.0,1707972.0,92137.0,5.1
2013,Oct,61.4,58.3,1798068.0,1706719.0,91349.0,5.1
2013,Nov,61.3,58.2,1796614.0,1706259.0,90355.0,5.0
2013,Dec,61.2,58.2,1795533.0,1706508.0,89025.0,5.0
2014,Jan,61.1,58.2,1794313.0,1707122.0,87191.0,4.9
2014,Feb,61.1,58.2,1792880.0,1707926.0,84954.0,4.7
2014,Mar,61.0,58.2,1791504.0,1708779.0,82725.0,4.6
2014,Apr,60.9,58.2,1790356.0,1709600.0,80756.0,4.5
2014,May,60.9,58.2,1790090.0,1711113.0,78977.0,4.4
2014,Jun,60.9,58.2,1791491.0,1714066.0,77425.0,4.3
2014,Jul,60.9,58.3,1794276.0,1718123.0,76153.0,4.2
2014,Aug,61.0,58.4,1798094.0,1722930.0,75164.0,4.2
2014,Sep,61.1,58.6,1802468.0,1728111.0,74357.0,4.1
2014,Oct,61.2,58.7,1806752.0,1733263.0,73489.0,4.1
2014,Nov,61.2,58.8,1810599.0,1737920.0,72679.0,4.0
2014,Dec,61.3,58.9,1814538.0,1742065.0,72473.0,4.0
2015,Jan,61.4,59.0,1819030.0,1745819.0,73211.0,4.0
2015,Feb,61.6,59.0,1823885.0,1749030.0,74855.0,4.1
2015,Mar,61.7,59.1,1828473.0,1751584.0,76889.0,4.2
2015,Apr,61.8,59.1,1831977.0,1753289.0,78688.0,4.3
2015,May,61.8,59.1,1833635.0,1753826.0,79809.0,4.4
2015,Jun,61.7,59.0,1833226.0,1753090.0,80136.0,4.4
2015,Jul,61.6,58.9,1831607.0,1751708.0,79899.0,4.4
2015,Aug,61.5,58.8,1829635.0,1750196.0,79439.0,4.3
2015,Sep,61.4,58.8,1828048.0,1749022.0,79026.0,4.3
2015,Oct,61.4,58.7,1827831.0,1748766.0,79065.0,4.3
2015,Nov,61.4,58.7,1829254.0,1749506.0,79748.0,4.4
2015,Dec,61.4,58.7,1831352.0,1750553.0,80799.0,4.4
2016,Jan,61.4,58.7,1832930.0,1751007.0,81923.0,4.5
2016,Feb,61.4,58.7,1833389.0,1750363.0,83026.0,4.5
2016,Mar,61.4,58.6,1832699.0,1748627.0,84072.0,4.6
2016,Apr,61.3,58.5,1831282.0,1746117.0,85165.0,4.7
2016,May,61.2,58.3,1829596.0,1743321.0,86275.0,4.7
2016,Jun,61.1,58.2,1828018.0,1740924.0,87094.0,4.8
2016,Jul,61.1,58.1,1826864.0,1739455.0,87409.0,4.8
2016,Aug,61.0,58.1,1826152.0,1738948.0,87204.0,4.8
2016,Sep,61.0,58.1,1825492.0,1738937.0,86555.0,4.7
2016,Oct,60.9,58.1,1824350.0,1738956.0,85394.0,4.7
2016,Nov,60.9,58.1,1822914.0,1739205.0,83709.0,4.6
2016,Dec,60.8,58.1,1821747.0,1740013.0,81734.0,4.5
2017,Jan,60.9,58.2,1816237.0,1736893.0,79344.0,4.4
2017,Feb,60.9,58.3,1816717.0,1739314.0,77403.0,4.3
2017,Mar,60.9,58.4,1818055.0,1742293.0,75762.0,4.2
