Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,60.2,54.4,2186464.0,1977447.0,209017.0,9.6
2012,Feb,60.1,54.4,2185903.0,1978893.0,207010.0,9.5
2012,Mar,60.0,54.4,2186140.0,1980232.0,205908.0,9.4
2012,Apr,60.0,54.4,2186592.0,1981691.0,204901.0,9.4
2012,May,59.9,54.4,2187077.0,1983929.0,203148.0,9.3
2012,Jun,59.9,54.4,2187672.0,1987341.0,200331.0,9.2
2012,Jul,59.9,54.5,2188604.0,1991994.0,196610.0,9.0
2012,Aug,59.8,54.6,2190380.0,1997580.0,192800.0,8.8
2012,Sep,59.8,54.7,2193195.0,2003396.0,189799.0,8.7
2012,Oct,59.9,54.7,2196167.0,2008369.0,187798.0,8.6
2012,Nov,59.8,54.8,2198590.0,2011982.0,186608.0,8.5
2012,Dec,59.8,54.8,2199962.0,2014398.0,185564.0,8.4
2013,Jan,59.8,54.8,2200061.0,2016002.0,184059.0,8.4
2013,Feb,59.7,54.7,2199344.0,2017705.0,181639.0,8.3
2013,Mar,59.6,54.8,2198641.0,2020519.0,178122.0,8.1
2013,Apr,59.5,54.8,2198847.0,2024897.0,173950.0,7.9
2013,May,59.5,54.9,2199734.0,2029943.0,169791.0,7.7
2013,Jun,59.5,55.0,2200680.0,2034640.0,166040.0,7.5
2013,Jul,59.4,55.0,2201018.0,2038451.0,162567.0,7.4
2013,Aug,59.3,55.0,2200075.0,2041415.0,158660.0,7.2
2013,Sep,59.2,55.0,2197737.0,2043945.0,153792.0,7.0
2013,Oct,59.0,55.0,2195205.0,2046797.0,148408.0,6.8
2013,Nov,58.9,55.1,2193757.0,2050570.0,143187.0,6.5
2013,Dec,58.8,55.1,2193803.0,2055149.0,138654.0,6.3
2014,Jan,58.8,55.2,2195170.0,2060182.0,134988.0,6.1
2014,Feb,58.8,55.3,2197611.0,2065174.0,132437.0,6.0
2014,Mar,58.8,55.3,2201104.0,2069541.0,131563.0,6.0
2014,Apr,58.9,55.3,2205386.0,2072892.0,132494.0,6.0
2014,May,58.9,55.3,2210478.0,2075727.0,134751.0,6.1
2014,Jun,59.0,55.4,2216695.0,2078892.0,137803.0,6.2
2014,Jul,59.1,55.4,2223807.0,2082702.0,141105.0,6.3
2014,Aug,59.3,55.4,2231509.0,2087391.0,144118.0,6.5
2014,Sep,59.4,55.5,2239247.0,2092822.0,146425.0,6.5
2014,Oct,59.5,55.6,2245849.0,2098372.0,147477.0,6.6
2014,Nov,59.5,55.6,2250477.0,2103434.0,147043.0,6.5
2014,Dec,59.5,55.7,2253950.0,2108022.0,145928.0,6.5
2015,Jan,59.5,55.7,2257193.0,2112314.0,144879.0,6.4
2015,Feb,59.5,55.7,2260446.0,2116354.0,144092.0,6.4
2015,Mar,59.5,55.8,2263671.0,2120647.0,143024.0,6.3
2015,Apr,59.5,55.8,2266502.0,2125329.0,141173.0,6.2
2015,May,59.5,55.8,2268384.0,2129882.0,138502.0,6.1
2015,Jun,59.4,55.9,2268969.0,2133764.0,135205.0,6.0
2015,Jul,59.3,55.9,2268743.0,2136969.0,131774.0,5.8
2015,Aug,59.2,55.9,2268472.0,2139758.0,128714.0,5.7
2015,Sep,59.2,55.9,2268967.0,2142840.0,126127.0,5.6
2015,Oct,59.1,55.9,2271292.0,2147013.0,124279.0,5.5
2015,Nov,59.2,55.9,2275676.0,2152291.0,123385.0,5.4
2015,Dec,59.2,56.0,2280829.0,2157985.0,122844.0,5.4
