Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,62.0,56.9,3097157.0,2843050.0,254107.0,8.2
2012,Feb,61.8,56.8,3094096.0,2843731.0,250365.0,8.1
2012,Mar,61.8,56.8,3092834.0,2843922.0,248912.0,8.0
2012,Apr,61.7,56.8,3092229.0,2843514.0,248715.0,8.0
2012,May,61.7,56.7,3092082.0,2843398.0,248684.0,8.0
2012,Jun,61.6,56.7,3092371.0,2844370.0,248001.0,8.0
2012,Jul,61.6,56.7,3093294.0,2847096.0,246198.0,8.0
2012,Aug,61.6,56.7,3095301.0,2851322.0,243979.0,7.9
2012,Sep,61.6,56.8,3098402.0,2855937.0,242465.0,7.8
2012,Oct,61.6,56.8,3101365.0,2859257.0,242108.0,7.8
2012,Nov,61.6,56.8,3103321.0,2860286.0,243035.0,7.8
2012,Dec,61.6,56.7,3103871.0,2859008.0,244863.0,7.9
2013,Jan,61.5,56.6,3102423.0,2855543.0,246880.0,8.0
2013,Feb,61.4,56.5,3099418.0,2851148.0,248270.0,8.0
2013,Mar,61.3,56.4,3095898.0,2847593.0,248305.0,8.0
2013,Apr,61.2,56.3,3092912.0,2845925.0,246987.0,8.0
2013,May,61.1,56.2,3089865.0,2844913.0,244952.0,7.9
2013,Jun,61.0,56.2,3085954.0,2843190.0,242764.0,7.9
2013,Jul,60.8,56.1,3080892.0,2840265.0,240627.0,7.8
2013,Aug,60.6,56.0,3074336.0,2836800.0,237536.0,7.7
2013,Sep,60.4,55.9,3066803.0,2833931.0,232872.0,7.6
2013,Oct,60.3,55.8,3059810.0,2832394.0,227416.0,7.4
2013,Nov,60.1,55.7,3054206.0,2832369.0,221837.0,7.3
2013,Dec,60.0,55.7,3049904.0,2833383.0,216521.0,7.1
2014,Jan,59.9,55.7,3046560.0,2834891.0,211669.0,6.9
2014,Feb,59.8,55.7,3043669.0,2835964.0,207705.0,6.8
2014,Mar,59.7,55.7,3041048.0,2835726.0,205322.0,6.8
2014,Apr,59.6,55.6,3038521.0,2834046.0,204475.0,6.7
2014,May,59.5,55.5,3036563.0,2832484.0,204079.0,6.7
2014,Jun,59.5,55.5,3036228.0,2832894.0,203334.0,6.7
2014,Jul,59.4,55.5,3037420.0,2835451.0,201969.0,6.6
2014,Aug,59.4,55.5,3040492.0,2840279.0,200213.0,6.6
2014,Sep,59.5,55.6,3045235.0,2846964.0,198271.0,6.5
2014,Oct,59.5,55.7,3049884.0,2854160.0,195724.0,6.4
2014,Nov,59.5,55.8,3052910.0,2860333.0,192577.0,6.3
2014,Dec,59.5,55.8,3054766.0,2865175.0,189591.0,6.2
2015,Jan,59.5,55.9,3056389.0,2869136.0,187253.0,6.1
2015,Feb,59.5,55.9,3058800.0,2873342.0,185458.0,6.1
2015,Mar,59.5,56.0,3062426.0,2878956.0,183470.0,6.0
2015,Apr,59.6,56.1,3066692.0,2885754.0,180938.0,5.9
2015,May,59.6,56.2,3070773.0,2892935.0,177838.0,5.8
2015,Jun,59.6,56.2,3073789.0,2899547.0,174242.0,5.7
2015,Jul,59.6,56.3,3075793.0,2905360.0,170433.0,5.5
2015,Aug,59.6,56.4,3077329.0,2910795.0,166534.0,5.4
2015,Sep,59.6,56.4,3079250.0,2916889.0,162361.0,5.3
2015,Oct,59.6,56.5,3083238.0,2925088.0,158150.0,5.1
2015,Nov,59.7,56.7,3090043.0,2935651.0,154392.0,5.0
2015,Dec,59.8,56.8,3098156.0,2947080.0,151076.0,4.9
2016,Jan,59.9,57.0,3105686.0,2957506.0,148180.0,4.8
2016,Feb,59.9,57.1,3111657.0,2965602.0,146055.0,4.7
2016,Mar,60.0,57.2,3116195.0,2971290.0,144905.0,4.7
2016,Apr,60.0,57.2,3120756.0,2975759.0,144997.0,4.6
2016,May,60.1,57.2,3126578.0,2980257.0,146321.0,4.7
2016,Jun,60.1,57.3,3133742.0,2985440.0,148302.0,4.7
2016,Jul,60.2,57.4,3141665.0,2991411.0,150254.0,4.8
2016,Aug,60.3,57.4,3148996.0,2997016.0,151980.0,4.8
2016,Sep,60.4,57.4,3154762.0,3001280.0,153482.0,4.9
2016,Oct,60.4,57.4,3158441.0,3004295.0,154146.0,4.9
2016,Nov,60.4,57.4,3160471.0,3007297.0,153174.0,4.8
2016,Dec,60.3,57.5,3161953.0,3011886.0,150067.0,4.7
2017,Jan,60.3,57.6,3171747.0,3026155.0,145592.0,4.6
2017,Feb,60.3,57.7,3175086.0,3035834.0,139252.0,4.4
2017,Mar,60.4,57.9,3179214.0,3047101.0,132113.0,4.2
2017,Apr,60.4,58.0,3184140.0,3059223.0,124917.0,3.9
2017,May,60.5,58.2,3189735.0,3071352.0,118383.0,3.7
2017,Jun,60.5,58.4,3195545.0,3082091.0,113454.0,3.6
2017,Jul,60.6,58.5,3201412.0,3090836.0,110576.0,3.5
2017,Aug,60.6,58.5,3206644.0,3097281.0,109363.0,3.4
2017,Sep,60.6,58.5,3210372.0,3101083.0,109289.0,3.4
2017,Oct,60.6,58.5,3212576.0,3102731.0,109845.0,3.4
2017,Nov,60.6,58.5,3214155.0,3103452.0,110703.0,3.4
2017,Dec,60.5,58.4,3216562.0,3105014.0,111548.0,3.5
2018,Jan,60.6,58.5,3221534.0,3109126.0,112408.0,3.5
2018,Feb,60.7,58.6,3229914.0,3116778.0,113136.0,3.5
2018,Mar,60.8,58.7,3240494.0,3126924.0,113570.0,3.5
2018,Apr,61.0,58.9,3250511.0,3136783.0,113728.0,3.5
2018,May,61.1,58.9,3258091.0,3144161.0,113930.0,3.5
2018,Jun,61.1,59.0,3263491.0,3149229.0,114262.0,3.5
2018,Jul,61.1,59.0,3266891.0,3152360.0,114531.0,3.5
2018,Aug,61.1,59.0,3269631.0,3154823.0,114808.0,3.5
2018,Sep,61.1,59.0,3273371.0,3158358.0,115013.0,3.5
2018,Oct,61.2,59.0,3279033.0,3164021.0,115012.0,3.5
2018,Nov,61.3,59.1,3286913.0,3172159.0,114754.0,3.5
2018,Dec,61.4,59.3,3297048.0,3182624.0,114424.0,3.5
2019,Jan,61.6,59.5,3308604.0,3194388.0,114216.0,3.5
2019,Feb,61.8,59.6,3319907.0,3205914.0,113993.0,3.4
2019,Mar,61.9,59.8,3329729.0,3216162.0,113567.0,3.4
2019,Apr,62.0,59.9,3337793.0,3225201.0,112592.0,3.4
2019,May,62.1,60.0,3343491.0,3232261.0,111230.0,3.3
2019,Jun,62.0,60.0,3346256.0,3236155.0,110101.0,3.3
2019,Jul,62.0,60.0,3346647.0,3236704.0,109943.0,3.3
2019,Aug,61.9,59.9,3346068.0,3235116.0,110952.0,3.3
2019,Sep,61.9,59.8,3346552.0,3233889.0,112663.0,3.4
2019,Oct,61.8,59.7,3348932.0,3233914.0,115018.0,3.4
2019,Nov,61.8,59.7,3351835.0,3234406.0,117429.0,3.5
2019,Dec,61.8,59.6,3352018.0,3232959.0,119059.0,3.6
