Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,66.4,62.9,1335279.0,1265082.0,70197.0,5.3
2012,Feb,66.2,63.0,1331198.0,1268263.0,62935.0,4.7
2012,Mar,66.3,63.1,1335297.0,1271263.0,64034.0,4.8
2012,Apr,66.4,63.1,1338994.0,1274152.0,64842.0,4.8
2012,May,66.4,63.2,1342475.0,1277306.0,65169.0,4.9
2012,Jun,66.5,63.3,1345980.0,1280955.0,65025.0,4.8
2012,Jul,66.6,63.4,1349636.0,1285107.0,64529.0,4.8
2012,Aug,66.7,63.5,1353555.0,1289584.0,63971.0,4.7
2012,Sep,66.8,63.6,1357700.0,1294133.0,63567.0,4.7
2012,Oct,66.8,63.7,1361555.0,1298314.0,63241.0,4.6
2012,Nov,66.9,63.8,1364818.0,1301946.0,62872.0,4.6
2012,Dec,66.9,63.9,1367434.0,1305067.0,62367.0,4.6
2013,Jan,66.9,63.9,1369579.0,1307839.0,61740.0,4.5
2013,Feb,67.0,64.0,1371797.0,1310766.0,61031.0,4.4
2013,Mar,67.0,64.1,1374623.0,1314333.0,60290.0,4.4
2013,Apr,67.1,64.2,1378344.0,1318709.0,59635.0,4.3
2013,May,67.2,64.3,1382531.0,1323353.0,59178.0,4.3
2013,Jun,67.3,64.4,1386526.0,1327663.0,58863.0,4.2
2013,Jul,67.3,64.5,1389933.0,1331380.0,58553.0,4.2
2013,Aug,67.3,64.5,1392500.0,1334511.0,57989.0,4.2
2013,Sep,67.3,64.6,1394372.0,1337267.0,57105.0,4.1
2013,Oct,67.3,64.6,1396158.0,1339974.0,56184.0,4.0
2013,Nov,67.3,64.7,1398215.0,1342906.0,55309.0,4.0
2013,Dec,67.3,64.7,1400436.0,1346017.0,54419.0,3.9
2014,Jan,67.4,64.8,1402644.0,1349185.0,53459.0,3.8
2014,Feb,67.4,64.8,1404680.0,1352211.0,52469.0,3.7
2014,Mar,67.4,64.9,1406514.0,1354871.0,51643.0,3.7
2014,Apr,67.3,64.9,1408112.0,1357035.0,51077.0,3.6
2014,May,67.3,64.9,1409831.0,1359074.0,50757.0,3.6
2014,Jun,67.3,64.9,1412233.0,1361525.0,50708.0,3.6
2014,Jul,67.4,65.0,1415313.0,1364434.0,50879.0,3.6
2014,Aug,67.5,65.0,1418964.0,1367794.0,51170.0,3.6
2014,Sep,67.5,65.1,1422899.0,1371451.0,51448.0,3.6
2014,Oct,67.6,65.1,1426616.0,1375102.0,51514.0,3.6
2014,Nov,67.6,65.2,1429762.0,1378419.0,51343.0,3.6
2014,Dec,67.7,65.2,1432638.0,1381478.0,51160.0,3.6
2015,Jan,67.7,65.3,1435490.0,1384452.0,51038.0,3.6
2015,Feb,67.7,65.3,1438477.0,1387444.0,51033.0,3.5
2015,Mar,67.8,65.4,1441814.0,1390696.0,51118.0,3.5
2015,Apr,67.8,65.4,1445478.0,1394232.0,51246.0,3.5
2015,May,67.9,65.5,1449095.0,1397733.0,51362.0,3.5
2015,Jun,67.9,65.5,1452297.0,1400856.0,51441.0,3.5
2015,Jul,68.0,65.6,1455143.0,1403612.0,51531.0,3.5
2015,Aug,67.9,65.5,1457886.0,1406235.0,51651.0,3.5
2015,Sep,67.9,65.5,1460802.0,1409096.0,51706.0,3.5
2015,Oct,67.9,65.5,1464379.0,1412676.0,51703.0,3.5
2015,Nov,68.0,65.6,1468832.0,1417067.0,51765.0,3.5
2015,Dec,68.1,65.7,1473799.0,1421939.0,51860.0,3.5
2016,Jan,68.2,65.8,1478801.0,1426877.0,51924.0,3.5
2016,Feb,68.3,65.9,1483530.0,1431601.0,51929.0,3.5
2016,Mar,68.3,66.0,1487708.0,1435988.0,51720.0,3.5
2016,Apr,68.4,66.0,1491391.0,1440100.0,51291.0,3.4
2016,May,68.4,66.0,1494904.0,1444126.0,50778.0,3.4
2016,Jun,68.4,66.1,1498447.0,1448202.0,50245.0,3.4
2016,Jul,68.4,66.1,1502055.0,1452325.0,49730.0,3.3
2016,Aug,68.4,66.2,1505706.0,1456380.0,49326.0,3.3
2016,Sep,68.4,66.2,1509362.0,1460215.0,49147.0,3.3
2016,Oct,68.5,66.2,1512986.0,1463848.0,49138.0,3.2
2016,Nov,68.5,66.3,1516777.0,1467644.0,49133.0,3.2
2016,Dec,68.5,66.3,1520948.0,1471879.0,49069.0,3.2
2017,Jan,68.6,66.4,1533260.0,1484178.0,49082.0,3.2
2017,Feb,68.7,66.5,1538289.0,1489301.0,48988.0,3.2
2017,Mar,68.8,66.6,1543308.0,1494287.0,49021.0,3.2
2017,Apr,68.9,66.7,1548135.0,1498943.0,49192.0,3.2
2017,May,68.9,66.7,1552513.0,1503169.0,49344.0,3.2
2017,Jun,68.9,66.7,1556173.0,1506746.0,49427.0,3.2
2017,Jul,68.9,66.7,1559136.0,1509675.0,49461.0,3.2
2017,Aug,68.9,66.7,1561331.0,1511971.0,49360.0,3.2
2017,Sep,68.8,66.6,1562843.0,1513729.0,49114.0,3.1
2017,Oct,68.7,66.6,1563968.0,1515235.0,48733.0,3.1
2017,Nov,68.6,66.5,1564982.0,1516673.0,48309.0,3.1
2017,Dec,68.6,66.5,1566384.0,1518553.0,47831.0,3.1
2018,Jan,68.5,66.5,1568655.0,1521272.0,47383.0,3.0
2018,Feb,68.6,66.5,1572031.0,1525005.0,47026.0,3.0
2018,Mar,68.6,66.6,1576092.0,1529314.0,46778.0,3.0
2018,Apr,68.6,66.6,1579895.0,1533277.0,46618.0,3.0
2018,May,68.6,66.6,1582778.0,1536229.0,46549.0,2.9
2018,Jun,68.6,66.6,1584690.0,1538169.0,46521.0,2.9
2018,Jul,68.5,66.5,1585815.0,1539373.0,46442.0,2.9
2018,Aug,68.4,66.4,1586788.0,1540430.0,46358.0,2.9
2018,Sep,68.3,66.3,1588130.0,1541871.0,46259.0,2.9
2018,Oct,68.3,66.3,1590094.0,1544054.0,46040.0,2.9
2018,Nov,68.3,66.3,1592736.0,1547118.0,45618.0,2.9
2018,Dec,68.3,66.4,1595916.0,1550916.0,45000.0,2.8
2019,Jan,68.3,66.4,1599349.0,1555101.0,44248.0,2.8
2019,Feb,68.3,66.5,1602860.0,1559443.0,43417.0,2.7
2019,Mar,68.4,66.6,1606392.0,1563707.0,42685.0,2.7
2019,Apr,68.4,66.6,1610053.0,1567954.0,42099.0,2.6
2019,May,68.4,66.7,1613711.0,1572035.0,41676.0,2.6
2019,Jun,68.4,66.7,1617211.0,1575839.0,41372.0,2.6
2019,Jul,68.5,66.7,1620427.0,1579297.0,41130.0,2.5
2019,Aug,68.4,66.7,1623387.0,1582493.0,40894.0,2.5
2019,Sep,68.4,66.7,1626495.0,1585929.0,40566.0,2.5
2019,Oct,68.4,66.7,1629877.0,1589427.0,40450.0,2.5
