Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,67.2,63.0,4222321.0,3959095.0,263226.0,6.2
2012,Feb,67.0,62.9,4218049.0,3958507.0,259542.0,6.2
2012,Mar,66.9,62.8,4214269.0,3956965.0,257304.0,6.1
2012,Apr,66.8,62.7,4210876.0,3954894.0,255982.0,6.1
2012,May,66.7,62.7,4208645.0,3953818.0,254827.0,6.1
2012,Jun,66.6,62.6,4208558.0,3955368.0,253190.0,6.0
2012,Jul,66.6,62.6,4210712.0,3960179.0,250533.0,5.9
2012,Aug,66.6,62.7,4215085.0,3967765.0,247320.0,5.9
2012,Sep,66.6,62.8,4221076.0,3976567.0,244509.0,5.8
2012,Oct,66.7,62.8,4226595.0,3984368.0,242227.0,5.7
2012,Nov,66.7,62.9,4230245.0,3989727.0,240518.0,5.7
2012,Dec,66.6,62.9,4231663.0,3992299.0,239364.0,5.7
2013,Jan,66.6,62.8,4230986.0,3992211.0,238775.0,5.6
2013,Feb,66.5,62.7,4229626.0,3991100.0,238526.0,5.6
2013,Mar,66.5,62.7,4229584.0,3991308.0,238276.0,5.6
2013,Apr,66.4,62.7,4232119.0,3994223.0,237896.0,5.6
2013,May,66.4,62.7,4236152.0,3998446.0,237706.0,5.6
2013,Jun,66.5,62.7,4240224.0,4002240.0,237984.0,5.6
2013,Jul,66.5,62.7,4243322.0,4005011.0,238311.0,5.6
2013,Aug,66.4,62.7,4244602.0,4007012.0,237590.0,5.6
2013,Sep,66.4,62.7,4244434.0,4009047.0,235387.0,5.5
2013,Oct,66.3,62.7,4244667.0,4011855.0,232812.0,5.5
2013,Nov,66.3,62.7,4246742.0,4016111.0,230631.0,5.4
2013,Dec,66.3,62.7,4250846.0,4021840.0,229006.0,5.4
2014,Jan,66.3,62.8,4256299.0,4028612.0,227687.0,5.3
2014,Feb,66.4,62.9,4261740.0,4035391.0,226349.0,5.3
2014,Mar,66.4,62.9,4265948.0,4040682.0,225266.0,5.3
2014,Apr,66.4,62.9,4267774.0,4043315.0,224459.0,5.3
2014,May,66.3,62.9,4267161.0,4043979.0,223182.0,5.2
2014,Jun,66.3,62.8,4265150.0,4044124.0,221026.0,5.2
2014,Jul,66.1,62.8,4261973.0,4043653.0,218320.0,5.1
2014,Aug,66.0,62.7,4258573.0,4043065.0,215508.0,5.1
2014,Sep,65.9,62.6,4255711.0,4042931.0,212780.0,5.0
2014,Oct,65.8,62.6,4252749.0,4042841.0,209908.0,4.9
2014,Nov,65.7,62.5,4249011.0,4042113.0,206898.0,4.9
2014,Dec,65.6,62.5,4245503.0,4041135.0,204368.0,4.8
2015,Jan,65.6,62.4,4242711.0,4040145.0,202566.0,4.8
2015,Feb,65.5,62.4,4240767.0,4039464.0,201303.0,4.7
2015,Mar,65.4,62.4,4239843.0,4040318.0,199525.0,4.7
2015,Apr,65.4,62.4,4239190.0,4042765.0,196425.0,4.6
2015,May,65.3,62.4,4237686.0,4045613.0,192073.0,4.5
2015,Jun,65.2,62.3,4234686.0,4047714.0,186972.0,4.4
2015,Jul,65.1,62.3,4231177.0,4049219.0,181958.0,4.3
2015,Aug,65.0,62.3,4227968.0,4050212.0,177756.0,4.2
2015,Sep,64.9,62.3,4225421.0,4050900.0,174521.0,4.1
2015,Oct,64.9,62.3,4224998.0,4052719.0,172279.0,4.1
2015,Nov,64.9,62.3,4227185.0,4056317.0,170868.0,4.0
2015,Dec,64.9,62.3,4230228.0,4060702.0,169526.0,4.0
2016,Jan,64.9,62.3,4232843.0,4065106.0,167737.0,4.0
2016,Feb,64.9,62.3,4234522.0,4068700.0,165822.0,3.9
2016,Mar,64.9,62.4,4235332.0,4070935.0,164397.0,3.9
2016,Apr,64.9,62.4,4236772.0,4072587.0,164185.0,3.9
2016,May,64.9,62.4,4240409.0,4074927.0,165482.0,3.9
2016,Jun,64.9,62.4,4246189.0,4078270.0,167919.0,4.0
2016,Jul,65.0,62.4,4253358.0,4082681.0,170677.0,4.0
2016,Aug,65.1,62.4,4261151.0,4088025.0,173126.0,4.1
2016,Sep,65.1,62.5,4269034.0,4094058.0,174976.0,4.1
2016,Oct,65.2,62.5,4276217.0,4100496.0,175721.0,4.1
2016,Nov,65.2,62.6,4283055.0,4107886.0,175169.0,4.1
2016,Dec,65.3,62.7,4290653.0,4116919.0,173734.0,4.0
2017,Jan,65.4,62.8,4318562.0,4144568.0,173994.0,4.0
2017,Feb,65.6,63.0,4329575.0,4157544.0,172031.0,4.0
2017,Mar,65.7,63.1,4339507.0,4170194.0,169313.0,3.9
2017,Apr,65.7,63.2,4347838.0,4181768.0,166070.0,3.8
2017,May,65.8,63.3,4354662.0,4192147.0,162515.0,3.7
2017,Jun,65.8,63.4,4359665.0,4200505.0,159160.0,3.7
2017,Jul,65.8,63.5,4362829.0,4206323.0,156506.0,3.6
2017,Aug,65.8,63.5,4364018.0,4209550.0,154468.0,3.5
2017,Sep,65.7,63.4,4363693.0,4210984.0,152709.0,3.5
2017,Oct,65.7,63.4,4362892.0,4211968.0,150924.0,3.5
2017,Nov,65.7,63.4,4362552.0,4213541.0,149011.0,3.4
2017,Dec,65.6,63.4,4364128.0,4217312.0,146816.0,3.4
2018,Jan,65.7,63.5,4368698.0,4224313.0,144385.0,3.3
2018,Feb,65.8,63.6,4376237.0,4234740.0,141497.0,3.2
2018,Mar,65.9,63.8,4384496.0,4246774.0,137722.0,3.1
2018,Apr,65.9,63.9,4389539.0,4256496.0,133043.0,3.0
2018,May,65.9,64.0,4389088.0,4260902.0,128186.0,2.9
2018,Jun,65.8,63.9,4384613.0,4260628.0,123985.0,2.8
2018,Jul,65.6,63.8,4378726.0,4257711.0,121015.0,2.8
2018,Aug,65.5,63.7,4374959.0,4254879.0,120080.0,2.7
