Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,64.5,59.4,3452355.0,3177413.0,274942.0,8.0
2012,Feb,64.6,59.5,3459848.0,3185999.0,273849.0,7.9
2012,Mar,64.7,59.6,3466956.0,3192664.0,274292.0,7.9
2012,Apr,64.7,59.6,3472271.0,3196410.0,275861.0,7.9
2012,May,64.7,59.5,3475950.0,3198232.0,277718.0,8.0
2012,Jun,64.7,59.5,3478835.0,3199945.0,278890.0,8.0
2012,Jul,64.5,59.5,3475293.0,3203044.0,272249.0,7.8
2012,Aug,64.4,59.5,3472450.0,3207615.0,264835.0,7.6
2012,Sep,64.3,59.5,3470187.0,3212569.0,257618.0,7.4
2012,Oct,64.2,59.6,3467617.0,3216647.0,250970.0,7.2
2012,Nov,64.1,59.6,3464221.0,3219140.0,245081.0,7.1
2012,Dec,64.0,59.5,3459702.0,3219911.0,239791.0,6.9
2013,Jan,63.9,59.5,3457127.0,3219092.0,238035.0,6.9
2013,Feb,63.6,59.4,3447914.0,3217874.0,230040.0,6.7
2013,Mar,63.6,59.4,3449293.0,3218064.0,231229.0,6.7
2013,Apr,63.6,59.4,3452380.0,3220670.0,231710.0,6.7
2013,May,63.6,59.4,3456355.0,3224598.0,231757.0,6.7
2013,Jun,63.7,59.4,3460427.0,3228621.0,231806.0,6.7
2013,Jul,63.7,59.4,3464183.0,3232372.0,231811.0,6.7
2013,Aug,63.6,59.4,3466584.0,3235962.0,230622.0,6.7
2013,Sep,63.6,59.4,3467375.0,3239639.0,227736.0,6.6
2013,Oct,63.5,59.4,3467791.0,3243553.0,224238.0,6.5
2013,Nov,63.4,59.4,3468654.0,3247718.0,220936.0,6.4
2013,Dec,63.4,59.4,3469934.0,3251784.0,218150.0,6.3
2014,Jan,63.3,59.4,3471141.0,3255449.0,215692.0,6.2
2014,Feb,63.2,59.4,3471891.0,3258702.0,213189.0,6.1
2014,Mar,63.2,59.4,3472850.0,3261947.0,210903.0,6.1
2014,Apr,63.1,59.3,3474684.0,3265637.0,209047.0,6.0
2014,May,63.1,59.4,3478313.0,3270893.0,207420.0,6.0
2014,Jun,63.2,59.4,3484570.0,3278515.0,206055.0,5.9
2014,Jul,63.2,59.5,3493179.0,3287937.0,205242.0,5.9
2014,Aug,63.3,59.6,3503437.0,3298328.0,205109.0,5.9
2014,Sep,63.4,59.7,3513688.0,3308405.0,205283.0,5.8
2014,Oct,63.4,59.8,3521452.0,3316839.0,204613.0,5.8
2014,Nov,63.4,59.8,3525535.0,3323022.0,202513.0,5.7
2014,Dec,63.4,59.8,3527147.0,3327558.0,199589.0,5.7
2015,Jan,63.3,59.8,3528211.0,3331515.0,196696.0,5.6
2015,Feb,63.3,59.8,3530246.0,3335608.0,194638.0,5.5
2015,Mar,63.2,59.8,3533904.0,3340601.0,193303.0,5.5
2015,Apr,63.2,59.8,3539114.0,3346743.0,192371.0,5.4
2015,May,63.3,59.8,3544965.0,3353329.0,191636.0,5.4
2015,Jun,63.3,59.8,3550112.0,3359187.0,190925.0,5.4
2015,Jul,63.2,59.8,3554656.0,3363984.0,190672.0,5.4
2015,Aug,63.2,59.8,3559448.0,3368239.0,191209.0,5.4
