Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,54.3,50.5,808113.0,750875.0,57238.0,7.1
2012,Feb,54.3,50.5,807794.0,751038.0,56756.0,7.0
2012,Mar,54.3,50.5,807907.0,750858.0,57049.0,7.1
2012,Apr,54.3,50.4,808217.0,750339.0,57878.0,7.2
2012,May,54.3,50.4,808594.0,749734.0,58860.0,7.3
2012,Jun,54.4,50.4,808884.0,749257.0,59627.0,7.4
2012,Jul,54.4,50.3,808914.0,748988.0,59926.0,7.4
2012,Aug,54.3,50.3,808788.0,748953.0,59835.0,7.4
2012,Sep,54.3,50.3,808686.0,749108.0,59578.0,7.4
2012,Oct,54.3,50.3,808416.0,749232.0,59184.0,7.3
2012,Nov,54.3,50.3,807801.0,749142.0,58659.0,7.3
2012,Dec,54.2,50.3,806607.0,748703.0,57904.0,7.2
2013,Jan,54.1,50.3,804803.0,747905.0,56898.0,7.1
2013,Feb,54.0,50.2,802827.0,747084.0,55743.0,6.9
2013,Mar,53.9,50.2,801204.0,746643.0,54561.0,6.8
2013,Apr,53.8,50.2,800277.0,746757.0,53520.0,6.7
2013,May,53.8,50.2,799870.0,747059.0,52811.0,6.6
2013,Jun,53.8,50.2,799704.0,747163.0,52541.0,6.6
2013,Jul,53.8,50.2,799498.0,746886.0,52612.0,6.6
2013,Aug,53.7,50.2,798902.0,746160.0,52742.0,6.6
2013,Sep,53.7,50.1,797953.0,745123.0,52830.0,6.6
2013,Oct,53.6,50.0,797136.0,744107.0,53029.0,6.7
2013,Nov,53.6,50.0,796772.0,743443.0,53329.0,6.7
2013,Dec,53.6,50.0,796988.0,743337.0,53651.0,6.7
2014,Jan,53.7,50.0,797557.0,743740.0,53817.0,6.7
2014,Feb,53.7,50.1,797946.0,744294.0,53652.0,6.7
2014,Mar,53.7,50.1,797830.0,744590.0,53240.0,6.7
2014,Apr,53.7,50.1,797081.0,744377.0,52704.0,6.6
2014,May,53.6,50.1,795967.0,743871.0,52096.0,6.5
2014,Jun,53.5,50.1,794976.0,743439.0,51537.0,6.5
2014,Jul,53.5,50.1,794363.0,743221.0,51142.0,6.4
2014,Aug,53.5,50.1,794272.0,743335.0,50937.0,6.4
2014,Sep,53.5,50.1,794534.0,743734.0,50800.0,6.4
2014,Oct,53.5,50.1,794725.0,744126.0,50599.0,6.4
2014,Nov,53.5,50.1,794615.0,744200.0,50415.0,6.3
2014,Dec,53.5,50.1,794247.0,743765.0,50482.0,6.4
2015,Jan,53.5,50.1,793820.0,742884.0,50936.0,6.4
2015,Feb,53.5,50.0,793628.0,741810.0,51818.0,6.5
2015,Mar,53.6,50.0,793761.0,740877.0,52884.0,6.7
2015,Apr,53.6,50.0,794032.0,740233.0,53799.0,6.8
2015,May,53.6,50.0,793992.0,739757.0,54235.0,6.8
2015,Jun,53.6,49.9,793269.0,739251.0,54018.0,6.8
2015,Jul,53.5,49.9,791959.0,738717.0,53242.0,6.7
2015,Aug,53.4,49.9,790409.0,738212.0,52197.0,6.6
2015,Sep,53.3,49.9,789048.0,737859.0,51189.0,6.5
2015,Oct,53.3,49.9,788329.0,737853.0,50476.0,6.4
2015,Nov,53.3,49.9,788344.0,738192.0,50152.0,6.4
2015,Dec,53.4,50.0,788821.0,738713.0,50108.0,6.4
2016,Jan,53.4,50.0,789352.0,739186.0,50166.0,6.4
2016,Feb,53.5,50.1,789436.0,739332.0,50104.0,6.3
2016,Mar,53.4,50.1,788767.0,739023.0,49744.0,6.3
2016,Apr,53.4,50.0,787459.0,738270.0,49189.0,6.2
2016,May,53.3,50.0,785938.0,737255.0,48683.0,6.2
2016,Jun,53.2,49.9,784596.0,736276.0,48320.0,6.2
2016,Jul,53.2,49.9,783598.0,735591.0,48007.0,6.1
2016,Aug,53.1,49.9,782962.0,735299.0,47663.0,6.1
2016,Sep,53.1,49.9,782586.0,735395.0,47191.0,6.0
2016,Oct,53.1,50.0,782275.0,735838.0,46437.0,5.9
2016,Nov,53.2,50.1,782016.0,736667.0,45349.0,5.8
2016,Dec,53.2,50.2,781718.0,737762.0,43956.0,5.6
2017,Jan,53.2,50.3,782265.0,739919.0,42346.0,5.4
2017,Feb,53.2,50.4,781856.0,740956.0,40900.0,5.2
2017,Mar,53.2,50.5,781658.0,741764.0,39894.0,5.1
2017,Apr,53.2,50.5,781942.0,742508.0,39434.0,5.0
2017,May,53.3,50.6,782759.0,743381.0,39378.0,5.0
2017,Jun,53.4,50.7,783929.0,744274.0,39655.0,5.1
2017,Jul,53.5,50.8,785269.0,745020.0,40249.0,5.1
2017,Aug,53.6,50.9,786433.0,745515.0,40918.0,5.2
2017,Sep,53.7,50.9,787155.0,745669.0,41486.0,5.3
2017,Oct,53.7,50.9,787430.0,745509.0,41921.0,5.3
2017,Nov,53.8,50.9,787406.0,745139.0,42267.0,5.4
2017,Dec,53.8,50.9,787528.0,745022.0,42506.0,5.4
2018,Jan,53.9,51.0,788267.0,745615.0,42652.0,5.4
2018,Feb,54.0,51.1,789813.0,747120.0,42693.0,5.4
2018,Mar,54.2,51.3,791877.0,749326.0,42551.0,5.4
2018,Apr,54.4,51.5,793742.0,751592.0,42150.0,5.3
2018,May,54.5,51.6,794963.0,753339.0,41624.0,5.2
2018,Jun,54.5,51.7,795470.0,754445.0,41025.0,5.2
2018,Jul,54.5,51.8,795345.0,754974.0,40371.0,5.1
2018,Aug,54.5,51.8,795020.0,755112.0,39908.0,5.0
2018,Sep,54.5,51.8,794831.0,754999.0,39832.0,5.0
2018,Oct,54.5,51.8,794849.0,754796.0,40053.0,5.0
2018,Nov,54.6,51.8,794974.0,754665.0,40309.0,5.1
2018,Dec,54.6,51.8,794937.0,754637.0,40300.0,5.1
