Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,69.1,65.1,304445.0,286913.0,17532.0,5.8
2012,Feb,68.9,65.0,304220.0,287031.0,17189.0,5.7
2012,Mar,68.8,65.0,303990.0,287027.0,16963.0,5.6
2012,Apr,68.6,64.8,303802.0,286933.0,16869.0,5.6
2012,May,68.5,64.7,303711.0,286848.0,16863.0,5.6
2012,Jun,68.4,64.6,303733.0,286852.0,16881.0,5.6
2012,Jul,68.3,64.6,303794.0,286966.0,16828.0,5.5
2012,Aug,68.3,64.5,303836.0,287159.0,16677.0,5.5
2012,Sep,68.2,64.5,303842.0,287381.0,16461.0,5.4
2012,Oct,68.1,64.5,303715.0,287540.0,16175.0,5.3
2012,Nov,68.0,64.4,303456.0,287578.0,15878.0,5.2
2012,Dec,67.9,64.4,303094.0,287479.0,15615.0,5.2
2013,Jan,67.7,64.3,302668.0,287303.0,15365.0,5.1
2013,Feb,67.6,64.2,302300.0,287193.0,15107.0,5.0
2013,Mar,67.5,64.2,302083.0,287262.0,14821.0,4.9
2013,Apr,67.4,64.2,302063.0,287539.0,14524.0,4.8
2013,May,67.4,64.2,302153.0,287874.0,14279.0,4.7
2013,Jun,67.4,64.2,302234.0,288123.0,14111.0,4.7
2013,Jul,67.3,64.2,302271.0,288226.0,14045.0,4.6
2013,Aug,67.3,64.2,302231.0,288200.0,14031.0,4.6
2013,Sep,67.2,64.1,302130.0,288119.0,14011.0,4.6
2013,Oct,67.2,64.1,302077.0,288075.0,14002.0,4.6
2013,Nov,67.2,64.1,302109.0,288157.0,13952.0,4.6
2013,Dec,67.2,64.2,302194.0,288374.0,13820.0,4.6
2014,Jan,67.3,64.2,302308.0,288675.0,13633.0,4.5
2014,Feb,67.3,64.3,302412.0,288990.0,13422.0,4.4
2014,Mar,67.3,64.4,302506.0,289248.0,13258.0,4.4
2014,Apr,67.3,64.4,302590.0,289389.0,13201.0,4.4
2014,May,67.4,64.4,302688.0,289475.0,13213.0,4.4
2014,Jun,67.4,64.4,302902.0,289593.0,13309.0,4.4
2014,Jul,67.5,64.5,303175.0,289739.0,13436.0,4.4
2014,Aug,67.5,64.5,303393.0,289922.0,13471.0,4.4
2014,Sep,67.4,64.5,303460.0,290127.0,13333.0,4.4
2014,Oct,67.4,64.5,303319.0,290316.0,13003.0,4.3
2014,Nov,67.3,64.5,302997.0,290435.0,12562.0,4.1
2014,Dec,67.2,64.5,302631.0,290474.0,12157.0,4.0
2015,Jan,67.1,64.5,302350.0,290427.0,11923.0,3.9
2015,Feb,67.0,64.4,302209.0,290287.0,11922.0,3.9
2015,Mar,67.0,64.3,302218.0,290102.0,12116.0,4.0
2015,Apr,67.0,64.3,302299.0,289899.0,12400.0,4.1
2015,May,67.0,64.2,302311.0,289650.0,12661.0,4.2
2015,Jun,66.9,64.1,302119.0,289316.0,12803.0,4.2
2015,Jul,66.8,64.0,301719.0,288919.0,12800.0,4.2
2015,Aug,66.7,63.9,301250.0,288478.0,12772.0,4.2
2015,Sep,66.6,63.8,300853.0,288034.0,12819.0,4.3
2015,Oct,66.6,63.7,300679.0,287649.0,13030.0,4.3
2015,Nov,66.6,63.6,300834.0,287332.0,13502.0,4.5
2015,Dec,66.7,63.6,301280.0,287030.0,14250.0,4.7
2016,Jan,66.9,63.5,301853.0,286696.0,15157.0,5.0
2016,Feb,67.0,63.4,302351.0,286294.0,16057.0,5.3
2016,Mar,67.0,63.3,302567.0,285818.0,16749.0,5.5
2016,Apr,67.0,63.2,302403.0,285301.0,17102.0,5.7
2016,May,66.9,63.1,301896.0,284797.0,17099.0,5.7
2016,Jun,66.7,63.0,301109.0,284349.0,16760.0,5.6
2016,Jul,66.5,62.9,300247.0,283973.0,16274.0,5.4
2016,Aug,66.4,62.9,299501.0,283660.0,15841.0,5.3
2016,Sep,66.3,62.9,298941.0,283384.0,15557.0,5.2
2016,Oct,66.3,62.8,298556.0,283145.0,15411.0,5.2
2016,Nov,66.2,62.8,298248.0,282998.0,15250.0,5.1
2016,Dec,66.2,62.9,297901.0,282982.0,14919.0,5.0
2017,Jan,66.1,62.9,295389.0,281107.0,14282.0,4.8
2017,Feb,66.0,63.0,294904.0,281308.0,13596.0,4.6
2017,Mar,66.0,63.1,294438.0,281517.0,12921.0,4.4
2017,Apr,65.9,63.2,294093.0,281693.0,12400.0,4.2
2017,May,65.9,63.2,293917.0,281799.0,12118.0,4.1
2017,Jun,66.0,63.2,293892.0,281770.0,12122.0,4.1
2017,Jul,66.0,63.2,293905.0,281599.0,12306.0,4.2
2017,Aug,66.0,63.2,293795.0,281298.0,12497.0,4.3
2017,Sep,65.9,63.1,293545.0,280899.0,12646.0,4.3
2017,Oct,65.8,63.0,293166.0,280475.0,12691.0,4.3
2017,Nov,65.7,62.9,292717.0,280093.0,12624.0,4.3
2017,Dec,65.6,62.8,292334.0,279877.0,12457.0,4.3
2018,Jan,65.6,62.8,292130.0,279900.0,12230.0,4.2
2018,Feb,65.6,62.9,292193.0,280195.0,11998.0,4.1
2018,Mar,65.7,63.0,292461.0,280654.0,11807.0,4.0
2018,Apr,65.7,63.1,292740.0,281053.0,11687.0,4.0
2018,May,65.8,63.2,292911.0,281245.0,11666.0,4.0
2018,Jun,65.8,63.1,292974.0,281239.0,11735.0,4.0
2018,Jul,65.8,63.1,292953.0,281087.0,11866.0,4.1
2018,Aug,65.7,63.0,292930.0,280903.0,12027.0,4.1
2018,Sep,65.7,63.0,292925.0,280805.0,12120.0,4.1
2018,Oct,65.7,63.0,292929.0,280874.0,12055.0,4.1
2018,Nov,65.6,63.0,292924.0,281120.0,11804.0,4.0
2018,Dec,65.6,63.1,292875.0,281495.0,11380.0,3.9
2019,Jan,65.6,63.1,292764.0,281926.0,10838.0,3.7
2019,Feb,65.5,63.2,292650.0,282358.0,10292.0,3.5
2019,Mar,65.5,63.3,292672.0,282755.0,9917.0,3.4
2019,Apr,65.6,63.4,292944.0,283140.0,9804.0,3.3
2019,May,65.7,63.4,293440.0,283475.0,9965.0,3.4
2019,Jun,65.8,63.4,294059.0,283716.0,10343.0,3.5
2019,Jul,65.9,63.4,294676.0,283835.0,10841.0,3.7
2019,Aug,65.9,63.4,295201.0,283863.0,11338.0,3.8
