"GeoFips","GeoName","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1","2018:Q2","2018:Q3","2018:Q4","2019:Q1","2019:Q2","2019:Q3","2019:Q4","2020:Q1","2020:Q2","2020:Q3","2020:Q4","2021:Q1","2021:Q2","2021:Q3"
"01000","Alabama",190077.6,190536.7,188418.1,187949.6,191903.7,191053.3,192256.9,190265.3,187517.5,189967.8,191075.8,190984.2,189878.6,191535.8,192148.5,191778.0,193112.6,194227.5,194380.5,195414.6,196746.6,197019.3,197409.4,199091.2,200256.3,200910.3,200447.3,201589.7,202231.1,203117.0,203833.4,204354.1,202069.1,183890.3,200354.3,201310.6,202598.8,204135.8,204968.8
"02000","Alaska",57685.0,59227.9,58744.5,57477.2,56769.5,54798.0,55176.3,54673.4,53780.7,54013.5,54271.9,54686.8,55210.6,54650.5,54560.8,54541.5,55065.2,54197.5,53849.2,53874.6,53917.9,54028.7,54565.4,54006.1,53399.8,53146.8,53126.2,53325.6,52889.5,52930.1,53788.5,53737.8,52876.1,47820.3,49213.8,50733.8,49820.2,50307.6,50352.9
"04000","Arizona",270945.9,272153.0,271149.3,271511.9,272653.7,272500.2,273546.4,275227.2,275486.8,276481.0,278221.4,277606.6,281222.8,282426.5,281689.2,284969.4,286940.7,289953.3,293674.5,294532.4,298151.1,299978.6,304949.9,306741.9,311176.5,312426.5,314699.3,316172.6,319443.4,322027.1,325925.6,328181.3,324209.9,303625.2,323723.2,330644.2,331004.1,335980.7,338770.5
"05000","Arkansas",109050.0,109000.4,108335.1,107582.7,110536.4,110322.7,111177.9,110972.6,110925.0,111544.9,112045.8,112422.3,111583.0,112224.6,112863.5,112732.8,112424.3,112549.8,112484.3,113734.1,113269.2,113540.1,113798.4,114932.9,115453.5,115608.3,116117.6,116571.0,116073.3,116244.8,117019.8,117825.9,116945.8,108853.8,116646.3,117328.0,119313.5,120493.3,120760.1
"06000","California",2097468.6,2100537.7,2112352.9,2142026.6,2138941.9,2156746.2,2184393.8,2236834.0,2216087.8,2241222.5,2281298.4,2285610.2,2332010.5,2362335.5,2365812.5,2369653.2,2406765.8,2406800.8,2441320.6,2456691.1,2485233.7,2523632.7,2560373.5,2597837.2,2601862.5,2637537.5,2661741.3,2673163.7,2693526.5,2736221.0,2751471.1,2776155.1,2739612.3,2496457.9,2690337.2,2728256.4,2799129.2,2860601.9,2879898.7
"08000","Colorado",275172.9,276919.0,276451.2,278749.5,283490.7,283967.3,287284.3,290294.0,292113.6,295755.1,300430.9,306321.4,309642.5,311206.2,313371.0,315418.9,314964.4,316105.6,320509.4,324234.0,325022.1,327221.2,331771.7,335827.5,338845.7,341446.9,343027.3,346823.8,349998.6,355100.2,360880.3,361115.4,357983.5,327566.5,347601.2,350893.8,357382.7,365512.2,367681.0
"09000","Connecticut",240932.4,241451.5,240699.6,240564.1,237008.3,235342.3,236373.7,235478.3,231554.2,234565.8,237162.3,239841.4,242291.6,243542.0,242306.5,242686.1,243591.8,242970.3,242690.1,243894.5,244002.1,248024.7,248690.0,248717.3,249498.2,248501.8,251914.2,250078.2,251236.3,251914.6,251629.5,251200.1,245664.6,220784.7,237215.7,239889.2,240712.2,244913.3,246434.3
"10000","Delaware",63922.1,62848.8,62056.8,60590.7,59575.1,59423.6,59772.8,62171.7,62662.9,64638.8,65972.4,66486.2,67205.5,68348.4,66082.5,65537.4,63568.9,63407.0,62664.9,62364.6,61968.5,60217.7,60623.7,60395.1,60748.3,61209.5,62396.7,62586.0,63493.3,64175.1,64514.2,64867.1,63227.4,58989.4,62828.2,63180.0,62865.4,63909.2,64704.4
"11000","District of Columbia",111730.4,112528.2,112416.7,111952.7,112559.6,111913.8,112178.5,112677.9,113984.1,114015.6,114779.9,115434.6,116180.5,117151.9,116762.1,117138.9,119484.1,119775.1,119301.7,120016.2,119584.4,120130.7,122054.8,121825.6,122470.1,123452.6,124831.1,124590.7,123440.2,124462.0,125500.3,126558.7,125651.9,118138.3,121811.5,123766.6,123514.9,125359.9,126603.4
"12000","Florida",777074.6,775608.8,782108.1,779388.7,789786.3,789901.5,796683.6,802997.2,803195.1,813239.5,822440.7,830058.9,837596.7,849477.1,856691.9,865203.9,866000.7,876557.1,889224.6,894374.5,903385.0,908335.7,914519.1,925624.9,936276.2,939012.9,948431.9,950132.6,963421.6,968393.0,974665.6,979996.4,968139.8,887134.4,958143.2,962585.8,978444.2,1006240.0,1015729.2
