Total Nonfarm,Manufacturing,"Trade, Transportation, and Utils",Information,Financial Activities,Professional & Business Services,Education & Health Services,Leisure & Hospitality,Other Services,Government,"Mining, Logging and Construction",pct_Manufacturing,"pct_Trade, Transportation, and Utils",pct_Information,pct_Financial Activities,pct_Professional & Business Services,pct_Education & Health Services,pct_Leisure & Hospitality,pct_Other Services,pct_Government,"pct_Mining, Logging and Construction",clusters-4,clusters-3,clusters-5
2046.258,266.992,383.467,21.092,96.258,244.242,245.167,205.933,97.117,386.792,99.2,0.1305,0.1874,0.0103,0.047,0.1194,0.1198,0.1006,0.0475,0.189,0.0485,0,2,0
327.658,12.5,64.408,5.608,11.767,27.358,50.442,35.65,11.058,80.375,28.491,0.0381,0.1966,0.0171,0.0359,0.0835,0.1539,0.1088,0.0337,0.2453,0.087,0,2,3
2857.717,171.45,534.525,47.558,220.008,434.033,445.417,325.975,92.442,415.858,170.45000000000002,0.06,0.187,0.0166,0.077,0.1519,0.1559,0.1141,0.0323,0.1455,0.0596,2,0,0
1267.492,160.8,253.408,12.433,61.058,145.425,191.575,118.267,55.65,212.108,56.766,0.1269,0.1999,0.0098,0.0482,0.1147,0.1511,0.0933,0.0439,0.1673,0.0448,0,2,3
17172.225,1323.55,3045.983,542.85,837.875,2670.217,2722.283,1993.142,571.667,2581.483,883.175,0.0771,0.1774,0.0316,0.0488,0.1555,0.1585,0.1161,0.0333,0.1503,0.0514,3,1,4
2726.925,147.508,470.375,75.617,171.617,423.55,340.8,339.45,110.958,445.4,201.65,0.0541,0.1725,0.0277,0.0629,0.1553,0.125,0.1245,0.0407,0.1633,0.0739,2,0,0
1699.275,160.667,296.5,31.667,125.467,221.092,344.792,157.783,65.617,236.358,59.334,0.0946,0.1745,0.0186,0.0738,0.1301,0.2029,0.0929,0.0386,0.1391,0.0349,0,2,3
461.508,27.05,80.7,4.067,47.817,63.425,79.7,51.767,18.508,66.183,22.3,0.0586,0.1749,0.0088,0.1036,0.1374,0.1727,0.1122,0.0401,0.1434,0.0483,0,2,3
792.958,1.342,33.208,19.158,29.592,168.117,130.892,79.808,76.783,238.4,15.65,0.0017,0.0419,0.0242,0.0373,0.212,0.1651,0.1006,0.0968,0.3006,0.0197,0,2,3
8780.95,372.908,1779.892,139.492,575.8,1361.775,1305.058,1229.408,353.075,1115.008,548.3589999999999,0.0425,0.2027,0.0159,0.0656,0.1551,0.1486,0.14,0.0402,0.127,0.0624,1,1,1
4535.942,404.433,931.283,115.792,245.908,705.242,588.217,489.392,160.358,690.258,205.058,0.0892,0.2053,0.0255,0.0542,0.1555,0.1297,0.1079,0.0354,0.1522,0.0452,2,0,2
658.183,14.517,124.525,9.258,29.683,73.167,87.65,127.45,28.717,125.625,37.592,0.0221,0.1892,0.0141,0.0451,0.1112,0.1332,0.1936,0.0436,0.1909,0.0571,0,2,3
738.608,68.442,142.4,8.292,35.942,94.617,106.125,79.392,25.55,125.167,52.683,0.0927,0.1928,0.0112,0.0487,0.1281,0.1437,0.1075,0.0346,0.1695,0.0713,0,2,3
6102.525,587.15,1211.792,94.8,402.775,948.167,932.15,617.55,254.258,819.775,234.109,0.0962,0.1986,0.0155,0.066,0.1554,0.1527,0.1012,0.0417,0.1343,0.0384,2,0,2
3138.992,542.3,597.683,29.333,139.617,342.858,472.1,310.525,126.142,431.067,147.367,0.1728,0.1904,0.0093,0.0445,0.1092,0.1504,0.0989,0.0402,0.1373,0.0469,2,0,0
1583.575,222.617,312.533,22.05,110.008,139.583,235.033,143.9,57.467,260.642,79.741,0.1406,0.1974,0.0139,0.0695,0.0881,0.1484,0.0909,0.0363,0.1646,0.0504,0,2,3
1415.725,166.85,268.8,18.717,77.258,177.692,199.883,129.417,50.983,257.692,68.434,0.1179,0.1899,0.0132,0.0546,0.1255,0.1412,0.0914,0.036,0.182,0.0483,0,2,3
1930.292,251.658,403.383,21.983,93.183,216.983,278.283,198.092,65.65,312.983,88.092,0.1304,0.209,0.0114,0.0483,0.1124,0.1442,0.1026,0.034,0.1621,0.0456,0,2,0
1990.85,135.692,381.3,22.892,93.908,213.133,315.392,236.358,73.508,329.992,188.675,0.0682,0.1915,0.0115,0.0472,0.1071,0.1584,0.1187,0.0369,0.1658,0.0948,0,2,0
