State,Total Nonfarm,Manufacturing,"Trade, Transportation, and Utils",Information,Financial Activities,Professional & Business Services,Education & Health Services,Leisure & Hospitality,Other Services,Government,"Mining, Logging and Construction"
Alabama,2039.65,263.567,394.55,19.958,98.017,250.492,239.05,188.392,95.058,387.658,102.908
Alaska,310.458,12.5,61.05,4.775,10.783,26.458,50.508,30.35,10.475,77.183,26.375
Arizona,2957.95,180.817,583.842,47.383,245.65,444.75,464.508,303.942,91.125,406.417,189.517
Arkansas,1282.608,157.183,256.342,11.708,65.892,146.117,195.1,115.8,66.958,206.975,60.532999999999994
California,16705.817,1272.492,3033.142,566.55,823.083,2703.4,2809.083,1630.642,500.008,2467.933,899.484
Colorado,2745.258,148.675,486.225,76.325,177.75,452.75,347.85,306.617,113.675,438.708,196.683
Connecticut,1614.067,153.408,290.475,29.842,117.575,213.175,333.408,133.825,58.233,223.967,60.159
Delaware,449.433,24.758,80.875,3.558,47.567,62.892,77.583,45.058,18.242,65.867,23.042
District of Columbia,742.292,1.092,29.242,19.567,28.083,167.208,120.1,49.575,71.233,241.15,15.042
Florida,8915.367,388.083,1840.283,138.55,621.783,1455.658,1340.283,1122.65,334.008,1093.083,581.0409999999999
Georgia,4570.317,394.383,962.758,123.442,258.458,733.783,604.45,451.233,157.342,669.408,215.059
Hawaii,583.508,12.05,109.008,7.875,27.042,67.625,84.475,94.117,24.283,120.2,36.833
Idaho,795.075,70.45,158.425,7.958,39.125,103.317,116.692,83.792,26.167,125.033,64.117
Illinois,5811.958,553.825,1183.133,88.417,406.842,924.133,905.242,502.75,238.492,780.042,229.083
Indiana,3088.675,525.217,609.358,25.983,144.383,346.842,464.892,282.792,120.908,413.117,155.184
Iowa,1535.608,217.683,308.408,18.883,108.917,139.567,225.267,128.45,54.7,253.758,79.97500000000001
Kansas,1374.058,160.442,265.158,16.858,75.85,169.8,197.758,120.108,47.308,250.875,69.9
Kentucky,1896.383,242.442,411.675,20.817,95.65,218.933,281.533,181.717,62.533,294.708,86.375
Louisiana,1869.717,128.875,364.65,21.167,89.417,212.092,315.625,198.992,69.083,312.258,157.558
Maine,621.2,54.1,116.808,6.558,33.033,72.042,125.65,60.358,21.067,97.725,33.858
Maryland,2645.742,109.042,466.717,33.642,137.442,457.983,440.467,229.533,105.608,503.733,161.575
Massachusetts,3517.608,232.358,552.45,93.15,220.083,605.133,790.783,296.45,122.142,439.908,165.14999999999998
Michigan,4196.292,583.658,778.083,51.65,232.625,630.55,649.892,358.975,153.642,574.125,183.09199999999998
Minnesota,2842.208,312.883,511.933,42.292,190.667,372.433,541.05,226.85,105.033,402.792,136.275
Mississippi,1137.383,143.792,236.175,9.592,42.417,114.842,140.308,126.175,38.925,234.517,50.641000000000005
Missouri,2844.025,270.242,544.683,46.733,178.575,373.5,480.825,275.408,111.917,426.25,135.892
Montana,492.3,21.4,96.65,5.592,26.983,46.9,80.092,66.25,18.508,90.142,39.782999999999994
Nebraska,1006.425,99.35,193.742,17.658,72.775,117.092,156.717,86.333,36.233,169.658,56.867
Nevada,1366.6,60.733,276.133,14.958,70.175,190.483,149.742,294.275,39.208,159.017,111.875
New Hampshire,663.242,67.65,138.8,11.667,34.725,87.867,119.983,64.558,23.242,84.783,29.965999999999998
New Jersey,4020.817,240.458,866.242,70.517,251.55,684.725,691.967,330.658,151.883,574.033,158.78400000000002
New Mexico,812.708,27.675,135.758,10.075,33.483,111.05,139.017,85.958,26.517,176.875,66.3
New York,9048.158,408.275,1425.192,281.733,704.308,1278.925,2050.892,721.067,362.983,1434.825,379.95799999999997
North Carolina,4586.608,462.5,891.0,77.2,272.375,674.658,630.275,459.15,161.6,714.5,243.35
North Dakota,416.808,26.183,89.183,5.717,24.575,33.05,66.467,37.042,14.233,81.325,39.034
Ohio,5373.475,665.867,1033.575,64.817,308.308,717.367,896.0,504.133,200.575,750.567,232.267
Oklahoma,1642.683,128.758,313.25,17.775,78.233,189.842,236.608,164.842,63.792,345.108,104.475
Oregon,1875.017,187.408,362.217,35.058,103.558,250.158,299.2,175.433,58.933,285.325,117.667
Pennsylvania,5750.575,542.342,1106.733,86.25,327.042,798.475,1225.675,476.833,236.375,675.883,274.966
Rhode Island,479.842,39.058,75.042,5.467,34.583,68.433,102.075,51.233,20.725,62.992,20.233
South Carolina,2146.292,249.325,414.033,27.333,109.825,294.55,254.375,244.65,77.083,366.517,108.6
South Dakota,439.733,43.825,86.608,5.025,28.225,34.192,74.175,45.458,16.992,78.95,26.283
Tennessee,3106.992,349.392,653.708,46.75,172.042,436.033,438.775,316.292,122.542,430.517,140.942
Texas,12704.208,873.467,2569.625,207.658,832.383,1895.158,1731.858,1295.508,417.8,1965.625,915.125
Utah,1612.483,145.392,307.4,41.067,97.275,233.817,216.775,148.325,42.208,249.35,130.875
Vermont,293.692,28.625,51.342,3.992,11.858,29.967,60.7,29.642,9.55,52.2,15.817
Virginia,3941.658,236.358,655.233,66.242,209.942,776.192,535.842,357.092,183.758,708.792,212.208
Washington,3355.925,258.983,652.992,157.058,160.475,446.225,495.75,282.333,113.108,560.525,228.475
West Virginia,685.392,45.525,123.2,7.158,29.5,67.808,127.45,66.508,23.183,146.758,48.3
Wisconsin,2882.525,466.35,533.208,44.917,154.325,316.425,452.842,251.067,142.858,390.4,130.134
Wyoming,278.017,9.733,51.15,2.933,11.15,19.558,28.558,35.967,15.717,67.392,35.858000000000004
