Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,58.3,53.4,2179750.0,1993523.0,186227.0,8.5
2012,Feb,58.2,53.3,2175635.0,1992089.0,183546.0,8.4
2012,Mar,58.1,53.2,2173644.0,1991104.0,182540.0,8.4
2012,Apr,58.1,53.2,2173494.0,1991037.0,182457.0,8.4
2012,May,58.1,53.2,2174754.0,1992484.0,182270.0,8.4
2012,Jun,58.1,53.3,2176818.0,1995546.0,181272.0,8.3
2012,Jul,58.2,53.4,2178985.0,1999860.0,179125.0,8.2
2012,Aug,58.2,53.5,2180942.0,2004716.0,176226.0,8.1
2012,Sep,58.2,53.6,2182771.0,2009352.0,173419.0,7.9
2012,Oct,58.2,53.6,2184006.0,2012918.0,171088.0,7.8
2012,Nov,58.2,53.7,2184400.0,2015057.0,169343.0,7.8
2012,Dec,58.1,53.7,2183700.0,2015725.0,167975.0,7.7
2013,Jan,58.1,53.6,2181651.0,2015043.0,166608.0,7.6
2013,Feb,58.0,53.6,2178756.0,2013876.0,164880.0,7.6
2013,Mar,57.9,53.5,2175993.0,2013323.0,162670.0,7.5
2013,Apr,57.8,53.5,2174613.0,2014210.0,160403.0,7.4
2013,May,57.8,53.6,2174482.0,2015808.0,158674.0,7.3
2013,Jun,57.8,53.6,2174677.0,2016898.0,157779.0,7.3
2013,Jul,57.7,53.5,2174320.0,2016720.0,157600.0,7.2
2013,Aug,57.7,53.5,2172637.0,2015204.0,157433.0,7.2
2013,Sep,57.6,53.4,2169847.0,2013022.0,156825.0,7.2
2013,Oct,57.5,53.3,2167230.0,2011093.0,156137.0,7.2
2013,Nov,57.4,53.3,2165715.0,2010028.0,155687.0,7.2
2013,Dec,57.4,53.2,2165388.0,2009949.0,155439.0,7.2
2014,Jan,57.4,53.3,2165971.0,2010942.0,155029.0,7.2
2014,Feb,57.4,53.3,2166876.0,2012653.0,154223.0,7.1
2014,Mar,57.4,53.3,2167429.0,2014263.0,153166.0,7.1
2014,Apr,57.3,53.3,2166887.0,2015052.0,151835.0,7.0
2014,May,57.3,53.3,2165427.0,2015410.0,150017.0,6.9
2014,Jun,57.2,53.3,2164102.0,2016249.0,147853.0,6.8
2014,Jul,57.2,53.3,2163245.0,2017648.0,145597.0,6.7
2014,Aug,57.1,53.4,2162943.0,2019514.0,143429.0,6.6
2014,Sep,57.1,53.4,2162865.0,2021615.0,141250.0,6.5
2014,Oct,57.1,53.4,2162682.0,2023989.0,138693.0,6.4
2014,Nov,57.1,53.5,2162723.0,2026910.0,135813.0,6.3
2014,Dec,57.1,53.6,2163996.0,2030603.0,133393.0,6.2
2015,Jan,57.1,53.6,2166771.0,2034786.0,131985.0,6.1
2015,Feb,57.2,53.7,2170601.0,2038928.0,131673.0,6.1
2015,Mar,57.3,53.8,2174960.0,2042936.0,132024.0,6.1
