Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,61.3,56.0,3048161.0,2782738.0,265423.0,8.7
2012,Feb,61.3,56.0,3048882.0,2786310.0,262572.0,8.6
2012,Mar,61.2,56.0,3050044.0,2789251.0,260793.0,8.6
2012,Apr,61.2,56.0,3051345.0,2791656.0,259689.0,8.5
2012,May,61.1,55.9,3052719.0,2794227.0,258492.0,8.5
2012,Jun,61.0,55.9,3054066.0,2797416.0,256650.0,8.4
2012,Jul,61.0,55.9,3055366.0,2801303.0,254063.0,8.3
2012,Aug,60.9,55.9,3056822.0,2805561.0,251261.0,8.2
2012,Sep,60.9,55.9,3058702.0,2809750.0,248952.0,8.1
2012,Oct,60.8,55.9,3060209.0,2812844.0,247365.0,8.1
2012,Nov,60.8,55.9,3060910.0,2814217.0,246693.0,8.1
2012,Dec,60.7,55.8,3060362.0,2813704.0,246658.0,8.1
2013,Jan,60.6,55.7,3058620.0,2811785.0,246835.0,8.1
2013,Feb,60.5,55.6,3056893.0,2810201.0,246692.0,8.1
2013,Mar,60.4,55.5,3056334.0,2810619.0,245715.0,8.0
2013,Apr,60.3,55.5,3057784.0,2813639.0,244145.0,8.0
2013,May,60.3,55.5,3060694.0,2818192.0,242502.0,7.9
2013,Jun,60.3,55.6,3064094.0,2822985.0,241109.0,7.9
2013,Jul,60.3,55.6,3067255.0,2827358.0,239897.0,7.8
2013,Aug,60.2,55.6,3069196.0,2831079.0,238117.0,7.8
2013,Sep,60.2,55.5,3069703.0,2834283.0,235420.0,7.7
2013,Oct,60.1,55.5,3070375.0,2837884.0,232491.0,7.6
2013,Nov,60.0,55.5,3072551.0,2843115.0,229436.0,7.5
2013,Dec,60.0,55.6,3076382.0,2850146.0,226236.0,7.4
2014,Jan,60.0,55.7,3081484.0,2858474.0,223010.0,7.2
2014,Feb,60.0,55.8,3087246.0,2867319.0,219927.0,7.1
2014,Mar,60.1,55.8,3093246.0,2875911.0,217335.0,7.0
2014,Apr,60.1,55.9,3098896.0,2883663.0,215233.0,6.9
2014,May,60.1,56.0,3104438.0,2891087.0,213351.0,6.9
2014,Jun,60.1,56.1,3110915.0,2899220.0,211695.0,6.8
2014,Jul,60.2,56.1,3118643.0,2908222.0,210421.0,6.7
2014,Aug,60.3,56.2,3127937.0,2918301.0,209636.0,6.7
2014,Sep,60.4,56.3,3138216.0,2929099.0,209117.0,6.7
2014,Oct,60.4,56.4,3147375.0,2939396.0,207979.0,6.6
2014,Nov,60.5,56.5,3153926.0,2947951.0,205975.0,6.5
2014,Dec,60.5,56.6,3158664.0,2954989.0,203675.0,6.4
2015,Jan,60.4,56.6,3162393.0,2961081.0,201312.0,6.4
2015,Feb,60.4,56.6,3165741.0,2966433.0,199308.0,6.3
2015,Mar,60.4,56.6,3169469.0,2971786.0,197683.0,6.2
2015,Apr,60.4,56.7,3174046.0,2977647.0,196399.0,6.2
2015,May,60.4,56.7,3179024.0,2983595.0,195429.0,6.1
2015,Jun,60.4,56.7,3183495.0,2988875.0,194620.0,6.1
2015,Jul,60.4,56.7,3187178.0,2993303.0,193875.0,6.1
2015,Aug,60.3,56.7,3190286.0,2997349.0,192937.0,6.0
2015,Sep,60.3,56.7,3193508.0,3002093.0,191415.0,6.0
2015,Oct,60.3,56.7,3198236.0,3008840.0,189396.0,5.9
2015,Nov,60.3,56.8,3204955.0,3017642.0,187313.0,5.8
2015,Dec,60.3,56.8,3212709.0,3027448.0,185261.0,5.8
2016,Jan,60.4,56.9,3220542.0,3037144.0,183398.0,5.7
2016,Feb,60.4,57.0,3227960.0,3046025.0,181935.0,5.6
2016,Mar,60.4,57.1,3234359.0,3053620.0,180739.0,5.6
2016,Apr,60.4,57.1,3239833.0,3059997.0,179836.0,5.6
2016,May,60.4,57.1,3245197.0,3065928.0,179269.0,5.5
2016,Jun,60.4,57.1,3250898.0,3072085.0,178813.0,5.5
2016,Jul,60.4,57.1,3256816.0,3078706.0,178110.0,5.5
2016,Aug,60.4,57.2,3262727.0,3085510.0,177217.0,5.4
2016,Sep,60.4,57.2,3268544.0,3092046.0,176498.0,5.4
2016,Oct,60.4,57.2,3274187.0,3098339.0,175848.0,5.4
2016,Nov,60.4,57.2,3280006.0,3105116.0,174890.0,5.3
2016,Dec,60.5,57.3,3286375.0,3112781.0,173594.0,5.3
2017,Jan,60.5,57.3,3207827.0,3040381.0,167446.0,5.2
2017,Feb,60.5,57.4,3214755.0,3049108.0,165647.0,5.2
2017,Mar,60.6,57.5,3222018.0,3058180.0,163838.0,5.1
2017,Apr,60.7,57.6,3229183.0,3067067.0,162116.0,5.0
2017,May,60.7,57.7,3235526.0,3075187.0,160339.0,5.0
2017,Jun,60.7,57.8,3240691.0,3081904.0,158787.0,4.9
2017,Jul,60.7,57.8,3245145.0,3087275.0,157870.0,4.9
2017,Aug,60.7,57.8,3248948.0,3091379.0,157569.0,4.8
2017,Sep,60.7,57.7,3252264.0,3094480.0,157784.0,4.9
2017,Oct,60.6,57.7,3255727.0,3097498.0,158229.0,4.9
2017,Nov,60.6,57.7,3260024.0,3101312.0,158712.0,4.9
2017,Dec,60.7,57.7,3265952.0,3107262.0,158690.0,4.9
2018,Jan,60.7,57.8,3273805.0,3115713.0,158092.0,4.8
