Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,63.3,56.3,18456650.0,16397835.0,2058815.0,11.2
2012,Feb,63.2,56.3,18447162.0,16411184.0,2035978.0,11.0
2012,Mar,63.2,56.3,18445792.0,16424830.0,2020962.0,11.0
2012,Apr,63.1,56.3,18449665.0,16440520.0,2009145.0,10.9
2012,May,63.1,56.3,18457489.0,16462781.0,1994708.0,10.8
2012,Jun,63.1,56.3,18468110.0,16494261.0,1973849.0,10.7
2012,Jul,63.1,56.4,18479876.0,16534689.0,1945187.0,10.5
2012,Aug,63.0,56.5,18494681.0,16581684.0,1912997.0,10.3
2012,Sep,63.0,56.6,18515366.0,16631825.0,1883541.0,10.2
2012,Oct,63.1,56.7,18536565.0,16678616.0,1857949.0,10.0
2012,Nov,63.0,56.8,18553309.0,16717341.0,1835968.0,9.9
2012,Dec,63.0,56.9,18562700.0,16747321.0,1815379.0,9.8
2013,Jan,63.0,56.9,18564212.0,16769858.0,1794354.0,9.7
2013,Feb,62.9,56.9,18561589.0,16789624.0,1771965.0,9.5
2013,Mar,62.9,56.9,18560032.0,16812502.0,1747530.0,9.4
2013,Apr,62.8,57.0,18565682.0,16842626.0,1723056.0,9.3
2013,May,62.8,57.0,18576563.0,16874399.0,1702164.0,9.2
2013,Jun,62.8,57.1,18587359.0,16900895.0,1686464.0,9.1
2013,Jul,62.7,57.1,18593103.0,16919448.0,1673655.0,9.0
2013,Aug,62.7,57.1,18587188.0,16930930.0,1656258.0,8.9
2013,Sep,62.5,57.0,18570217.0,16939401.0,1630816.0,8.8
2013,Oct,62.4,57.0,18553825.0,16951113.0,1602712.0,8.6
2013,Nov,62.3,57.0,18547876.0,16971722.0,1576154.0,8.5
2013,Dec,62.3,57.1,18554149.0,17001882.0,1552267.0,8.4
2014,Jan,62.3,57.2,18569356.0,17040259.0,1529097.0,8.2
2014,Feb,62.3,57.3,18588369.0,17083487.0,1504882.0,8.1
2014,Mar,62.3,57.4,18608224.0,17126546.0,1481678.0,8.0
2014,Apr,62.3,57.4,18624963.0,17164661.0,1460302.0,7.8
2014,May,62.3,57.5,18638929.0,17200175.0,1438754.0,7.7
2014,Jun,62.3,57.6,18656005.0,17238675.0,1417330.0,7.6
2014,Jul,62.3,57.7,18677566.0,17279967.0,1397599.0,7.5
2014,Aug,62.3,57.7,18704813.0,17324005.0,1380808.0,7.4
2014,Sep,62.4,57.8,18735234.0,17369795.0,1365439.0,7.3
