Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,68.0,61.5,355798.0,321609.0,34189.0,9.6
2012,Feb,68.2,61.7,357117.0,323319.0,33798.0,9.5
2012,Mar,68.3,62.0,358725.0,325222.0,33503.0,9.3
2012,Apr,68.6,62.2,360448.0,327187.0,33261.0,9.2
2012,May,68.8,62.5,362204.0,329200.0,33004.0,9.1
2012,Jun,69.0,62.8,364042.0,331349.0,32693.0,9.0
2012,Jul,69.3,63.1,365996.0,333656.0,32340.0,8.8
2012,Aug,69.5,63.4,368008.0,335940.0,32068.0,8.7
2012,Sep,69.7,63.7,369988.0,338002.0,31986.0,8.6
2012,Oct,69.9,63.9,371781.0,339713.0,32068.0,8.6
2012,Nov,70.1,64.0,373228.0,340978.0,32250.0,8.6
2012,Dec,70.2,64.1,374209.0,341766.0,32443.0,8.7
2013,Jan,70.1,64.0,374703.0,342127.0,32576.0,8.7
2013,Feb,70.1,64.0,374879.0,342281.0,32598.0,8.7
2013,Mar,69.9,63.9,374852.0,342391.0,32461.0,8.7
2013,Apr,69.8,63.8,374770.0,342590.0,32180.0,8.6
2013,May,69.7,63.7,374621.0,342718.0,31903.0,8.5
2013,Jun,69.5,63.6,374318.0,342566.0,31752.0,8.5
2013,Jul,69.3,63.4,373956.0,342280.0,31676.0,8.5
2013,Aug,69.1,63.3,373632.0,342129.0,31503.0,8.4
2013,Sep,69.0,63.2,373434.0,342277.0,31157.0,8.3
2013,Oct,68.9,63.3,373515.0,342762.0,30753.0,8.2
2013,Nov,68.9,63.3,373797.0,343424.0,30373.0,8.1
2013,Dec,68.9,63.3,374139.0,344093.0,30046.0,8.0
2014,Jan,68.8,63.4,374474.0,344720.0,29754.0,7.9
2014,Feb,68.8,63.4,374892.0,345390.0,29502.0,7.9
2014,Mar,68.9,63.5,375490.0,346115.0,29375.0,7.8
2014,Apr,68.9,63.5,376260.0,346875.0,29385.0,7.8
2014,May,69.0,63.7,377323.0,347911.0,29412.0,7.8
2014,Jun,69.2,63.9,378844.0,349461.0,29383.0,7.8
2014,Jul,69.4,64.1,380511.0,351174.0,29337.0,7.7
2014,Aug,69.6,64.3,382074.0,352769.0,29305.0,7.7
2014,Sep,69.7,64.4,383397.0,354127.0,29270.0,7.6
2014,Oct,69.8,64.5,384299.0,355165.0,29134.0,7.6
2014,Nov,69.8,64.6,384899.0,356027.0,28872.0,7.5
2014,Dec,69.8,64.6,385365.0,356775.0,28590.0,7.4
2015,Jan,69.7,64.6,385655.0,357301.0,28354.0,7.4
2015,Feb,69.7,64.6,385829.0,357663.0,28166.0,7.3
2015,Mar,69.6,64.6,386175.0,358225.0,27950.0,7.2
2015,Apr,69.6,64.7,386792.0,359132.0,27660.0,7.2
2015,May,69.7,64.8,387466.0,360162.0,27304.0,7.0
2015,Jun,69.7,64.8,388031.0,361107.0,26924.0,6.9
2015,Jul,69.7,64.9,388585.0,362003.0,26582.0,6.8
2015,Aug,69.7,65.0,389198.0,362893.0,26305.0,6.8
2015,Sep,69.7,65.0,389790.0,363732.0,26058.0,6.7
2015,Oct,69.7,65.1,390400.0,364559.0,25841.0,6.6
2015,Nov,69.8,65.2,391107.0,365451.0,25656.0,6.6
2015,Dec,69.8,65.3,391856.0,366441.0,25415.0,6.5
2016,Jan,69.9,65.4,392658.0,367573.0,25085.0,6.4
2016,Feb,70.0,65.6,393390.0,368673.0,24717.0,6.3
2016,Mar,70.0,65.6,393876.0,369514.0,24362.0,6.2
2016,Apr,69.9,65.6,394058.0,369933.0,24125.0,6.1
2016,May,69.9,65.6,394222.0,370141.0,24081.0,6.1
