Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,64.1,58.0,4765809.0,4312847.0,452962.0,9.5
2012,Feb,64.0,58.0,4764273.0,4315884.0,448389.0,9.4
2012,Mar,64.0,58.0,4764404.0,4318945.0,445459.0,9.3
2012,Apr,63.9,58.0,4765619.0,4322617.0,443002.0,9.3
2012,May,63.9,58.0,4767757.0,4327976.0,439781.0,9.2
2012,Jun,63.8,58.0,4770468.0,4335207.0,435261.0,9.1
2012,Jul,63.8,58.0,4773009.0,4343500.0,429509.0,9.0
2012,Aug,63.8,58.1,4775669.0,4351928.0,423741.0,8.9
2012,Sep,63.7,58.2,4778749.0,4359383.0,419366.0,8.8
2012,Oct,63.7,58.2,4780398.0,4364003.0,416395.0,8.7
2012,Nov,63.6,58.1,4779443.0,4365109.0,414334.0,8.7
2012,Dec,63.5,58.1,4776076.0,4363590.0,412486.0,8.6
2013,Jan,63.4,58.0,4771071.0,4360605.0,410466.0,8.6
2013,Feb,63.3,57.9,4765817.0,4357909.0,407908.0,8.6
2013,Mar,63.2,57.8,4761620.0,4357295.0,404325.0,8.5
2013,Apr,63.1,57.8,4759649.0,4359853.0,399796.0,8.4
2013,May,63.1,57.8,4758784.0,4363716.0,395068.0,8.3
2013,Jun,63.0,57.8,4757233.0,4366608.0,390625.0,8.2
2013,Jul,62.9,57.8,4753872.0,4367542.0,386330.0,8.1
2013,Aug,62.7,57.7,4747684.0,4366691.0,380993.0,8.0
2013,Sep,62.6,57.6,4739785.0,4365522.0,374263.0,7.9
2013,Oct,62.4,57.6,4733883.0,4366214.0,367669.0,7.8
2013,Nov,62.3,57.6,4732267.0,4370024.0,362243.0,7.7
2013,Dec,62.3,57.6,4734481.0,4376243.0,358238.0,7.6
2014,Jan,62.3,57.6,4738716.0,4383593.0,355123.0,7.5
2014,Feb,62.3,57.7,4743210.0,4390706.0,352504.0,7.4
2014,Mar,62.3,57.7,4746928.0,4396047.0,350881.0,7.4
2014,Apr,62.2,57.6,4748750.0,4398631.0,350119.0,7.4
2014,May,62.2,57.6,4748727.0,4399795.0,348932.0,7.3
2014,Jun,62.1,57.6,4748412.0,4401903.0,346509.0,7.3
2014,Jul,62.0,57.6,4748222.0,4405529.0,342693.0,7.2
2014,Aug,62.0,57.5,4748449.0,4410760.0,337689.0,7.1
2014,Sep,61.9,57.6,4748685.0,4416904.0,331781.0,7.0
2014,Oct,61.8,57.6,4747387.0,4422548.0,324839.0,6.8
2014,Nov,61.7,57.5,4744010.0,4426681.0,317329.0,6.7
2014,Dec,61.5,57.5,4740275.0,4429609.0,310666.0,6.6
2015,Jan,61.4,57.5,4737642.0,4431983.0,305659.0,6.5
2015,Feb,61.4,57.4,4736239.0,4433957.0,302282.0,6.4
2015,Mar,61.3,57.4,4735865.0,4436481.0,299384.0,6.3
2015,Apr,61.2,57.4,4735991.0,4439804.0,296187.0,6.3
