Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,64.9,59.9,770197.0,711077.0,59120.0,7.7
2012,Feb,64.9,59.9,770719.0,711923.0,58796.0,7.6
2012,Mar,64.9,59.9,771103.0,712536.0,58567.0,7.6
2012,Apr,64.8,59.9,771346.0,713010.0,58336.0,7.6
2012,May,64.8,59.9,771563.0,713524.0,58039.0,7.5
2012,Jun,64.7,59.9,771845.0,714218.0,57627.0,7.5
2012,Jul,64.7,59.9,772210.0,715144.0,57066.0,7.4
2012,Aug,64.7,59.9,772638.0,716202.0,56436.0,7.3
2012,Sep,64.6,60.0,773091.0,717238.0,55853.0,7.2
2012,Oct,64.6,59.9,773385.0,718040.0,55345.0,7.2
2012,Nov,64.5,59.9,773460.0,718524.0,54936.0,7.1
2012,Dec,64.4,59.9,773323.0,718703.0,54620.0,7.1
2013,Jan,64.3,59.8,773064.0,718684.0,54380.0,7.0
2013,Feb,64.3,59.8,773031.0,718812.0,54219.0,7.0
2013,Mar,64.3,59.8,773507.0,719407.0,54100.0,7.0
2013,Apr,64.3,59.8,774575.0,720581.0,53994.0,7.0
2013,May,64.3,59.9,776008.0,722073.0,53935.0,7.0
2013,Jun,64.4,59.9,777564.0,723613.0,53951.0,6.9
2013,Jul,64.4,60.0,779087.0,725099.0,53988.0,6.9
2013,Aug,64.5,60.0,780447.0,726569.0,53878.0,6.9
2013,Sep,64.5,60.1,781625.0,728067.0,53558.0,6.9
2013,Oct,64.5,60.1,782755.0,729577.0,53178.0,6.8
2013,Nov,64.3,60.2,781042.0,731179.0,49863.0,6.4
2013,Dec,64.1,60.2,779488.0,732868.0,46620.0,6.0
2014,Jan,63.9,60.3,778076.0,734548.0,43528.0,5.6
2014,Feb,63.7,60.4,776745.0,736121.0,40624.0,5.2
2014,Mar,63.5,60.4,775559.0,737567.0,37992.0,4.9
2014,Apr,63.4,60.4,774476.0,738865.0,35611.0,4.6
2014,May,63.3,60.5,774878.0,740193.0,34685.0,4.5
2014,Jun,63.0,60.5,772518.0,741711.0,30807.0,4.0
2014,Jul,63.1,60.6,774415.0,743273.0,31142.0,4.0
2014,Aug,63.2,60.6,776184.0,744890.0,31294.0,4.0
2014,Sep,63.2,60.7,777919.0,746662.0,31257.0,4.0
2014,Oct,63.3,60.8,779643.0,748640.0,31003.0,4.0
2014,Nov,63.3,60.8,781294.0,750676.0,30618.0,3.9
2014,Dec,63.4,60.9,783031.0,752712.0,30319.0,3.9
2015,Jan,63.5,61.0,785010.0,754789.0,30221.0,3.8
2015,Feb,63.6,61.1,787221.0,756853.0,30368.0,3.9
2015,Mar,63.7,61.2,789517.0,758877.0,30640.0,3.9
2015,Apr,63.8,61.3,791724.0,760809.0,30915.0,3.9
2015,May,63.9,61.4,793675.0,762546.0,31129.0,3.9
2015,Jun,63.9,61.4,795165.0,763973.0,31192.0,3.9
2015,Jul,63.9,61.4,796345.0,765212.0,31133.0,3.9
2015,Aug,63.9,61.4,797404.0,766369.0,31035.0,3.9
2015,Sep,63.8,61.3,798413.0,767529.0,30884.0,3.9
2015,Oct,63.8,61.3,799645.0,768912.0,30733.0,3.8
2015,Nov,63.8,61.4,801327.0,770672.0,30655.0,3.8
2015,Dec,63.8,61.4,803322.0,772741.0,30581.0,3.8
2016,Jan,63.9,61.5,805322.0,774854.0,30468.0,3.8
2016,Feb,63.9,61.5,807148.0,776822.0,30326.0,3.8
2016,Mar,63.9,61.5,808719.0,778561.0,30158.0,3.7
2016,Apr,63.9,61.5,810104.0,780076.0,30028.0,3.7
2016,May,63.9,61.5,811416.0,781429.0,29987.0,3.7
2016,Jun,63.9,61.5,812750.0,782732.0,30018.0,3.7
2016,Jul,63.8,61.5,814013.0,784003.0,30010.0,3.7
2016,Aug,63.8,61.4,815143.0,785242.0,29901.0,3.7
2016,Sep,63.7,61.4,816266.0,786512.0,29754.0,3.6
2016,Oct,63.7,61.4,817413.0,787865.0,29548.0,3.6
2016,Nov,63.7,61.4,818658.0,789438.0,29220.0,3.6
2016,Dec,63.6,61.4,820142.0,791352.0,28790.0,3.5
2017,Jan,63.6,61.4,826911.0,798308.0,28603.0,3.5
2017,Feb,63.7,61.5,829087.0,801101.0,27986.0,3.4
2017,Mar,63.7,61.6,831417.0,804009.0,27408.0,3.3
2017,Apr,63.8,61.7,833850.0,806935.0,26915.0,3.2
2017,May,63.8,61.8,836335.0,809789.0,26546.0,3.2
2017,Jun,63.9,61.9,838842.0,812467.0,26375.0,3.1
2017,Jul,63.9,61.9,841394.0,814980.0,26414.0,3.1
2017,Aug,64.0,62.0,843855.0,817266.0,26589.0,3.2
2017,Sep,64.0,62.0,845994.0,819239.0,26755.0,3.2
2017,Oct,64.0,62.0,847754.0,821014.0,26740.0,3.2
2017,Nov,64.0,62.0,849162.0,822645.0,26517.0,3.1
2017,Dec,64.0,62.0,850457.0,824364.0,26093.0,3.1
2018,Jan,64.0,62.1,851950.0,826388.0,25562.0,3.0
2018,Feb,64.0,62.1,853941.0,828889.0,25052.0,2.9
2018,Mar,64.1,62.2,856347.0,831700.0,24647.0,2.9
2018,Apr,64.1,62.3,858709.0,834330.0,24379.0,2.8
2018,May,64.2,62.3,860704.0,836410.0,24294.0,2.8
2018,Jun,64.1,62.3,862277.0,837905.0,24372.0,2.8
2018,Jul,64.1,62.3,863502.0,838950.0,24552.0,2.8
2018,Aug,64.0,62.2,864741.0,839887.0,24854.0,2.9
2018,Sep,64.0,62.1,866283.0,840994.0,25289.0,2.9
2018,Oct,64.0,62.1,868218.0,842436.0,25782.0,3.0
2018,Nov,64.0,62.1,870533.0,844339.0,26194.0,3.0
2018,Dec,64.1,62.1,873063.0,846680.0,26383.0,3.0
2019,Jan,64.1,62.2,875553.0,849257.0,26296.0,3.0
2019,Feb,64.2,62.3,877903.0,851930.0,25973.0,3.0
2019,Mar,64.2,62.4,880234.0,854604.0,25630.0,2.9
2019,Apr,64.3,62.4,882774.0,857322.0,25452.0,2.9
2019,May,64.3,62.5,885515.0,859979.0,25536.0,2.9
2019,Jun,64.4,62.5,888376.0,862471.0,25905.0,2.9
2019,Jul,64.5,62.5,891194.0,864721.0,26473.0,3.0
2019,Aug,64.5,62.5,893779.0,866785.0,26994.0,3.0
2019,Sep,64.5,62.5,896149.0,868987.0,27162.0,3.0
2019,Oct,64.5,62.6,898358.0,871285.0,27073.0,3.0
2019,Nov,64.5,62.6,900239.0,873409.0,26830.0,3.0
2019,Dec,64.4,62.5,901369.0,874746.0,26623.0,3.0
2020,Jan,64.3,62.4,901645.0,874970.0,26675.0,3.0
2020,Feb,64.1,62.2,901103.0,874104.0,26999.0,3.0
2020,Mar,63.8,62.0,898287.0,872787.0,25500.0,2.8
2020,Apr,62.6,55.2,883664.0,779191.0,104473.0,11.8
2020,May,63.1,57.5,892862.0,813394.0,79468.0,8.9
2020,Jun,62.9,58.3,890942.0,826239.0,64703.0,7.3
2020,Jul,63.0,59.0,894847.0,838434.0,56413.0,6.3
2020,Aug,62.9,59.6,895576.0,848465.0,47111.0,5.3
2020,Sep,63.0,60.0,900182.0,856718.0,43464.0,4.8
2020,Oct,62.9,60.2,901471.0,862354.0,39117.0,4.3
2020,Nov,62.9,60.3,903867.0,866139.0,37728.0,4.2
2020,Dec,62.9,60.3,906483.0,868813.0,37670.0,4.2
2021,Jan,62.9,60.3,907948.0,871201.0,36747.0,4.0
2021,Feb,62.9,60.3,910009.0,873702.0,36307.0,4.0
2021,Mar,62.8,60.4,912023.0,876422.0,35601.0,3.9
2021,Apr,62.8,60.4,914122.0,879079.0,35043.0,3.8
2021,May,62.7,60.4,915795.0,881489.0,34306.0,3.7
2021,Jun,62.7,60.4,917529.0,883514.0,34015.0,3.7
2021,Jul,62.6,60.3,918907.0,885623.0,33284.0,3.6
2021,Aug,62.5,60.3,920046.0,887733.0,32313.0,3.5
2021,Sep,62.3,60.2,920969.0,890000.0,30969.0,3.4
2021,Oct,62.2,60.2,921775.0,892027.0,29748.0,3.2
2021,Nov,62.0,60.1,921829.0,892721.0,29108.0,3.2
2021,Dec,61.8,59.9,921726.0,892861.0,28865.0,3.1
2022,Jan,61.8,60.0,924469.0,896958.0,27511.0,3.0
