Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,60.7,55.5,2050998.0,1876189.0,174809.0,8.5
2012,Feb,60.6,55.5,2048659.0,1877591.0,171068.0,8.4
2012,Mar,60.5,55.5,2048252.0,1879434.0,168818.0,8.2
2012,Apr,60.6,55.6,2049721.0,1881638.0,168083.0,8.2
2012,May,60.6,55.7,2052837.0,1884530.0,168307.0,8.2
2012,Jun,60.7,55.7,2057041.0,1888219.0,168822.0,8.2
2012,Jul,60.8,55.8,2061588.0,1892555.0,169033.0,8.2
2012,Aug,60.9,55.9,2065968.0,1897095.0,168873.0,8.2
2012,Sep,61.0,56.0,2069786.0,1901222.0,168564.0,8.1
2012,Oct,61.0,56.1,2072317.0,1904250.0,168067.0,8.1
2012,Nov,61.0,56.1,2073384.0,1905934.0,167450.0,8.1
2012,Dec,61.0,56.1,2072953.0,1906182.0,166771.0,8.0
2013,Jan,60.9,56.0,2071047.0,1904810.0,166237.0,8.0
2013,Feb,60.8,55.9,2068320.0,1902317.0,166003.0,8.0
2013,Mar,60.7,55.8,2065701.0,1899808.0,165893.0,8.0
2013,Apr,60.6,55.7,2064135.0,1898417.0,165718.0,8.0
2013,May,60.5,55.7,2063352.0,1897711.0,165641.0,8.0
2013,Jun,60.5,55.6,2062469.0,1896774.0,165695.0,8.0
2013,Jul,60.4,55.5,2060497.0,1894998.0,165499.0,8.0
2013,Aug,60.2,55.4,2056498.0,1892207.0,164291.0,8.0
2013,Sep,60.0,55.3,2050680.0,1888658.0,162022.0,7.9
2013,Oct,59.8,55.2,2044372.0,1884947.0,159425.0,7.8
2013,Nov,59.6,55.0,2038670.0,1881766.0,156904.0,7.7
2013,Dec,59.5,55.0,2034084.0,1879552.0,154532.0,7.6
2014,Jan,59.4,54.9,2030616.0,1878659.0,151957.0,7.5
2014,Feb,59.3,54.9,2027674.0,1878905.0,148769.0,7.3
2014,Mar,59.1,54.9,2024499.0,1879447.0,145052.0,7.2
2014,Apr,59.0,54.9,2020074.0,1879242.0,140832.0,7.0
2014,May,58.8,54.8,2014317.0,1878442.0,135875.0,6.7
2014,Jun,58.6,54.8,2008207.0,1877753.0,130454.0,6.5
2014,Jul,58.4,54.8,2002336.0,1877122.0,125214.0,6.3
2014,Aug,58.2,54.7,1997344.0,1876646.0,120698.0,6.0
2014,Sep,58.1,54.7,1993235.0,1876403.0,116832.0,5.9
2014,Oct,58.0,54.7,1989610.0,1876386.0,113224.0,5.7
2014,Nov,57.8,54.6,1986279.0,1876349.0,109930.0,5.5
2014,Dec,57.7,54.6,1983555.0,1876205.0,107350.0,5.4
2015,Jan,57.7,54.6,1981477.0,1875886.0,105591.0,5.3
2015,Feb,57.6,54.6,1979937.0,1875247.0,104690.0,5.3
2015,Mar,57.5,54.5,1978823.0,1874526.0,104297.0,5.3
2015,Apr,57.5,54.5,1977936.0,1873917.0,104019.0,5.3
2015,May,57.5,54.4,1976817.0,1873250.0,103567.0,5.2
2015,Jun,57.4,54.4,1975226.0,1872397.0,102829.0,5.2
2015,Jul,57.3,54.4,1974094.0,1871994.0,102100.0,5.2
2015,Aug,57.3,54.3,1974414.0,1872627.0,101787.0,5.2
2015,Sep,57.3,54.4,1976725.0,1874730.0,101995.0,5.2
2015,Oct,57.4,54.5,1981083.0,1878391.0,102692.0,5.2
2015,Nov,57.6,54.6,1986651.0,1883128.0,103523.0,5.2
2015,Dec,57.7,54.7,1992217.0,1888233.0,103984.0,5.2
2016,Jan,57.8,54.8,1996889.0,1893069.0,103820.0,5.2
2016,Feb,57.9,54.9,2000307.0,1897358.0,102949.0,5.1
2016,Mar,58.0,55.0,2002784.0,1901323.0,101461.0,5.1
2016,Apr,58.0,55.1,2005178.0,1905194.0,99984.0,5.0
2016,May,58.1,55.2,2008503.0,1909307.0,99196.0,4.9
2016,Jun,58.2,55.3,2012869.0,1913680.0,99189.0,4.9
2016,Jul,58.3,55.4,2017591.0,1917963.0,99628.0,4.9
2016,Aug,58.4,55.5,2022067.0,1921669.0,100398.0,5.0
2016,Sep,58.5,55.6,2026061.0,1924543.0,101518.0,5.0
2016,Oct,58.6,55.6,2029535.0,1926913.0,102622.0,5.1
2016,Nov,58.6,55.7,2033028.0,1929665.0,103363.0,5.1
2016,Dec,58.7,55.7,2036870.0,1933310.0,103560.0,5.1
2017,Jan,58.7,55.7,2044263.0,1940528.0,103735.0,5.1
2017,Feb,58.8,55.8,2048540.0,1945461.0,103079.0,5.0
2017,Mar,58.9,55.9,2052277.0,1949728.0,102549.0,5.0
2017,Apr,58.9,56.0,2055149.0,1953059.0,102090.0,5.0
2017,May,59.0,56.1,2056962.0,1955520.0,101442.0,4.9
2017,Jun,59.0,56.1,2057642.0,1957047.0,100595.0,4.9
2017,Jul,58.9,56.1,2057506.0,1958016.0,99490.0,4.8
2017,Aug,58.9,56.1,2056456.0,1958734.0,97722.0,4.8
2017,Sep,58.8,56.1,2054594.0,1959273.0,95321.0,4.6
2017,Oct,58.7,56.1,2052327.0,1959688.0,92639.0,4.5
2017,Nov,58.6,56.1,2050175.0,1960040.0,90135.0,4.4
2017,Dec,58.6,56.1,2048835.0,1960723.0,88112.0,4.3
2018,Jan,58.6,56.1,2049084.0,1962252.0,86832.0,4.2
2018,Feb,58.7,56.2,2051455.0,1965154.0,86301.0,4.2
2018,Mar,58.7,56.3,2055144.0,1968939.0,86205.0,4.2
2018,Apr,58.8,56.4,2058416.0,1972112.0,86304.0,4.2
2018,May,58.9,56.4,2059982.0,1973366.0,86616.0,4.2
2018,Jun,58.8,56.3,2059666.0,1972763.0,86903.0,4.2
2018,Jul,58.8,56.3,2057693.0,1970705.0,86988.0,4.2
2018,Aug,58.7,56.2,2055112.0,1968146.0,86966.0,4.2
2018,Sep,58.6,56.1,2052961.0,1966105.0,86856.0,4.2
2018,Oct,58.5,56.0,2051950.0,1965308.0,86642.0,4.2
2018,Nov,58.5,56.0,2052205.0,1965860.0,86345.0,4.2
2018,Dec,58.5,56.1,2053606.0,1967669.0,85937.0,4.2
2019,Jan,58.6,56.1,2055558.0,1970220.0,85338.0,4.2
2019,Feb,58.6,56.2,2057631.0,1973009.0,84622.0,4.1
2019,Mar,58.7,56.3,2060181.0,1975939.0,84242.0,4.1
2019,Apr,58.8,56.4,2063421.0,1979188.0,84233.0,4.1
2019,May,58.8,56.4,2066906.0,1982623.0,84283.0,4.1
2019,Jun,58.9,56.5,2070361.0,1985921.0,84440.0,4.1
2019,Jul,59.0,56.6,2073616.0,1988940.0,84676.0,4.1
2019,Aug,59.0,56.6,2076407.0,1991685.0,84722.0,4.1
2019,Sep,59.1,56.7,2078633.0,1994444.0,84189.0,4.1
2019,Oct,59.1,56.7,2080189.0,1996711.0,83478.0,4.0
2019,Nov,59.1,56.7,2080572.0,1997565.0,83007.0,4.0
2019,Dec,59.0,56.7,2078609.0,1995555.0,83054.0,4.0
2020,Jan,58.9,56.5,2073850.0,1990176.0,83674.0,4.0
2020,Feb,58.6,56.2,2066228.0,1981930.0,84298.0,4.1
2020,Mar,58.4,56.0,2056888.0,1972811.0,84077.0,4.1
2020,Apr,58.0,48.5,2046205.0,1707956.0,338249.0,16.5
2020,May,58.4,51.0,2057172.0,1798465.0,258707.0,12.6
2020,Jun,54.7,51.9,1928098.0,1829351.0,98747.0,5.1
2020,Jul,55.9,52.7,1969308.0,1857850.0,111458.0,5.7
2020,Aug,56.2,53.3,1981356.0,1878959.0,102397.0,5.2
2020,Sep,56.6,53.8,1996370.0,1895377.0,100993.0,5.1
2020,Oct,56.8,54.0,2003161.0,1904902.0,98259.0,4.9
2020,Nov,56.9,54.2,2008645.0,1910583.0,98062.0,4.9
2020,Dec,57.0,54.3,2012427.0,1914712.0,97715.0,4.9
2021,Jan,57.1,54.4,2014892.0,1918828.0,96064.0,4.8
2021,Feb,57.2,54.5,2018582.0,1923746.0,94836.0,4.7
2021,Mar,57.3,54.7,2023506.0,1929115.0,94391.0,4.7
2021,Apr,57.5,54.8,2028238.0,1933468.0,94770.0,4.7
2021,May,57.6,54.9,2032018.0,1936506.0,95512.0,4.7
2021,Jun,57.6,54.9,2035462.0,1938228.0,97234.0,4.8
2021,Jul,57.7,54.9,2038826.0,1940562.0,98264.0,4.8
2021,Aug,57.8,55.0,2042295.0,1944140.0,98155.0,4.8
2021,Sep,57.8,55.1,2046111.0,1949282.0,96829.0,4.7
2021,Oct,57.9,55.2,2049746.0,1954511.0,95235.0,4.6
2021,Nov,57.9,55.3,2050970.0,1956869.0,94101.0,4.6
2021,Dec,57.9,55.3,2051251.0,1957530.0,93721.0,4.6
2022,Jan,58.0,55.4,2053986.0,1963339.0,90647.0,4.4
