Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,64.7,60.0,699764.0,649142.0,50622.0,7.2
2012,Feb,64.7,60.0,699615.0,649301.0,50314.0,7.2
2012,Mar,64.7,60.0,699718.0,649374.0,50344.0,7.2
2012,Apr,64.7,60.0,699864.0,649294.0,50570.0,7.2
2012,May,64.7,60.0,700078.0,649263.0,50815.0,7.3
2012,Jun,64.7,60.0,700348.0,649429.0,50919.0,7.3
2012,Jul,64.7,60.0,700592.0,649809.0,50783.0,7.2
2012,Aug,64.7,60.1,700906.0,650411.0,50495.0,7.2
2012,Sep,64.8,60.1,701441.0,651204.0,50237.0,7.2
2012,Oct,64.8,60.2,702058.0,652017.0,50041.0,7.1
2012,Nov,64.8,60.2,702606.0,652681.0,49925.0,7.1
2012,Dec,64.9,60.3,703024.0,653171.0,49853.0,7.1
2013,Jan,64.9,60.3,703233.0,653477.0,49756.0,7.1
2013,Feb,64.9,60.3,703337.0,653775.0,49562.0,7.0
2013,Mar,64.9,60.4,703516.0,654325.0,49191.0,7.0
2013,Apr,64.9,60.4,704005.0,655326.0,48679.0,6.9
2013,May,65.0,60.6,704715.0,656605.0,48110.0,6.8
2013,Jun,65.0,60.7,705441.0,657855.0,47586.0,6.7
2013,Jul,65.1,60.7,705989.0,658878.0,47111.0,6.7
2013,Aug,65.0,60.8,705978.0,659479.0,46499.0,6.6
2013,Sep,65.0,60.7,705310.0,659610.0,45700.0,6.5
2013,Oct,64.8,60.7,704366.0,659476.0,44890.0,6.4
2013,Nov,64.7,60.7,703474.0,659283.0,44191.0,6.3
2013,Dec,64.6,60.6,702632.0,659022.0,43610.0,6.2
2014,Jan,64.5,60.6,701831.0,658792.0,43039.0,6.1
2014,Feb,64.5,60.6,701068.0,658705.0,42363.0,6.0
2014,Mar,64.4,60.5,700376.0,658761.0,41615.0,5.9
2014,Apr,64.3,60.5,699680.0,658856.0,40824.0,5.8
2014,May,64.2,60.5,698898.0,658932.0,39966.0,5.7
2014,Jun,64.1,60.5,698129.0,659052.0,39077.0,5.6
2014,Jul,64.0,60.5,697406.0,659150.0,38256.0,5.5
2014,Aug,63.9,60.5,696893.0,659284.0,37609.0,5.4
2014,Sep,63.9,60.5,696540.0,659456.0,37084.0,5.3
2014,Oct,63.8,60.5,696052.0,659532.0,36520.0,5.2
2014,Nov,63.7,60.5,695222.0,659414.0,35808.0,5.2
2014,Dec,63.7,60.4,694247.0,659254.0,34993.0,5.0
2015,Jan,63.6,60.4,693272.0,659092.0,34180.0,4.9
2015,Feb,63.5,60.4,692242.0,658825.0,33417.0,4.8
2015,Mar,63.4,60.4,691110.0,658472.0,32638.0,4.7
2015,Apr,63.3,60.3,689909.0,658087.0,31822.0,4.6
2015,May,63.1,60.3,688694.0,657703.0,30991.0,4.5
2015,Jun,63.0,60.3,687442.0,657285.0,30157.0,4.4
2015,Jul,62.9,60.2,686253.0,656874.0,29379.0,4.3
2015,Aug,62.8,60.1,685224.0,656502.0,28722.0,4.2
2015,Sep,62.7,60.1,684534.0,656347.0,28187.0,4.1
2015,Oct,62.7,60.1,684485.0,656665.0,27820.0,4.1
2015,Nov,62.7,60.2,685200.0,657554.0,27646.0,4.0
2015,Dec,62.8,60.3,686446.0,658891.0,27555.0,4.0
2016,Jan,62.9,60.4,687907.0,660486.0,27421.0,4.0
2016,Feb,63.1,60.6,689398.0,662178.0,27220.0,3.9
2016,Mar,63.2,60.7,690787.0,663837.0,26950.0,3.9
2016,Apr,63.3,60.8,691999.0,665340.0,26659.0,3.9
2016,May,63.4,60.9,693068.0,666646.0,26422.0,3.8
2016,Jun,63.4,61.0,694036.0,667788.0,26248.0,3.8
2016,Jul,63.5,61.1,694904.0,668817.0,26087.0,3.8
2016,Aug,63.5,61.2,695716.0,669786.0,25930.0,3.7
2016,Sep,63.6,61.2,696481.0,670673.0,25808.0,3.7
2016,Oct,63.6,61.3,697115.0,671499.0,25616.0,3.7
2016,Nov,63.6,61.3,697657.0,672408.0,25249.0,3.6
2016,Dec,63.6,61.4,698186.0,673402.0,24784.0,3.5
2017,Jan,63.7,61.4,702489.0,678066.0,24423.0,3.5
2017,Feb,63.7,61.5,703204.0,679065.0,24139.0,3.4
2017,Mar,63.7,61.6,703885.0,679879.0,24006.0,3.4
2017,Apr,63.8,61.6,704512.0,680519.0,23993.0,3.4
2017,May,63.8,61.6,705023.0,681002.0,24021.0,3.4
2017,Jun,63.8,61.6,705310.0,681228.0,24082.0,3.4
2017,Jul,63.8,61.6,705343.0,681199.0,24144.0,3.4
2017,Aug,63.7,61.5,704992.0,680930.0,24062.0,3.4
2017,Sep,63.6,61.4,704221.0,680467.0,23754.0,3.4
2017,Oct,63.4,61.3,703145.0,679929.0,23216.0,3.3
2017,Nov,63.3,61.3,701954.0,679429.0,22525.0,3.2
2017,Dec,63.2,61.2,701023.0,679269.0,21754.0,3.1
2018,Jan,63.1,61.2,700748.0,679668.0,21080.0,3.0
2018,Feb,63.2,61.3,701368.0,680668.0,20700.0,3.0
2018,Mar,63.3,61.4,702630.0,681958.0,20672.0,2.9
2018,Apr,63.4,61.5,703934.0,682982.0,20952.0,3.0
2018,May,63.4,61.5,704803.0,683346.0,21457.0,3.0
2018,Jun,63.4,61.4,705076.0,683071.0,22005.0,3.1
2018,Jul,63.3,61.3,704748.0,682283.0,22465.0,3.2
2018,Aug,63.3,61.2,704124.0,681300.0,22824.0,3.2
2018,Sep,63.1,61.1,703454.0,680450.0,23004.0,3.3
2018,Oct,63.0,61.0,702840.0,679941.0,22899.0,3.3
2018,Nov,63.0,60.9,702227.0,679752.0,22475.0,3.2
2018,Dec,62.9,60.9,701527.0,679756.0,21771.0,3.1
2019,Jan,62.8,60.9,700746.0,679839.0,20907.0,3.0
2019,Feb,62.7,60.9,699945.0,679975.0,19970.0,2.9
2019,Mar,62.6,60.9,699326.0,680236.0,19090.0,2.7
2019,Apr,62.5,60.9,699231.0,680798.0,18433.0,2.6
2019,May,62.6,60.9,699722.0,681599.0,18123.0,2.6
2019,Jun,62.6,61.0,700654.0,682429.0,18225.0,2.6
2019,Jul,62.7,61.0,701802.0,683119.0,18683.0,2.7
2019,Aug,62.7,61.0,702886.0,683607.0,19279.0,2.7
2019,Sep,62.8,61.0,703797.0,683997.0,19800.0,2.8
2019,Oct,62.8,61.0,704453.0,684209.0,20244.0,2.9
2019,Nov,62.7,60.9,704693.0,684140.0,20553.0,2.9
2019,Dec,62.7,60.8,704071.0,683476.0,20595.0,2.9
2020,Jan,62.5,60.7,702354.0,682099.0,20255.0,2.9
2020,Feb,62.2,60.5,699661.0,680022.0,19639.0,2.8
2020,Mar,61.9,60.2,696644.0,677777.0,18867.0,2.7
2020,Apr,58.1,52.9,654532.0,595050.0,59482.0,9.1
2020,May,59.5,54.0,669902.0,608388.0,61514.0,9.2
2020,Jun,58.7,54.9,661340.0,617632.0,43708.0,6.6
2020,Jul,59.4,55.6,668595.0,626400.0,42195.0,6.3
2020,Aug,58.8,56.1,663228.0,632959.0,30269.0,4.6
2020,Sep,59.2,56.6,668297.0,638750.0,29547.0,4.4
2020,Oct,59.3,56.9,669712.0,642421.0,27291.0,4.1
2020,Nov,59.5,57.1,673025.0,645188.0,27837.0,4.1
2020,Dec,59.8,57.2,676567.0,647056.0,29511.0,4.4
2021,Jan,59.9,57.3,678436.0,648314.0,30122.0,4.4
2021,Feb,60.1,57.3,681004.0,649369.0,31635.0,4.6
2021,Mar,60.2,57.4,682910.0,650402.0,32508.0,4.8
2021,Apr,60.4,57.4,685101.0,651185.0,33916.0,5.0
2021,May,60.3,57.4,684920.0,651674.0,33246.0,4.9
2021,Jun,60.3,57.3,686042.0,651607.0,34435.0,5.0
2021,Jul,60.1,57.2,684112.0,650928.0,33184.0,4.9
2021,Aug,59.9,57.0,682786.0,650318.0,32468.0,4.8
2021,Sep,59.6,56.9,680563.0,649896.0,30667.0,4.5
2021,Oct,59.5,56.9,679766.0,649866.0,29900.0,4.4
2021,Nov,59.3,56.8,678494.0,649850.0,28644.0,4.2
2021,Dec,59.2,56.8,677998.0,649970.0,28028.0,4.1
2022,Jan,59.3,56.8,679523.0,651330.0,28193.0,4.1
