Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,67.9,63.2,3108021.0,2892744.0,215277.0,6.9
2012,Feb,67.8,63.1,3108088.0,2894197.0,213891.0,6.9
2012,Mar,67.8,63.1,3108973.0,2895102.0,213871.0,6.9
2012,Apr,67.7,63.1,3110612.0,2895918.0,214694.0,6.9
2012,May,67.7,63.1,3113280.0,2897677.0,215603.0,6.9
2012,Jun,67.8,63.1,3116975.0,2900940.0,216035.0,6.9
2012,Jul,67.8,63.1,3121317.0,2905634.0,215683.0,6.9
2012,Aug,67.9,63.2,3126121.0,2911289.0,214832.0,6.9
2012,Sep,67.9,63.3,3131152.0,2917104.0,214048.0,6.8
2012,Oct,67.9,63.3,3135207.0,2921744.0,213463.0,6.8
2012,Nov,67.9,63.3,3137652.0,2924538.0,213114.0,6.8
2012,Dec,67.9,63.3,3138497.0,2925667.0,212830.0,6.8
2013,Jan,67.9,63.3,3138015.0,2925435.0,212580.0,6.8
2013,Feb,67.8,63.2,3136770.0,2924605.0,212165.0,6.8
2013,Mar,67.7,63.2,3135411.0,2924180.0,211231.0,6.7
2013,Apr,67.7,63.2,3134729.0,2925125.0,209604.0,6.7
2013,May,67.6,63.1,3134344.0,2926541.0,207803.0,6.6
2013,Jun,67.6,63.1,3133645.0,2927329.0,206316.0,6.6
2013,Jul,67.5,63.1,3132042.0,2927100.0,204942.0,6.5
2013,Aug,67.4,63.0,3128842.0,2925935.0,202907.0,6.5
2013,Sep,67.2,62.9,3124472.0,2924492.0,199980.0,6.4
2013,Oct,67.1,62.9,3120510.0,2923641.0,196869.0,6.3
2013,Nov,67.0,62.8,3118057.0,2924041.0,194016.0,6.2
2013,Dec,67.0,62.9,3117158.0,2925695.0,191463.0,6.1
2014,Jan,66.9,62.9,3117343.0,2928422.0,188921.0,6.1
2014,Feb,66.9,62.9,3118114.0,2931696.0,186418.0,6.0
2014,Mar,66.9,63.0,3119340.0,2934794.0,184546.0,5.9
2014,Apr,66.9,63.0,3120501.0,2937114.0,183387.0,5.9
2014,May,66.9,63.0,3121400.0,2939236.0,182164.0,5.8
2014,Jun,66.9,63.0,3122644.0,2942245.0,180399.0,5.8
2014,Jul,66.9,63.1,3124415.0,2946042.0,178373.0,5.7
2014,Aug,66.9,63.1,3126888.0,2950361.0,176527.0,5.6
2014,Sep,66.9,63.2,3129613.0,2954694.0,174919.0,5.6
2014,Oct,66.9,63.2,3131723.0,2958485.0,173238.0,5.5
2014,Nov,66.9,63.2,3132751.0,2961418.0,171333.0,5.5
2014,Dec,66.9,63.3,3133445.0,2963878.0,169567.0,5.4
2015,Jan,66.9,63.3,3134640.0,2966550.0,168090.0,5.4
2015,Feb,66.9,63.3,3136563.0,2969832.0,166731.0,5.3
2015,Mar,66.9,63.4,3139033.0,2974094.0,164939.0,5.3
2015,Apr,66.9,63.5,3141417.0,2978798.0,162619.0,5.2
2015,May,66.9,63.5,3142923.0,2982840.0,160083.0,5.1
2015,Jun,66.9,63.6,3142915.0,2985301.0,157614.0,5.0
2015,Jul,66.9,63.5,3141732.0,2986335.0,155397.0,4.9
2015,Aug,66.8,63.5,3140095.0,2986765.0,153330.0,4.9
2015,Sep,66.7,63.5,3138851.0,2987744.0,151107.0,4.8
2015,Oct,66.7,63.6,3139081.0,2990357.0,148724.0,4.7
2015,Nov,66.7,63.6,3141039.0,2994693.0,146346.0,4.7
2015,Dec,66.8,63.7,3143703.0,2999779.0,143924.0,4.6
2016,Jan,66.8,63.8,3145817.0,3004440.0,141377.0,4.5
2016,Feb,66.8,63.9,3146807.0,3007840.0,138967.0,4.4
2016,Mar,66.8,63.9,3146772.0,3009911.0,136861.0,4.3
2016,Apr,66.8,63.9,3146561.0,3011264.0,135297.0,4.3
2016,May,66.8,63.9,3147271.0,3012872.0,134399.0,4.3
2016,Jun,66.8,64.0,3149300.0,3015276.0,134024.0,4.3
2016,Jul,66.9,64.0,3152707.0,3018813.0,133894.0,4.2
2016,Aug,66.9,64.1,3157347.0,3023343.0,134004.0,4.2
2016,Sep,67.0,64.2,3162687.0,3028270.0,134417.0,4.3
2016,Oct,67.1,64.2,3167854.0,3033190.0,134664.0,4.3
2016,Nov,67.2,64.3,3172830.0,3038452.0,134378.0,4.2
2016,Dec,67.2,64.4,3177879.0,3044323.0,133556.0,4.2
2017,Jan,67.3,64.6,3221638.0,3089758.0,131880.0,4.1
2017,Feb,67.4,64.7,3226867.0,3097289.0,129578.0,4.0
2017,Mar,67.5,64.8,3231923.0,3104255.0,127668.0,4.0
2017,Apr,67.5,64.9,3237141.0,3110578.0,126563.0,3.9
2017,May,67.6,65.0,3242668.0,3116341.0,126327.0,3.9
2017,Jun,67.7,65.1,3248037.0,3121014.0,127023.0,3.9
2017,Jul,67.8,65.1,3252578.0,3124032.0,128546.0,4.0
2017,Aug,67.8,65.1,3255258.0,3124951.0,130307.0,4.0
2017,Sep,67.8,65.0,3255786.0,3123986.0,131800.0,4.0
2017,Oct,67.7,64.9,3254560.0,3121982.0,132578.0,4.1
2017,Nov,67.6,64.9,3252112.0,3119773.0,132339.0,4.1
2017,Dec,67.5,64.8,3249421.0,3118863.0,130558.0,4.0
2018,Jan,67.5,64.8,3247795.0,3120450.0,127345.0,3.9
