Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,65.7,61.3,3498166.0,3262377.0,235789.0,6.7
2012,Feb,65.6,61.3,3498974.0,3264746.0,234228.0,6.7
2012,Mar,65.6,61.2,3500416.0,3266409.0,234007.0,6.7
2012,Apr,65.6,61.2,3501752.0,3267063.0,234689.0,6.7
2012,May,65.6,61.2,3503312.0,3267718.0,235594.0,6.7
2012,Jun,65.5,61.1,3505430.0,3269278.0,236152.0,6.7
2012,Jul,65.5,61.1,3507770.0,3271778.0,235992.0,6.7
2012,Aug,65.5,61.1,3510235.0,3274743.0,235492.0,6.7
2012,Sep,65.5,61.1,3512915.0,3277612.0,235303.0,6.7
2012,Oct,65.5,61.1,3514788.0,3279317.0,235471.0,6.7
2012,Nov,65.4,61.0,3515318.0,3279422.0,235896.0,6.7
2012,Dec,65.3,61.0,3514801.0,3278423.0,236378.0,6.7
2013,Jan,65.3,60.9,3513585.0,3276681.0,236904.0,6.7
2013,Feb,65.2,60.8,3512599.0,3275220.0,237379.0,6.8
2013,Mar,65.2,60.8,3513023.0,3275474.0,237549.0,6.8
2013,Apr,65.2,60.8,3515403.0,3278014.0,237389.0,6.8
2013,May,65.2,60.8,3518522.0,3281377.0,237145.0,6.7
2013,Jun,65.1,60.8,3520920.0,3284024.0,236896.0,6.7
2013,Jul,65.1,60.7,3521770.0,3285397.0,236373.0,6.7
2013,Aug,65.0,60.7,3520422.0,3285726.0,234696.0,6.7
2013,Sep,64.9,60.6,3517704.0,3286121.0,231583.0,6.6
2013,Oct,64.8,60.6,3516257.0,3288254.0,228003.0,6.5
2013,Nov,64.8,60.7,3517745.0,3293116.0,224629.0,6.4
2013,Dec,64.8,60.7,3522182.0,3300577.0,221605.0,6.3
2014,Jan,64.9,60.9,3528825.0,3310181.0,218644.0,6.2
2014,Feb,65.0,61.0,3536741.0,3321159.0,215582.0,6.1
2014,Mar,65.1,61.2,3544719.0,3331902.0,212817.0,6.0
2014,Apr,65.2,61.3,3551300.0,3340784.0,210516.0,5.9
2014,May,65.2,61.4,3556705.0,3348340.0,208365.0,5.9
2014,Jun,65.3,61.5,3562788.0,3356523.0,206265.0,5.8
2014,Jul,65.3,61.6,3570532.0,3366302.0,204230.0,5.7
2014,Aug,65.5,61.8,3580091.0,3377865.0,202226.0,5.6
2014,Sep,65.6,61.9,3590220.0,3390213.0,200007.0,5.6
