Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,70.7,66.6,2947490.0,2776132.0,171358.0,5.8
2012,Feb,70.6,66.5,2944994.0,2775710.0,169284.0,5.7
2012,Mar,70.5,66.5,2943537.0,2775538.0,167999.0,5.7
2012,Apr,70.5,66.4,2942677.0,2775106.0,167571.0,5.7
2012,May,70.4,66.4,2942728.0,2775088.0,167640.0,5.7
2012,Jun,70.4,66.4,2944302.0,2776517.0,167785.0,5.7
2012,Jul,70.4,66.4,2947024.0,2779521.0,167503.0,5.7
2012,Aug,70.4,66.5,2950631.0,2783832.0,166799.0,5.7
2012,Sep,70.5,66.5,2955118.0,2789269.0,165849.0,5.6
2012,Oct,70.5,66.6,2959485.0,2795149.0,164336.0,5.6
2012,Nov,70.6,66.7,2962759.0,2800283.0,162476.0,5.5
2012,Dec,70.6,66.7,2964526.0,2803934.0,160592.0,5.4
2013,Jan,70.5,66.8,2964871.0,2806119.0,158752.0,5.4
2013,Feb,70.5,66.7,2964112.0,2807168.0,156944.0,5.3
2013,Mar,70.4,66.7,2962646.0,2807616.0,155030.0,5.2
2013,Apr,70.3,66.7,2961290.0,2808242.0,153048.0,5.2
2013,May,70.3,66.7,2960131.0,2808881.0,151250.0,5.1
2013,Jun,70.2,66.6,2959310.0,2809549.0,149761.0,5.1
2013,Jul,70.1,66.6,2959245.0,2810761.0,148484.0,5.0
2013,Aug,70.1,66.6,2959719.0,2812839.0,146880.0,5.0
2013,Sep,70.0,66.6,2960319.0,2815492.0,144827.0,4.9
2013,Oct,70.0,66.6,2961292.0,2818328.0,142964.0,4.8
2013,Nov,70.0,66.7,2962764.0,2821182.0,141582.0,4.8
2013,Dec,70.0,66.7,2964246.0,2823768.0,140478.0,4.7
2014,Jan,70.0,66.7,2965437.0,2826045.0,139392.0,4.7
2014,Feb,70.0,66.7,2966801.0,2828846.0,137955.0,4.6
2014,Mar,70.0,66.8,2969112.0,2833095.0,136017.0,4.6
2014,Apr,70.0,66.9,2971996.0,2838498.0,133498.0,4.5
2014,May,70.0,67.0,2975113.0,2844737.0,130376.0,4.4
2014,Jun,70.1,67.1,2978678.0,2851608.0,127070.0,4.3
2014,Jul,70.1,67.2,2982337.0,2858156.0,124181.0,4.2
2014,Aug,70.1,67.3,2985812.0,2863719.0,122093.0,4.1
2014,Sep,70.2,67.3,2988734.0,2868043.0,120691.0,4.0
2014,Oct,70.2,67.4,2990545.0,2871022.0,119523.0,4.0
2014,Nov,70.1,67.4,2991030.0,2872957.0,118073.0,3.9
2014,Dec,70.1,67.4,2991295.0,2874858.0,116437.0,3.9
2015,Jan,70.1,67.4,2992386.0,2877365.0,115021.0,3.8
2015,Feb,70.1,67.4,2994638.0,2880470.0,114168.0,3.8
2015,Mar,70.2,67.5,2998186.0,2884337.0,113849.0,3.8
2015,Apr,70.2,67.6,3002331.0,2888543.0,113788.0,3.8
2015,May,70.3,67.6,3005863.0,2892071.0,113792.0,3.8
2015,Jun,70.3,67.6,3007688.0,2894004.0,113684.0,3.8
2015,Jul,70.2,67.6,3008042.0,2894625.0,113417.0,3.8
2015,Aug,70.2,67.5,3007887.0,2894759.0,113128.0,3.8
2015,Sep,70.1,67.5,3008335.0,2895504.0,112831.0,3.8
2015,Oct,70.1,67.5,3010487.0,2897657.0,112830.0,3.7
2015,Nov,70.2,67.5,3014550.0,2901181.0,113369.0,3.8
2015,Dec,70.2,67.6,3019343.0,2905253.0,114090.0,3.8
2016,Jan,70.3,67.6,3022956.0,2908419.0,114537.0,3.8
2016,Feb,70.3,67.6,3024171.0,2909497.0,114674.0,3.8
2016,Mar,70.2,67.5,3023055.0,2908446.0,114609.0,3.8
2016,Apr,70.1,67.4,3021085.0,2906473.0,114612.0,3.8
2016,May,70.0,67.4,3019912.0,2904922.0,114990.0,3.8
2016,Jun,70.0,67.3,3019989.0,2904199.0,115790.0,3.8
2016,Jul,69.9,67.2,3021008.0,2904097.0,116911.0,3.9
2016,Aug,69.9,67.2,3022594.0,2904394.0,118200.0,3.9
2016,Sep,69.9,67.1,3024432.0,2904939.0,119493.0,4.0
2016,Oct,69.9,67.1,3026209.0,2906061.0,120148.0,4.0
2016,Nov,69.9,67.1,3028316.0,2908696.0,119620.0,4.0
2016,Dec,69.9,67.2,3031048.0,2913051.0,117997.0,3.9
2017,Jan,70.0,67.3,3052870.0,2935369.0,117501.0,3.8
2017,Feb,70.1,67.5,3058235.0,2943856.0,114379.0,3.7
2017,Mar,70.1,67.6,3063521.0,2952217.0,111304.0,3.6
