Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,64.7,59.7,3013958.0,2784819.0,229139.0,7.6
2012,Feb,64.5,59.7,3008235.0,2784077.0,224158.0,7.5
2012,Mar,64.4,59.7,3004112.0,2783008.0,221104.0,7.4
2012,Apr,64.3,59.6,3001221.0,2782139.0,219082.0,7.3
2012,May,64.3,59.6,2999746.0,2782417.0,217329.0,7.2
2012,Jun,64.2,59.6,2999577.0,2784194.0,215383.0,7.2
2012,Jul,64.2,59.7,3000439.0,2787304.0,213135.0,7.1
2012,Aug,64.2,59.7,3002370.0,2791175.0,211195.0,7.0
2012,Sep,64.3,59.8,3005264.0,2795016.0,210248.0,7.0
2012,Oct,64.3,59.8,3007710.0,2797738.0,209972.0,7.0
2012,Nov,64.3,59.8,3008994.0,2799168.0,209826.0,7.0
2012,Dec,64.3,59.8,3009177.0,2799741.0,209436.0,7.0
2013,Jan,64.3,59.8,3008594.0,2799781.0,208813.0,6.9
2013,Feb,64.2,59.8,3008137.0,2800121.0,208016.0,6.9
2013,Mar,64.2,59.8,3008816.0,2801682.0,207134.0,6.9
2013,Apr,64.3,59.9,3011278.0,2804770.0,206508.0,6.9
2013,May,64.3,59.9,3014209.0,2808028.0,206181.0,6.8
2013,Jun,64.3,59.9,3015995.0,2810122.0,205873.0,6.8
2013,Jul,64.3,59.9,3015876.0,2810658.0,205218.0,6.8
2013,Aug,64.2,59.9,3013797.0,2810184.0,203613.0,6.8
2013,Sep,64.1,59.8,3011160.0,2809780.0,201380.0,6.7
2013,Oct,64.1,59.8,3010507.0,2810589.0,199918.0,6.6
2013,Nov,64.1,59.9,3012981.0,2813239.0,199742.0,6.6
2013,Dec,64.2,59.9,3017799.0,2817410.0,200389.0,6.6
2014,Jan,64.3,60.0,3023454.0,2822595.0,200859.0,6.6
2014,Feb,64.4,60.1,3028252.0,2827952.0,200300.0,6.6
2014,Mar,64.4,60.2,3030991.0,2832619.0,198372.0,6.5
2014,Apr,64.4,60.2,3031462.0,2836109.0,195353.0,6.4
2014,May,64.4,60.3,3030820.0,2839226.0,191594.0,6.3
2014,Jun,64.3,60.3,3030914.0,2843247.0,187667.0,6.2
2014,Jul,64.3,60.4,3032475.0,2848329.0,184146.0,6.1
2014,Aug,64.4,60.5,3035691.0,2854353.0,181338.0,6.0
2014,Sep,64.4,60.6,3039992.0,2860932.0,179060.0,5.9
2014,Oct,64.5,60.7,3044054.0,2867348.0,176706.0,5.8
2014,Nov,64.5,60.8,3047123.0,2872738.0,174385.0,5.7
2014,Dec,64.6,60.9,3049812.0,2877073.0,172739.0,5.7
2015,Jan,64.6,61.0,3052395.0,2880669.0,171726.0,5.6
2015,Feb,64.6,61.0,3054756.0,2883759.0,170997.0,5.6
2015,Mar,64.6,61.1,3056791.0,2887036.0,169755.0,5.6
2015,Apr,64.7,61.1,3058205.0,2890940.0,167265.0,5.5
2015,May,64.6,61.2,3058587.0,2895171.0,163416.0,5.3
2015,Jun,64.6,61.2,3057937.0,2899170.0,158767.0,5.2
2015,Jul,64.5,61.3,3056934.0,2902982.0,153952.0,5.0
2015,Aug,64.5,61.4,3056343.0,2906823.0,149520.0,4.9
2015,Sep,64.5,61.4,3056675.0,2911038.0,145637.0,4.8
2015,Oct,64.5,61.5,3058618.0,2916130.0,142488.0,4.7
2015,Nov,64.6,61.6,3062018.0,2921813.0,140205.0,4.6
2015,Dec,64.6,61.7,3065552.0,2927136.0,138416.0,4.5
2016,Jan,64.7,61.8,3068547.0,2931518.0,137029.0,4.5
2016,Feb,64.7,61.8,3070971.0,2934662.0,136309.0,4.4
2016,Mar,64.7,61.8,3072852.0,2936300.0,136552.0,4.4
2016,Apr,64.7,61.8,3074491.0,2936456.0,138035.0,4.5
2016,May,64.7,61.8,3076191.0,2935649.0,140542.0,4.6
2016,Jun,64.7,61.7,3077577.0,2934414.0,143163.0,4.7
2016,Jul,64.7,61.7,3078141.0,2933221.0,144920.0,4.7
2016,Aug,64.7,61.6,3077411.0,2932194.0,145217.0,4.7
2016,Sep,64.6,61.6,3075144.0,2931162.0,143982.0,4.7
2016,Oct,64.5,61.5,3071352.0,2930190.0,141162.0,4.6
2016,Nov,64.4,61.5,3066907.0,2929960.0,136947.0,4.5
2016,Dec,64.3,61.5,3063183.0,2930971.0,132212.0,4.3
2017,Jan,64.1,61.5,3057505.0,2929500.0,128005.0,4.2
2017,Feb,64.1,61.5,3056298.0,2932205.0,124093.0,4.1
2017,Mar,64.1,61.5,3055779.0,2935285.0,120494.0,3.9
2017,Apr,64.1,61.6,3055812.0,2938558.0,117254.0,3.8
2017,May,64.0,61.6,3056058.0,2941772.0,114286.0,3.7
2017,Jun,64.0,61.7,3056124.0,2944244.0,111880.0,3.7
2017,Jul,64.0,61.7,3055731.0,2945386.0,110345.0,3.6
2017,Aug,63.9,61.6,3054426.0,2944891.0,109535.0,3.6
2017,Sep,63.9,61.6,3052116.0,2942970.0,109146.0,3.6
2017,Oct,63.8,61.5,3049100.0,2940292.0,108808.0,3.6
2017,Nov,63.7,61.4,3046091.0,2937776.0,108315.0,3.6
2017,Dec,63.6,61.4,3044088.0,2936798.0,107290.0,3.5
2018,Jan,63.6,61.4,3043895.0,2938178.0,105717.0,3.5
2018,Feb,63.7,61.5,3045732.0,2942039.0,103693.0,3.4
2018,Mar,63.7,61.6,3048267.0,2947208.0,101059.0,3.3
2018,Apr,63.7,61.7,3049572.0,2951639.0,97933.0,3.2
2018,May,63.7,61.7,3048818.0,2953852.0,94966.0,3.1
2018,Jun,63.6,61.7,3046437.0,2953871.0,92566.0,3.0
2018,Jul,63.5,61.6,3043321.0,2952342.0,90979.0,3.0
2018,Aug,63.4,61.6,3041022.0,2950482.0,90540.0,3.0
2018,Sep,63.4,61.5,3040688.0,2949408.0,91280.0,3.0
2018,Oct,63.4,61.5,3042835.0,2949912.0,92923.0,3.1
2018,Nov,63.5,61.5,3046860.0,2951947.0,94913.0,3.1
2018,Dec,63.6,61.5,3051599.0,2955001.0,96598.0,3.2
2019,Jan,63.6,61.6,3055756.0,2958450.0,97306.0,3.2
2019,Feb,63.7,61.7,3058461.0,2961950.0,96511.0,3.2
2019,Mar,63.7,61.7,3059749.0,2965324.0,94425.0,3.1
2019,Apr,63.7,61.8,3060564.0,2968878.0,91686.0,3.0
2019,May,63.7,61.8,3061774.0,2972411.0,89363.0,2.9
2019,Jun,63.7,61.9,3064416.0,2975778.0,88638.0,2.9
2019,Jul,63.8,61.9,3068974.0,2978918.0,90056.0,2.9
2019,Aug,63.9,61.9,3075116.0,2981856.0,93260.0,3.0
2019,Sep,64.0,62.0,3082034.0,2985197.0,96837.0,3.1
2019,Oct,64.1,62.0,3088206.0,2988543.0,99663.0,3.2
2019,Nov,64.1,62.0,3092198.0,2991310.0,100888.0,3.3
2019,Dec,64.1,62.0,3092577.0,2991922.0,100655.0,3.3
2020,Jan,64.0,62.0,3090121.0,2989677.0,100444.0,3.3
2020,Feb,64.0,61.8,3087412.0,2985019.0,102393.0,3.3
2020,Mar,64.0,61.7,3087510.0,2980223.0,107287.0,3.5
2020,Apr,60.7,53.9,2929672.0,2602292.0,327380.0,11.2
2020,May,59.5,54.0,2873545.0,2609270.0,264275.0,9.2
2020,Jun,61.5,56.8,2972111.0,2742090.0,230021.0,7.7
2020,Jul,63.8,59.4,3083772.0,2867609.0,216163.0,7.0
2020,Aug,63.6,59.6,3074580.0,2878044.0,196536.0,6.4
2020,Sep,63.5,59.7,3071174.0,2887628.0,183546.0,6.0
2020,Oct,63.3,59.8,3061264.0,2893155.0,168109.0,5.5
2020,Nov,63.2,59.9,3057663.0,2896684.0,160979.0,5.3
2020,Dec,63.1,59.9,3055656.0,2898598.0,157058.0,5.1
2021,Jan,63.1,59.9,3054179.0,2901666.0,152513.0,5.0
2021,Feb,63.1,60.0,3056002.0,2905783.0,150219.0,4.9
2021,Mar,63.1,60.1,3058949.0,2911306.0,147643.0,4.8
2021,Apr,63.2,60.2,3060358.0,2916274.0,144084.0,4.7
2021,May,63.1,60.2,3059440.0,2920460.0,138980.0,4.5
2021,Jun,63.1,60.3,3059568.0,2924576.0,134992.0,4.4
2021,Jul,63.0,60.3,3059425.0,2928832.0,130593.0,4.3
2021,Aug,63.0,60.4,3060882.0,2934059.0,126823.0,4.1
2021,Sep,63.0,60.5,3062759.0,2939226.0,123533.0,4.0
