Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,71.8,68.9,1008839.0,967953.0,40886.0,4.1
2012,Feb,71.7,68.9,1008717.0,968546.0,40171.0,4.0
2012,Mar,71.7,68.8,1008820.0,969077.0,39743.0,3.9
2012,Apr,71.7,68.8,1009179.0,969646.0,39533.0,3.9
2012,May,71.7,68.9,1009977.0,970546.0,39431.0,3.9
2012,Jun,71.7,68.9,1011216.0,971883.0,39333.0,3.9
2012,Jul,71.8,69.0,1012787.0,973628.0,39159.0,3.9
2012,Aug,71.8,69.1,1014558.0,975571.0,38987.0,3.8
2012,Sep,71.9,69.2,1016381.0,977411.0,38970.0,3.8
2012,Oct,72.0,69.2,1017762.0,978737.0,39025.0,3.8
2012,Nov,72.0,69.2,1018499.0,979433.0,39066.0,3.8
2012,Dec,71.9,69.2,1018587.0,979573.0,39014.0,3.8
2013,Jan,71.9,69.1,1018110.0,979223.0,38887.0,3.8
2013,Feb,71.8,69.1,1017500.0,978771.0,38729.0,3.8
2013,Mar,71.7,69.0,1017147.0,978654.0,38493.0,3.8
2013,Apr,71.7,69.0,1017223.0,978991.0,38232.0,3.8
2013,May,71.7,69.0,1017337.0,979326.0,38011.0,3.7
2013,Jun,71.6,69.0,1017004.0,979203.0,37801.0,3.7
2013,Jul,71.5,68.9,1015997.0,978454.0,37543.0,3.7
2013,Aug,71.3,68.7,1014398.0,977305.0,37093.0,3.7
2013,Sep,71.2,68.6,1012637.0,976235.0,36402.0,3.6
2013,Oct,71.0,68.5,1011485.0,975674.0,35811.0,3.5
2013,Nov,71.0,68.5,1011351.0,975833.0,35518.0,3.5
2013,Dec,71.0,68.5,1012031.0,976601.0,35430.0,3.5
2014,Jan,71.0,68.5,1013076.0,977740.0,35336.0,3.5
2014,Feb,71.0,68.6,1013940.0,978832.0,35108.0,3.5
2014,Mar,71.0,68.6,1014248.0,979472.0,34776.0,3.4
2014,Apr,71.0,68.5,1013835.0,979454.0,34381.0,3.4
2014,May,70.8,68.5,1012989.0,979097.0,33892.0,3.3
2014,Jun,70.7,68.4,1012254.0,978935.0,33319.0,3.3
2014,Jul,70.7,68.4,1011874.0,979130.0,32744.0,3.2
2014,Aug,70.6,68.4,1011897.0,979646.0,32251.0,3.2
2014,Sep,70.6,68.4,1012111.0,980321.0,31790.0,3.1
2014,Oct,70.5,68.4,1012100.0,980917.0,31183.0,3.1
2014,Nov,70.5,68.4,1011615.0,981159.0,30456.0,3.0
2014,Dec,70.4,68.3,1010872.0,980970.0,29902.0,3.0
2015,Jan,70.3,68.2,1010079.0,980427.0,29652.0,2.9
2015,Feb,70.2,68.2,1009386.0,979687.0,29699.0,2.9
