Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,69.4,65.7,738518.0,700039.0,38479.0,5.2
2012,Feb,69.3,65.7,738232.0,699770.0,38462.0,5.2
2012,Mar,69.2,65.6,738277.0,699419.0,38858.0,5.3
2012,Apr,69.2,65.5,738620.0,699082.0,39538.0,5.4
2012,May,69.2,65.5,739300.0,699017.0,40283.0,5.4
2012,Jun,69.3,65.5,740199.0,699309.0,40890.0,5.5
2012,Jul,69.3,65.5,741133.0,699912.0,41221.0,5.6
2012,Aug,69.4,65.5,742064.0,700728.0,41336.0,5.6
2012,Sep,69.4,65.5,742994.0,701639.0,41355.0,5.6
2012,Oct,69.4,65.6,743749.0,702413.0,41336.0,5.6
2012,Nov,69.4,65.6,744167.0,702822.0,41345.0,5.6
2012,Dec,69.4,65.6,744222.0,702860.0,41362.0,5.6
2013,Jan,69.4,65.5,743915.0,702626.0,41289.0,5.6
2013,Feb,69.3,65.5,743386.0,702355.0,41031.0,5.5
2013,Mar,69.2,65.4,742974.0,702439.0,40535.0,5.5
2013,Apr,69.2,65.5,743014.0,703126.0,39888.0,5.4
2013,May,69.2,65.5,743406.0,704110.0,39296.0,5.3
2013,Jun,69.2,65.6,743863.0,704956.0,38907.0,5.2
2013,Jul,69.2,65.6,744128.0,705399.0,38729.0,5.2
2013,Aug,69.1,65.6,743974.0,705430.0,38544.0,5.2
2013,Sep,69.0,65.5,743413.0,705246.0,38167.0,5.1
2013,Oct,68.9,65.4,742734.0,705115.0,37619.0,5.1
2013,Nov,68.8,65.4,742214.0,705282.0,36932.0,5.0
2013,Dec,68.7,65.4,741895.0,705727.0,36168.0,4.9
2014,Jan,68.7,65.4,741760.0,706392.0,35368.0,4.8
2014,Feb,68.7,65.5,741867.0,707296.0,34571.0,4.7
2014,Mar,68.6,65.5,742090.0,708203.0,33887.0,4.6
2014,Apr,68.6,65.5,742196.0,708849.0,33347.0,4.5
2014,May,68.6,65.5,742270.0,709446.0,32824.0,4.4
2014,Jun,68.6,65.6,742605.0,710355.0,32250.0,4.3
2014,Jul,68.6,65.6,743222.0,711566.0,31656.0,4.3
2014,Aug,68.6,65.7,744071.0,712953.0,31118.0,4.2
2014,Sep,68.7,65.8,745108.0,714436.0,30672.0,4.1
2014,Oct,68.7,65.9,746217.0,715986.0,30231.0,4.1
2014,Nov,68.8,66.0,747167.0,717428.0,29739.0,4.0
2014,Dec,68.8,66.1,747903.0,718654.0,29249.0,3.9
2015,Jan,68.8,66.2,748374.0,719581.0,28793.0,3.8
2015,Feb,68.8,66.2,748424.0,720050.0,28374.0,3.8
2015,Mar,68.8,66.2,748091.0,720208.0,27883.0,3.7
2015,Apr,68.7,66.2,747475.0,720243.0,27232.0,3.6
2015,May,68.6,66.2,746588.0,720124.0,26464.0,3.5
2015,Jun,68.5,66.1,745526.0,719859.0,25667.0,3.4
2015,Jul,68.4,66.1,744639.0,719711.0,24928.0,3.3
2015,Aug,68.3,66.0,744174.0,719896.0,24278.0,3.3
2015,Sep,68.2,66.0,744217.0,720547.0,23670.0,3.2
2015,Oct,68.2,66.1,744823.0,721725.0,23098.0,3.1
2015,Nov,68.3,66.2,746012.0,723418.0,22594.0,3.0
2015,Dec,68.4,66.4,747531.0,725396.0,22135.0,3.0
2016,Jan,68.5,66.5,749043.0,727313.0,21730.0,2.9
2016,Feb,68.6,66.6,750386.0,728939.0,21447.0,2.9
2016,Mar,68.6,66.7,751461.0,730123.0,21338.0,2.8
2016,Apr,68.7,66.7,752291.0,730870.0,21421.0,2.8
2016,May,68.7,66.7,752948.0,731354.0,21594.0,2.9
2016,Jun,68.7,66.7,753404.0,731703.0,21701.0,2.9
2016,Jul,68.6,66.7,753667.0,731989.0,21678.0,2.9
2016,Aug,68.6,66.6,753749.0,732167.0,21582.0,2.9
2016,Sep,68.5,66.6,753622.0,732076.0,21546.0,2.9
2016,Oct,68.4,66.5,753280.0,731676.0,21604.0,2.9
2016,Nov,68.4,66.4,752930.0,731232.0,21698.0,2.9
2016,Dec,68.3,66.3,752816.0,731026.0,21790.0,2.9
2017,Jan,68.2,66.2,755955.0,734131.0,21824.0,2.9
2017,Feb,68.2,66.3,756515.0,734822.0,21693.0,2.9
2017,Mar,68.2,66.3,757171.0,735746.0,21425.0,2.8
2017,Apr,68.2,66.3,757810.0,736689.0,21121.0,2.8
2017,May,68.2,66.4,758365.0,737463.0,20902.0,2.8
2017,Jun,68.2,66.3,758744.0,737883.0,20861.0,2.7
2017,Jul,68.2,66.3,758881.0,737898.0,20983.0,2.8
2017,Aug,68.1,66.2,758800.0,737635.0,21165.0,2.8
2017,Sep,68.1,66.2,758648.0,737338.0,21310.0,2.8
2017,Oct,68.0,66.1,758621.0,737283.0,21338.0,2.8
2017,Nov,68.0,66.1,758833.0,737561.0,21272.0,2.8
2017,Dec,68.0,66.1,759460.0,738354.0,21106.0,2.8
