Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,72.8,70.6,392396.0,380609.0,11787.0,3.0
2012,Feb,72.8,70.6,392930.0,381373.0,11557.0,2.9
2012,Mar,72.8,70.7,393520.0,382069.0,11451.0,2.9
2012,Apr,72.8,70.6,394095.0,382664.0,11431.0,2.9
2012,May,72.7,70.6,394721.0,383260.0,11461.0,2.9
2012,Jun,72.7,70.6,395387.0,383880.0,11507.0,2.9
2012,Jul,72.7,70.6,396002.0,384458.0,11544.0,2.9
2012,Aug,72.6,70.5,396531.0,384938.0,11593.0,2.9
2012,Sep,72.5,70.4,397001.0,385324.0,11677.0,2.9
2012,Oct,72.5,70.3,397453.0,385682.0,11771.0,3.0
2012,Nov,72.4,70.2,397899.0,386044.0,11855.0,3.0
2012,Dec,72.3,70.1,398367.0,386448.0,11919.0,3.0
2013,Jan,72.2,70.1,398890.0,386941.0,11949.0,3.0
2013,Feb,72.2,70.0,399469.0,387536.0,11933.0,3.0
2013,Mar,72.1,70.0,400112.0,388244.0,11868.0,3.0
2013,Apr,72.1,70.0,400851.0,389070.0,11781.0,2.9
2013,May,72.1,70.0,401517.0,389822.0,11695.0,2.9
2013,Jun,72.0,69.9,402024.0,390402.0,11622.0,2.9
2013,Jul,71.9,69.8,402383.0,390809.0,11574.0,2.9
2013,Aug,71.8,69.7,402531.0,391018.0,11513.0,2.9
2013,Sep,71.7,69.6,402511.0,391090.0,11421.0,2.8
2013,Oct,71.5,69.5,402486.0,391157.0,11329.0,2.8
2013,Nov,71.5,69.5,402613.0,391386.0,11227.0,2.8
2013,Dec,71.4,69.4,402945.0,391849.0,11096.0,2.8
2014,Jan,71.4,69.4,403489.0,392552.0,10937.0,2.7
2014,Feb,71.4,69.5,404290.0,393523.0,10767.0,2.7
2014,Mar,71.5,69.6,405352.0,394726.0,10626.0,2.6
2014,Apr,71.6,69.7,406510.0,395968.0,10542.0,2.6
2014,May,71.7,69.8,407697.0,397170.0,10527.0,2.6
2014,Jun,71.8,69.9,408963.0,398374.0,10589.0,2.6
2014,Jul,71.9,70.0,410272.0,399572.0,10700.0,2.6
2014,Aug,72.0,70.1,411625.0,400807.0,10818.0,2.6
2014,Sep,72.1,70.2,412889.0,401994.0,10895.0,2.6
2014,Oct,72.1,70.2,413859.0,402968.0,10891.0,2.6
2014,Nov,72.1,70.2,414357.0,403536.0,10821.0,2.6
2014,Dec,72.0,70.1,414356.0,403589.0,10767.0,2.6
2015,Jan,71.8,69.9,413890.0,403094.0,10796.0,2.6
2015,Feb,71.6,69.7,413044.0,402107.0,10937.0,2.6
2015,Mar,71.3,69.3,412032.0,400873.0,11159.0,2.7
2015,Apr,71.0,69.0,411096.0,399699.0,11397.0,2.8
2015,May,70.8,68.8,410351.0,398775.0,11576.0,2.8
2015,Jun,70.5,68.5,409780.0,398126.0,11654.0,2.8
2015,Jul,70.4,68.4,409442.0,397805.0,11637.0,2.8
2015,Aug,70.4,68.4,409372.0,397788.0,11584.0,2.8
2015,Sep,70.4,68.4,409549.0,397992.0,11557.0,2.8
2015,Oct,70.5,68.5,409944.0,398304.0,11640.0,2.8
2015,Nov,70.6,68.5,410486.0,398595.0,11891.0,2.9
2015,Dec,70.7,68.6,411033.0,398772.0,12261.0,3.0
2016,Jan,70.8,68.6,411466.0,398799.0,12667.0,3.1
2016,Feb,70.8,68.6,411741.0,398708.0,13033.0,3.2
2016,Mar,70.9,68.6,411888.0,398605.0,13283.0,3.2
2016,Apr,70.9,68.6,412015.0,398635.0,13380.0,3.2
2016,May,70.9,68.6,412193.0,398875.0,13318.0,3.2
2016,Jun,71.0,68.7,412394.0,399269.0,13125.0,3.2
2016,Jul,71.0,68.8,412494.0,399631.0,12863.0,3.1
2016,Aug,71.0,68.8,412382.0,399770.0,12612.0,3.1
2016,Sep,70.9,68.8,412070.0,399634.0,12436.0,3.0
2016,Oct,70.8,68.7,411605.0,399286.0,12319.0,3.0
2016,Nov,70.8,68.7,411185.0,398987.0,12198.0,3.0
2016,Dec,70.7,68.7,411029.0,398992.0,12037.0,2.9
2017,Jan,70.8,68.8,415857.0,403954.0,11903.0,2.9
2017,Feb,70.9,68.9,416427.0,404812.0,11615.0,2.8
2017,Mar,71.0,69.1,416974.0,405729.0,11245.0,2.7
2017,Apr,71.0,69.2,417282.0,406414.0,10868.0,2.6
2017,May,71.0,69.2,417252.0,406697.0,10555.0,2.5
2017,Jun,71.0,69.2,416868.0,406504.0,10364.0,2.5
2017,Jul,70.8,69.1,416228.0,405903.0,10325.0,2.5
2017,Aug,70.7,68.9,415469.0,405078.0,10391.0,2.5
2017,Sep,70.5,68.7,414730.0,404220.0,10510.0,2.5
2017,Oct,70.4,68.6,414181.0,403543.0,10638.0,2.6
2017,Nov,70.3,68.5,413872.0,403097.0,10775.0,2.6
2017,Dec,70.3,68.4,413778.0,402903.0,10875.0,2.6
2018,Jan,70.3,68.4,413862.0,402974.0,10888.0,2.6
2018,Feb,70.3,68.5,414046.0,403274.0,10772.0,2.6
2018,Mar,70.3,68.5,414152.0,403638.0,10514.0,2.5
2018,Apr,70.2,68.5,413934.0,403790.0,10144.0,2.5
2018,May,70.1,68.5,413311.0,403552.0,9759.0,2.4
2018,Jun,69.9,68.3,412461.0,403021.0,9440.0,2.3
2018,Jul,69.8,68.2,411616.0,402404.0,9212.0,2.2
2018,Aug,69.6,68.1,411069.0,401953.0,9116.0,2.2
2018,Sep,69.6,68.0,411005.0,401849.0,9156.0,2.2
2018,Oct,69.6,68.1,411451.0,402173.0,9278.0,2.3
2018,Nov,69.8,68.2,412347.0,402917.0,9430.0,2.3
2018,Dec,69.9,68.3,413523.0,403964.0,9559.0,2.3
2019,Jan,70.1,68.5,414641.0,405030.0,9611.0,2.3
2019,Feb,70.2,68.6,415401.0,405873.0,9528.0,2.3
2019,Mar,70.2,68.7,415701.0,406393.0,9308.0,2.2
2019,Apr,70.2,68.7,415645.0,406648.0,8997.0,2.2
2019,May,70.1,68.7,415342.0,406663.0,8679.0,2.1
2019,Jun,70.0,68.6,414977.0,406516.0,8461.0,2.0
2019,Jul,70.0,68.5,414727.0,406334.0,8393.0,2.0
2019,Aug,69.9,68.5,414660.0,406214.0,8446.0,2.0
2019,Sep,69.9,68.5,414799.0,406288.0,8511.0,2.1
2019,Oct,69.9,68.5,414998.0,406466.0,8532.0,2.1
2019,Nov,69.8,68.4,414929.0,406501.0,8428.0,2.0
2019,Dec,69.7,68.3,414418.0,406077.0,8341.0,2.0
2020,Jan,69.6,68.2,413752.0,405201.0,8551.0,2.1
2020,Feb,69.5,68.0,413351.0,404089.0,9262.0,2.2
2020,Mar,69.6,67.8,413691.0,403190.0,10501.0,2.5
2020,Apr,69.8,64.0,415388.0,380877.0,34511.0,8.3
2020,May,69.1,64.2,410771.0,382000.0,28771.0,7.0
2020,Jun,68.9,64.5,409594.0,383544.0,26050.0,6.4
2020,Jul,69.1,64.9,411133.0,385728.0,25405.0,6.2
2020,Aug,69.2,65.1,411369.0,387368.0,24001.0,5.8
2020,Sep,69.2,65.3,411512.0,388452.0,23060.0,5.6
2020,Oct,69.0,65.4,410189.0,388564.0,21625.0,5.3
2020,Nov,68.8,65.3,409197.0,388323.0,20874.0,5.1
2020,Dec,68.7,65.3,408184.0,387978.0,20206.0,5.0
2021,Jan,68.6,65.3,407188.0,388005.0,19183.0,4.7
2021,Feb,68.5,65.4,406672.0,388397.0,18275.0,4.5
2021,Mar,68.5,65.6,406489.0,389151.0,17338.0,4.3
2021,Apr,68.5,65.7,406173.0,389799.0,16374.0,4.0
2021,May,68.4,65.8,405568.0,390192.0,15376.0,3.8
2021,Jun,68.3,65.9,405150.0,390545.0,14605.0,3.6
2021,Jul,68.3,65.9,404870.0,390972.0,13898.0,3.4
2021,Aug,68.3,66.1,405037.0,391649.0,13388.0,3.3
2021,Sep,68.4,66.2,405435.0,392410.0,13025.0,3.2
2021,Oct,68.5,66.3,406219.0,393391.0,12828.0,3.2
2021,Nov,68.5,66.4,406341.0,393574.0,12767.0,3.1
2021,Dec,68.5,66.4,406282.0,393547.0,12735.0,3.1
2022,Jan,68.8,66.7,408079.0,395608.0,12471.0,3.1
