Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,64.5,58.6,1988854.0,1808723.0,180131.0,9.1
2012,Feb,64.3,58.5,1984596.0,1806253.0,178343.0,9.0
2012,Mar,64.1,58.4,1980071.0,1802745.0,177326.0,9.0
2012,Apr,63.9,58.2,1975219.0,1798555.0,176664.0,8.9
2012,May,63.7,58.0,1970481.0,1794592.0,175889.0,8.9
2012,Jun,63.5,57.9,1966171.0,1791433.0,174738.0,8.9
2012,Jul,63.3,57.7,1962128.0,1789026.0,173102.0,8.8
2012,Aug,63.1,57.6,1958250.0,1786947.0,171303.0,8.7
2012,Sep,63.0,57.5,1954589.0,1784773.0,169816.0,8.7
2012,Oct,62.8,57.4,1950570.0,1782030.0,168540.0,8.6
2012,Nov,62.6,57.2,1945807.0,1778641.0,167166.0,8.6
2012,Dec,62.4,57.0,1940426.0,1775016.0,165410.0,8.5
2013,Jan,62.1,56.9,1934879.0,1771649.0,163230.0,8.4
2013,Feb,62.0,56.8,1929899.0,1769268.0,160631.0,8.3
2013,Mar,61.8,56.7,1926144.0,1768464.0,157680.0,8.2
2013,Apr,61.7,56.7,1924158.0,1769494.0,154664.0,8.0
2013,May,61.6,56.8,1923376.0,1771464.0,151912.0,7.9
2013,Jun,61.6,56.8,1923051.0,1773458.0,149593.0,7.8
2013,Jul,61.5,56.8,1922652.0,1775086.0,147566.0,7.7
2013,Aug,61.4,56.8,1921985.0,1776755.0,145230.0,7.6
2013,Sep,61.3,56.8,1921524.0,1778975.0,142549.0,7.4
2013,Oct,61.3,56.8,1922159.0,1781810.0,140349.0,7.3
2013,Nov,61.3,56.9,1924468.0,1785385.0,139083.0,7.2
2013,Dec,61.4,56.9,1928211.0,1789567.0,138644.0,7.2
2014,Jan,61.4,57.0,1932624.0,1794235.0,138389.0,7.2
2014,Feb,61.5,57.1,1936905.0,1799250.0,137655.0,7.1
2014,Mar,61.6,57.3,1940643.0,1804298.0,136345.0,7.0
2014,Apr,61.6,57.3,1943538.0,1808969.0,134569.0,6.9
2014,May,61.6,57.4,1945984.0,1813583.0,132401.0,6.8
2014,Jun,61.7,57.5,1948765.0,1818552.0,130213.0,6.7
2014,Jul,61.7,57.6,1951938.0,1823499.0,128439.0,6.6
2014,Aug,61.7,57.7,1955313.0,1828180.0,127133.0,6.5
2014,Sep,61.7,57.7,1958331.0,1832536.0,125795.0,6.4
2014,Oct,61.7,57.8,1960334.0,1836625.0,123709.0,6.3
2014,Nov,61.6,57.8,1960742.0,1840037.0,120705.0,6.2
2014,Dec,61.5,57.8,1960168.0,1842745.0,117423.0,6.0
2015,Jan,61.4,57.8,1959718.0,1845083.0,114635.0,5.8
2015,Feb,61.4,57.8,1960323.0,1847488.0,112835.0,5.8
2015,Mar,61.4,57.9,1962380.0,1850584.0,111796.0,5.7
2015,Apr,61.4,57.9,1965819.0,1854638.0,111181.0,5.7
2015,May,61.5,58.0,1970139.0,1859558.0,110581.0,5.6
2015,Jun,61.5,58.1,1974615.0,1865067.0,109548.0,5.5
2015,Jul,61.6,58.2,1979176.0,1871082.0,108094.0,5.5
2015,Aug,61.6,58.3,1983912.0,1877482.0,106430.0,5.4
2015,Sep,61.6,58.4,1989069.0,1884395.0,104674.0,5.3
2015,Oct,61.7,58.5,1995491.0,1892430.0,103061.0,5.2
2015,Nov,61.9,58.7,2003622.0,1901807.0,101815.0,5.1
2015,Dec,62.0,58.9,2012522.0,1911765.0,100757.0,5.0
2016,Jan,62.2,59.1,2020991.0,1921114.0,99877.0,4.9
2016,Feb,62.3,59.3,2028181.0,1928738.0,99443.0,4.9
2016,Mar,62.4,59.3,2033640.0,1934161.0,99479.0,4.9
2016,Apr,62.4,59.3,2037655.0,1937802.0,99853.0,4.9
2016,May,62.4,59.3,2040822.0,1940533.0,100289.0,4.9
2016,Jun,62.4,59.3,2043662.0,1943278.0,100384.0,4.9
2016,Jul,62.3,59.3,2046599.0,1946984.0,99615.0,4.9
2016,Aug,62.3,59.3,2049413.0,1951419.0,97994.0,4.8
2016,Sep,62.3,59.4,2051528.0,1955705.0,95823.0,4.7
2016,Oct,62.2,59.4,2052451.0,1959271.0,93180.0,4.5
2016,Nov,62.2,59.4,2052819.0,1962568.0,90251.0,4.4
2016,Dec,62.1,59.5,2053931.0,1966524.0,87407.0,4.3
2017,Jan,62.1,59.5,2051997.0,1967522.0,84475.0,4.1
2017,Feb,62.1,59.7,2056892.0,1974410.0,82482.0,4.0
2017,Mar,62.3,59.8,2063722.0,1982317.0,81405.0,3.9
2017,Apr,62.4,60.0,2071449.0,1990080.0,81369.0,3.9
2017,May,62.6,60.1,2078660.0,1996510.0,82150.0,4.0
2017,Jun,62.6,60.1,2083955.0,2000509.0,83446.0,4.0
2017,Jul,62.6,60.1,2086668.0,2001713.0,84955.0,4.1
2017,Aug,62.6,60.0,2087018.0,2000873.0,86145.0,4.1
2017,Sep,62.5,59.9,2086104.0,1999344.0,86760.0,4.2
2017,Oct,62.4,59.8,2084732.0,1997970.0,86762.0,4.2
2017,Nov,62.3,59.7,2083101.0,1996852.0,86249.0,4.1
2017,Dec,62.2,59.6,2081495.0,1996148.0,85347.0,4.1
2018,Jan,62.1,59.6,2080424.0,1996142.0,84282.0,4.1
2018,Feb,62.0,59.6,2080153.0,1996923.0,83230.0,4.0
2018,Mar,62.0,59.5,2080226.0,1998044.0,82182.0,4.0
2018,Apr,61.9,59.5,2079857.0,1998755.0,81102.0,3.9
2018,May,61.8,59.5,2078801.0,1998452.0,80349.0,3.9
2018,Jun,61.8,59.4,2077632.0,1997378.0,80254.0,3.9
2018,Jul,61.7,59.3,2076599.0,1995609.0,80990.0,3.9
2018,Aug,61.6,59.1,2076632.0,1994018.0,82614.0,4.0
2018,Sep,61.6,59.1,2078402.0,1993590.0,84812.0,4.1
2018,Oct,61.6,59.1,2081707.0,1994809.0,86898.0,4.2
2018,Nov,61.7,59.1,2085991.0,1997731.0,88260.0,4.2
2018,Dec,61.8,59.2,2090281.0,2001899.0,88382.0,4.2
2019,Jan,61.8,59.2,2093302.0,2006191.0,87111.0,4.2
2019,Feb,61.8,59.3,2094550.0,2009795.0,84755.0,4.0
2019,Mar,61.8,59.3,2094679.0,2012489.0,82190.0,3.9
2019,Apr,61.7,59.4,2094569.0,2014442.0,80127.0,3.8
2019,May,61.7,59.3,2094553.0,2015725.0,78828.0,3.8
2019,Jun,61.6,59.3,2094855.0,2016713.0,78142.0,3.7
