Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,63.2,58.5,6412680.0,5929453.0,483227.0,7.5
2012,Feb,63.3,58.5,6416137.0,5935248.0,480889.0,7.5
2012,Mar,63.3,58.5,6422861.0,5939931.0,482930.0,7.5
2012,Apr,63.4,58.6,6431482.0,5943284.0,488198.0,7.6
2012,May,63.5,58.6,6440986.0,5946445.0,494541.0,7.7
2012,Jun,63.5,58.6,6450474.0,5950829.0,499645.0,7.7
2012,Jul,63.6,58.6,6458986.0,5957166.0,501820.0,7.8
2012,Aug,63.6,58.7,6466612.0,5964896.0,501716.0,7.8
2012,Sep,63.7,58.8,6473455.0,5972618.0,500837.0,7.7
2012,Oct,63.7,58.8,6477053.0,5977594.0,499459.0,7.7
2012,Nov,63.7,58.8,6475700.0,5977993.0,497707.0,7.7
2012,Dec,63.6,58.7,6469454.0,5974427.0,495027.0,7.7
2013,Jan,63.5,58.7,6459448.0,5968637.0,490811.0,7.6
2013,Feb,63.4,58.6,6448317.0,5963576.0,484741.0,7.5
2013,Mar,63.3,58.6,6439008.0,5961886.0,477122.0,7.4
2013,Apr,63.2,58.6,6433901.0,5964767.0,469134.0,7.3
2013,May,63.2,58.7,6431705.0,5969205.0,462500.0,7.2
2013,Jun,63.2,58.7,6429380.0,5971295.0,458085.0,7.1
2013,Jul,63.1,58.6,6424767.0,5969474.0,455293.0,7.1
2013,Aug,63.0,58.6,6416123.0,5964676.0,451447.0,7.0
2013,Sep,62.9,58.5,6404340.0,5959318.0,445022.0,6.9
2013,Oct,62.7,58.5,6393597.0,5956291.0,437306.0,6.8
2013,Nov,62.7,58.5,6387329.0,5958121.0,429208.0,6.7
2013,Dec,62.6,58.5,6386175.0,5964685.0,421490.0,6.6
2014,Jan,62.7,58.6,6388276.0,5974041.0,414235.0,6.5
2014,Feb,62.7,58.7,6390970.0,5983678.0,407292.0,6.4
2014,Mar,62.7,58.7,6392273.0,5991065.0,401208.0,6.3
2014,Apr,62.7,58.8,6390305.0,5994857.0,395448.0,6.2
2014,May,62.6,58.8,6385963.0,5997076.0,388887.0,6.1
2014,Jun,62.5,58.8,6382223.0,6001094.0,381129.0,6.0
2014,Jul,62.5,58.9,6380460.0,6007565.0,372895.0,5.8
2014,Aug,62.5,58.9,6382229.0,6016409.0,365820.0,5.7
2014,Sep,62.6,59.0,6387480.0,6026772.0,360708.0,5.6
2014,Oct,62.6,59.1,6393131.0,6036120.0,357011.0,5.6
2014,Nov,62.6,59.2,6396471.0,6042204.0,354267.0,5.5
2014,Dec,62.6,59.2,6397976.0,6045102.0,352874.0,5.5
2015,Jan,62.6,59.2,6399411.0,6046534.0,352877.0,5.5
2015,Feb,62.7,59.2,6402054.0,6048226.0,353828.0,5.5
2015,Mar,62.7,59.3,6406408.0,6052263.0,354145.0,5.5
2015,Apr,62.8,59.3,6412274.0,6059046.0,353228.0,5.5
2015,May,62.8,59.4,6417950.0,6066953.0,350997.0,5.5
2015,Jun,62.9,59.5,6421791.0,6073881.0,347910.0,5.4
2015,Jul,62.9,59.5,6424397.0,6079630.0,344767.0,5.4
2015,Aug,62.9,59.5,6426714.0,6084814.0,341900.0,5.3
2015,Sep,62.9,59.6,6429981.0,6090516.0,339465.0,5.3
2015,Oct,63.0,59.7,6436573.0,6098624.0,337949.0,5.3
2015,Nov,63.1,59.7,6446815.0,6108866.0,337949.0,5.2
2015,Dec,63.2,59.8,6458131.0,6118943.0,339188.0,5.3
2016,Jan,63.2,59.9,6467536.0,6126634.0,340902.0,5.3
2016,Feb,63.3,59.9,6473118.0,6130276.0,342842.0,5.3
2016,Mar,63.3,59.9,6474416.0,6129729.0,344687.0,5.3
2016,Apr,63.3,59.9,6472917.0,6126458.0,346459.0,5.4
2016,May,63.3,59.9,6470707.0,6122515.0,348192.0,5.4
2016,Jun,63.2,59.8,6468539.0,6119045.0,349494.0,5.4
2016,Jul,63.2,59.8,6465434.0,6115856.0,349578.0,5.4
2016,Aug,63.1,59.7,6460382.0,6111927.0,348455.0,5.4
2016,Sep,63.0,59.7,6453159.0,6106573.0,346586.0,5.4
2016,Oct,62.9,59.6,6444103.0,6100196.0,343907.0,5.3
2016,Nov,62.8,59.5,6435694.0,6095476.0,340218.0,5.3
2016,Dec,62.8,59.5,6430351.0,6094481.0,335870.0,5.2
2017,Jan,62.7,59.5,6490079.0,6153834.0,336245.0,5.2
2017,Feb,62.8,59.6,6493374.0,6160622.0,332752.0,5.1
2017,Mar,62.8,59.6,6496779.0,6167358.0,329421.0,5.1
2017,Apr,62.8,59.6,6498146.0,6171838.0,326308.0,5.0
2017,May,62.8,59.6,6496113.0,6173003.0,323110.0,5.0
2017,Jun,62.7,59.6,6491089.0,6170674.0,320415.0,4.9
2017,Jul,62.6,59.5,6484963.0,6166001.0,318962.0,4.9
2017,Aug,62.5,59.5,6478865.0,6160498.0,318367.0,4.9
2017,Sep,62.5,59.4,6473619.0,6155362.0,318257.0,4.9
2017,Oct,62.4,59.3,6469541.0,6151692.0,317849.0,4.9
2017,Nov,62.3,59.3,6466394.0,6149558.0,316836.0,4.9
2017,Dec,62.3,59.3,6465239.0,6150734.0,314505.0,4.9
2018,Jan,62.3,59.3,6467667.0,6156855.0,310812.0,4.8
2018,Feb,62.4,59.4,6474412.0,6168390.0,306022.0,4.7
2018,Mar,62.5,59.6,6483756.0,6183404.0,300352.0,4.6
2018,Apr,62.5,59.7,6492232.0,6197965.0,294267.0,4.5
2018,May,62.6,59.8,6497870.0,6208874.0,288996.0,4.4
2018,Jun,62.6,59.8,6500754.0,6215689.0,285065.0,4.4
2018,Jul,62.6,59.9,6501502.0,6219284.0,282218.0,4.3
2018,Aug,62.6,59.9,6502633.0,6221880.0,280753.0,4.3
2018,Sep,62.6,59.9,6506168.0,6225364.0,280804.0,4.3
2018,Oct,62.6,59.9,6513065.0,6230853.0,282212.0,4.3
2018,Nov,62.7,60.0,6522742.0,6238158.0,284584.0,4.4
2018,Dec,62.8,60.0,6533648.0,6246350.0,287298.0,4.4
2019,Jan,62.9,60.1,6543555.0,6254069.0,289486.0,4.4
2019,Feb,63.0,60.2,6549803.0,6260086.0,289717.0,4.4
2019,Mar,63.0,60.2,6552218.0,6263868.0,288350.0,4.4
