Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,66.0,58.9,558445.0,498475.0,59970.0,10.7
2012,Feb,65.9,58.9,557824.0,498546.0,59278.0,10.6
2012,Mar,65.8,58.9,557571.0,498778.0,58793.0,10.5
2012,Apr,65.8,58.9,557728.0,499229.0,58499.0,10.5
2012,May,65.9,59.0,558373.0,500092.0,58281.0,10.4
2012,Jun,66.0,59.1,559379.0,501371.0,58008.0,10.4
2012,Jul,66.1,59.3,560517.0,502970.0,57547.0,10.3
2012,Aug,66.2,59.5,561632.0,504721.0,56911.0,10.1
2012,Sep,66.3,59.7,562634.0,506423.0,56211.0,10.0
2012,Oct,66.3,59.8,563279.0,507798.0,55481.0,9.8
2012,Nov,66.3,59.9,563414.0,508614.0,54800.0,9.7
2012,Dec,66.3,59.9,562969.0,508737.0,54232.0,9.6
2013,Jan,66.1,59.8,562023.0,508212.0,53811.0,9.6
2013,Feb,66.0,59.7,560911.0,507392.0,53519.0,9.5
2013,Mar,65.9,59.6,559931.0,506604.0,53327.0,9.5
2013,Apr,65.8,59.5,559297.0,506046.0,53251.0,9.5
2013,May,65.7,59.5,558940.0,505643.0,53297.0,9.5
2013,Jun,65.7,59.4,558786.0,505369.0,53417.0,9.6
2013,Jul,65.7,59.4,558732.0,505219.0,53513.0,9.6
2013,Aug,65.6,59.3,558488.0,505098.0,53390.0,9.6
2013,Sep,65.5,59.3,557966.0,505026.0,52940.0,9.5
2013,Oct,65.4,59.3,557392.0,505095.0,52297.0,9.4
2013,Nov,65.4,59.3,556987.0,505441.0,51546.0,9.3
2013,Dec,65.3,59.4,556785.0,506086.0,50699.0,9.1
2014,Jan,65.3,59.5,556711.0,507010.0,49701.0,8.9
2014,Feb,65.3,59.6,556646.0,508127.0,48519.0,8.7
2014,Mar,65.3,59.7,556615.0,509375.0,47240.0,8.5
2014,Apr,65.3,59.9,556609.0,510641.0,45968.0,8.3
2014,May,65.2,60.0,556598.0,511878.0,44720.0,8.0
2014,Jun,65.2,60.1,556619.0,513087.0,43532.0,7.8
2014,Jul,65.2,60.2,556618.0,514189.0,42429.0,7.6
2014,Aug,65.2,60.3,556677.0,515271.0,41406.0,7.4
2014,Sep,65.2,60.4,556814.0,516395.0,40419.0,7.3
2014,Oct,65.2,60.6,556941.0,517546.0,39395.0,7.1
2014,Nov,65.2,60.7,557010.0,518689.0,38321.0,6.9
2014,Dec,65.2,60.8,557152.0,519822.0,37330.0,6.7
2015,Jan,65.2,60.9,557431.0,520872.0,36559.0,6.6
2015,Feb,65.2,61.0,557723.0,521694.0,36029.0,6.5
2015,Mar,65.2,61.1,557822.0,522242.0,35580.0,6.4
2015,Apr,65.2,61.1,557557.0,522512.0,35045.0,6.3
2015,May,65.1,61.1,556870.0,522512.0,34358.0,6.2
2015,Jun,65.0,61.0,555818.0,522251.0,33567.0,6.0
2015,Jul,64.8,61.0,554698.0,521895.0,32803.0,5.9
2015,Aug,64.7,60.9,553720.0,521546.0,32174.0,5.8
2015,Sep,64.6,60.9,552928.0,521239.0,31689.0,5.7
2015,Oct,64.5,60.8,552438.0,521094.0,31344.0,5.7
2015,Nov,64.5,60.8,552327.0,521203.0,31124.0,5.6
2015,Dec,64.5,60.8,552428.0,521489.0,30939.0,5.6
2016,Jan,64.5,60.9,552571.0,521873.0,30698.0,5.6
2016,Feb,64.5,60.9,552733.0,522325.0,30408.0,5.5
2016,Mar,64.5,61.0,552908.0,522805.0,30103.0,5.4
2016,Apr,64.5,61.0,553110.0,523270.0,29840.0,5.4
2016,May,64.5,61.0,553362.0,523706.0,29656.0,5.4
2016,Jun,64.5,61.1,553581.0,524123.0,29458.0,5.3
2016,Jul,64.5,61.1,553639.0,524516.0,29123.0,5.3
2016,Aug,64.5,61.1,553585.0,524930.0,28655.0,5.2
2016,Sep,64.5,61.2,553591.0,525454.0,28137.0,5.1
2016,Oct,64.5,61.3,553696.0,526126.0,27570.0,5.0
2016,Nov,64.5,61.3,553934.0,526963.0,26971.0,4.9
2016,Dec,64.5,61.5,554336.0,527979.0,26357.0,4.8
2017,Jan,64.3,61.3,566288.0,540023.0,26265.0,4.6
2017,Feb,64.4,61.5,566807.0,541089.0,25718.0,4.5
2017,Mar,64.4,61.5,567226.0,541886.0,25340.0,4.5
2017,Apr,64.4,61.6,567546.0,542434.0,25112.0,4.4
2017,May,64.4,61.6,567818.0,542809.0,25009.0,4.4
2017,Jun,64.4,61.6,568094.0,543011.0,25083.0,4.4
2017,Jul,64.4,61.6,568432.0,543089.0,25343.0,4.5
2017,Aug,64.4,61.5,568723.0,543076.0,25647.0,4.5
2017,Sep,64.4,61.5,568878.0,542976.0,25902.0,4.6
2017,Oct,64.4,61.4,568910.0,542867.0,26043.0,4.6
2017,Nov,64.3,61.4,568872.0,542833.0,26039.0,4.6
2017,Dec,64.3,61.4,568957.0,543131.0,25826.0,4.5
2018,Jan,64.3,61.4,569323.0,543936.0,25387.0,4.5
2018,Feb,64.4,61.6,570047.0,545295.0,24752.0,4.3
2018,Mar,64.4,61.7,571006.0,546964.0,24042.0,4.2
2018,Apr,64.5,61.9,571882.0,548476.0,23406.0,4.1
2018,May,64.5,61.9,572394.0,549460.0,22934.0,4.0
2018,Jun,64.5,62.0,572502.0,549846.0,22656.0,4.0
2018,Jul,64.4,61.9,572236.0,549668.0,22568.0,3.9
2018,Aug,64.4,61.8,571787.0,549143.0,22644.0,4.0
2018,Sep,64.3,61.7,571315.0,548556.0,22759.0,4.0
2018,Oct,64.2,61.6,570886.0,548133.0,22753.0,4.0
2018,Nov,64.1,61.6,570481.0,547946.0,22535.0,4.0
2018,Dec,64.1,61.6,570031.0,547966.0,22065.0,3.9
2019,Jan,64.0,61.6,569526.0,548130.0,21396.0,3.8
2019,Feb,63.9,61.6,569077.0,548452.0,20625.0,3.6
2019,Mar,63.9,61.6,568917.0,548954.0,19963.0,3.5
2019,Apr,63.9,61.7,569259.0,549676.0,19583.0,3.4
2019,May,64.0,61.8,570111.0,550557.0,19554.0,3.4
2019,Jun,64.1,61.9,571391.0,551537.0,19854.0,3.5
2019,Jul,64.2,62.0,572914.0,552569.0,20345.0,3.6
2019,Aug,64.4,62.0,574351.0,553569.0,20782.0,3.6
2019,Sep,64.4,62.1,575412.0,554568.0,20844.0,3.6
2019,Oct,64.5,62.2,576021.0,555379.0,20642.0,3.6
2019,Nov,64.5,62.2,576172.0,555744.0,20428.0,3.5
2019,Dec,64.4,62.1,575641.0,555168.0,20473.0,3.6
2020,Jan,64.2,61.9,574242.0,553451.0,20791.0,3.6
2020,Feb,63.9,61.6,571812.0,550807.0,21005.0,3.7
2020,Mar,63.5,61.2,568277.0,547596.0,20681.0,3.6
2020,Apr,61.0,49.8,546360.0,446095.0,100265.0,18.4
2020,May,63.6,53.7,569790.0,481072.0,88718.0,15.6
2020,Jun,63.6,55.0,569386.0,492500.0,76886.0,13.5
2020,Jul,64.0,56.2,572963.0,502979.0,69984.0,12.2
2020,Aug,63.5,57.0,569195.0,511008.0,58187.0,10.2
2020,Sep,63.9,57.8,572684.0,517575.0,55109.0,9.6
2020,Oct,62.5,58.2,560504.0,521896.0,38608.0,6.9
2020,Nov,62.9,58.6,563622.0,525037.0,38585.0,6.8
2020,Dec,63.1,58.8,565478.0,527526.0,37952.0,6.7
2021,Jan,63.1,59.1,565572.0,529936.0,35636.0,6.3
2021,Feb,63.2,59.4,567075.0,532386.0,34689.0,6.1
2021,Mar,63.4,59.6,568817.0,534768.0,34049.0,6.0
2021,Apr,63.7,59.9,571428.0,536799.0,34629.0,6.1
2021,May,63.8,60.0,572637.0,538315.0,34322.0,6.0
2021,Jun,64.0,60.1,574739.0,539247.0,35492.0,6.2
2021,Jul,64.0,60.1,574777.0,540006.0,34771.0,6.0
2021,Aug,63.9,60.2,574243.0,540775.0,33468.0,5.8
