Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,71.1,68.2,446838.0,428215.0,18623.0,4.2
2012,Feb,71.0,68.1,446604.0,428238.0,18366.0,4.1
2012,Mar,70.9,68.0,446419.0,428181.0,18238.0,4.1
2012,Apr,70.8,68.0,446316.0,428107.0,18209.0,4.1
2012,May,70.8,67.9,446395.0,428150.0,18245.0,4.1
2012,Jun,70.7,67.8,446684.0,428374.0,18310.0,4.1
2012,Jul,70.7,67.8,447093.0,428772.0,18321.0,4.1
2012,Aug,70.7,67.8,447503.0,429274.0,18229.0,4.1
2012,Sep,70.7,67.8,447850.0,429788.0,18062.0,4.0
2012,Oct,70.7,67.8,448011.0,430176.0,17835.0,4.0
2012,Nov,70.6,67.8,447969.0,430360.0,17609.0,3.9
2012,Dec,70.5,67.7,447801.0,430364.0,17437.0,3.9
2013,Jan,70.4,67.7,447554.0,430244.0,17310.0,3.9
2013,Feb,70.3,67.6,447340.0,430138.0,17202.0,3.8
2013,Mar,70.2,67.6,447292.0,430213.0,17079.0,3.8
2013,Apr,70.2,67.6,447485.0,430546.0,16939.0,3.8
2013,May,70.2,67.6,447737.0,430933.0,16804.0,3.8
2013,Jun,70.1,67.5,447878.0,431179.0,16699.0,3.7
2013,Jul,70.1,67.5,447845.0,431221.0,16624.0,3.7
2013,Aug,70.0,67.4,447657.0,431138.0,16519.0,3.7
2013,Sep,69.9,67.4,447422.0,431095.0,16327.0,3.6
2013,Oct,69.8,67.3,447347.0,431256.0,16091.0,3.6
2013,Nov,69.8,67.4,447564.0,431702.0,15862.0,3.5
2013,Dec,69.9,67.4,448026.0,432363.0,15663.0,3.5
2014,Jan,69.9,67.5,448617.0,433108.0,15509.0,3.5
2014,Feb,70.0,67.6,449189.0,433800.0,15389.0,3.4
2014,Mar,70.0,67.6,449621.0,434322.0,15299.0,3.4
2014,Apr,70.0,67.6,449846.0,434622.0,15224.0,3.4
2014,May,70.0,67.6,449972.0,434863.0,15109.0,3.4
2014,Jun,70.0,67.6,450202.0,435243.0,14959.0,3.3
2014,Jul,70.0,67.7,450600.0,435765.0,14835.0,3.3
2014,Aug,70.0,67.7,451166.0,436382.0,14784.0,3.3
2014,Sep,70.1,67.8,451792.0,437009.0,14783.0,3.3
