Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,69.5,66.1,355362.0,337888.0,17474.0,4.9
2012,Feb,69.4,66.0,354783.0,337552.0,17231.0,4.9
2012,Mar,69.3,66.0,354381.0,337236.0,17145.0,4.8
2012,Apr,69.3,65.9,354130.0,336947.0,17183.0,4.9
2012,May,69.2,65.9,354020.0,336755.0,17265.0,4.9
2012,Jun,69.2,65.9,353999.0,336688.0,17311.0,4.9
2012,Jul,69.2,65.8,353993.0,336722.0,17271.0,4.9
2012,Aug,69.2,65.8,353956.0,336820.0,17136.0,4.8
2012,Sep,69.1,65.8,353835.0,336908.0,16927.0,4.8
2012,Oct,69.1,65.8,353543.0,336872.0,16671.0,4.7
2012,Nov,69.0,65.7,353111.0,336683.0,16428.0,4.7
2012,Dec,68.8,65.7,352575.0,336348.0,16227.0,4.6
2013,Jan,68.7,65.6,351969.0,335874.0,16095.0,4.6
2013,Feb,68.6,65.5,351387.0,335357.0,16030.0,4.6
2013,Mar,68.5,65.4,350931.0,334949.0,15982.0,4.6
2013,Apr,68.4,65.3,350684.0,334772.0,15912.0,4.5
2013,May,68.4,65.3,350554.0,334741.0,15813.0,4.5
2013,Jun,68.3,65.3,350425.0,334728.0,15697.0,4.5
2013,Jul,68.3,65.3,350240.0,334676.0,15564.0,4.4
2013,Aug,68.2,65.2,349953.0,334580.0,15373.0,4.4
2013,Sep,68.1,65.2,349601.0,334486.0,15115.0,4.3
2013,Oct,68.1,65.2,349300.0,334450.0,14850.0,4.3
2013,Nov,68.0,65.2,349089.0,334466.0,14623.0,4.2
2013,Dec,68.0,65.2,348937.0,334491.0,14446.0,4.1
2014,Jan,68.0,65.2,348806.0,334528.0,14278.0,4.1
2014,Feb,67.9,65.2,348678.0,334573.0,14105.0,4.0
2014,Mar,67.9,65.2,348585.0,334605.0,13980.0,4.0
2014,Apr,67.9,65.2,348513.0,334580.0,13933.0,4.0
2014,May,67.9,65.2,348496.0,334560.0,13936.0,4.0
2014,Jun,67.9,65.2,348595.0,334637.0,13958.0,4.0
2014,Jul,67.9,65.2,348732.0,334745.0,13987.0,4.0
2014,Aug,67.9,65.2,348863.0,334843.0,14020.0,4.0
2014,Sep,67.9,65.2,348966.0,334944.0,14022.0,4.0
2014,Oct,67.9,65.2,348999.0,335064.0,13935.0,4.0
2014,Nov,67.9,65.2,348937.0,335207.0,13730.0,3.9
2014,Dec,67.8,65.2,348838.0,335378.0,13460.0,3.9
2015,Jan,67.8,65.2,348721.0,335527.0,13194.0,3.8
2015,Feb,67.7,65.2,348536.0,335570.0,12966.0,3.7
2015,Mar,67.7,65.2,348217.0,335461.0,12756.0,3.7
2015,Apr,67.6,65.1,347766.0,335199.0,12567.0,3.6
2015,May,67.5,65.0,347189.0,334785.0,12404.0,3.6
2015,Jun,67.3,64.9,346525.0,334255.0,12270.0,3.5
2015,Jul,67.2,64.8,345899.0,333746.0,12153.0,3.5
2015,Aug,67.1,64.7,345384.0,333349.0,12035.0,3.5
2015,Sep,67.0,64.7,345015.0,333114.0,11901.0,3.4
2015,Oct,66.9,64.7,344859.0,333101.0,11758.0,3.4
2015,Nov,66.9,64.7,344913.0,333306.0,11607.0,3.4
2015,Dec,67.0,64.8,345067.0,333646.0,11421.0,3.3
2016,Jan,67.0,64.8,345245.0,334036.0,11209.0,3.2
2016,Feb,67.1,64.9,345423.0,334400.0,11023.0,3.2
2016,Mar,67.1,65.0,345578.0,334690.0,10888.0,3.2
2016,Apr,67.1,65.0,345690.0,334876.0,10814.0,3.1
2016,May,67.1,65.0,345778.0,334986.0,10792.0,3.1
2016,Jun,67.1,65.0,345859.0,335071.0,10788.0,3.1
2016,Jul,67.1,65.0,345924.0,335154.0,10770.0,3.1
2016,Aug,67.1,65.0,345995.0,335259.0,10736.0,3.1
2016,Sep,67.1,65.0,346058.0,335351.0,10707.0,3.1
2016,Oct,67.1,65.0,346102.0,335396.0,10706.0,3.1
2016,Nov,67.1,65.0,346202.0,335457.0,10745.0,3.1
2016,Dec,67.1,65.0,346418.0,335584.0,10834.0,3.1
2017,Jan,67.3,65.2,354265.0,343122.0,11143.0,3.1
2017,Feb,67.3,65.2,354646.0,343512.0,11134.0,3.1
2017,Mar,67.4,65.3,354970.0,343933.0,11037.0,3.1
2017,Apr,67.4,65.3,355243.0,344374.0,10869.0,3.1
2017,May,67.4,65.4,355445.0,344781.0,10664.0,3.0
2017,Jun,67.4,65.4,355561.0,345064.0,10497.0,3.0
2017,Jul,67.4,65.4,355638.0,345221.0,10417.0,2.9
2017,Aug,67.3,65.4,355664.0,345249.0,10415.0,2.9
2017,Sep,67.3,65.3,355642.0,345179.0,10463.0,2.9
2017,Oct,67.3,65.3,355610.0,345095.0,10515.0,3.0
2017,Nov,67.2,65.2,355605.0,345035.0,10570.0,3.0
2017,Dec,67.2,65.2,355711.0,345122.0,10589.0,3.0
