Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,68.7,63.9,3070628.0,2854971.0,215657.0,7.0
2012,Feb,68.6,63.9,3068522.0,2855567.0,212955.0,6.9
2012,Mar,68.6,63.8,3067746.0,2855416.0,212330.0,6.9
2012,Apr,68.5,63.8,3067471.0,2854173.0,213298.0,7.0
2012,May,68.5,63.7,3067402.0,2852787.0,214615.0,7.0
2012,Jun,68.5,63.7,3067586.0,2852421.0,215165.0,7.0
2012,Jul,68.5,63.7,3068026.0,2853712.0,214314.0,7.0
2012,Aug,68.5,63.7,3068963.0,2856403.0,212560.0,6.9
2012,Sep,68.4,63.7,3070787.0,2859838.0,210949.0,6.9
2012,Oct,68.5,63.8,3072854.0,2862941.0,209913.0,6.8
2012,Nov,68.5,63.8,3074792.0,2864732.0,210060.0,6.8
2012,Dec,68.5,63.8,3076106.0,2864807.0,211299.0,6.9
2013,Jan,68.4,63.7,3076445.0,2863647.0,212798.0,6.9
2013,Feb,68.4,63.7,3076554.0,2862894.0,213660.0,6.9
2013,Mar,68.4,63.7,3077411.0,2864201.0,213210.0,6.9
2013,Apr,68.5,63.8,3079639.0,2868180.0,211459.0,6.9
2013,May,68.5,63.8,3082194.0,2873099.0,209095.0,6.8
2013,Jun,68.5,63.9,3083584.0,2876730.0,206854.0,6.7
2013,Jul,68.4,63.9,3083217.0,2878077.0,205140.0,6.7
2013,Aug,68.3,63.8,3080977.0,2877730.0,203247.0,6.6
2013,Sep,68.2,63.8,3077408.0,2877039.0,200369.0,6.5
2013,Oct,68.1,63.8,3073994.0,2877113.0,196881.0,6.4
2013,Nov,68.0,63.8,3071951.0,2878978.0,192973.0,6.3
2013,Dec,68.0,63.8,3071403.0,2882705.0,188698.0,6.1
2014,Jan,68.0,63.9,3071739.0,2887465.0,184274.0,6.0
2014,Feb,68.0,64.0,3072006.0,2892285.0,179721.0,5.9
2014,Mar,68.0,64.1,3072114.0,2896598.0,175516.0,5.7
2014,Apr,67.9,64.1,3072178.0,2900257.0,171921.0,5.6
2014,May,67.9,64.2,3072776.0,2904115.0,168661.0,5.5
2014,Jun,67.9,64.3,3074787.0,2909425.0,165362.0,5.4
2014,Jul,68.0,64.4,3077724.0,2915883.0,161841.0,5.3
2014,Aug,68.0,64.5,3081114.0,2922633.0,158481.0,5.1
2014,Sep,68.1,64.6,3084262.0,2928668.0,155594.0,5.0
2014,Oct,68.1,64.7,3086117.0,2933222.0,152895.0,5.0
2014,Nov,68.0,64.7,3085929.0,2935868.0,150061.0,4.9
2014,Dec,68.0,64.7,3084481.0,2937011.0,147470.0,4.8
2015,Jan,67.9,64.7,3082864.0,2937399.0,145465.0,4.7
2015,Feb,67.9,64.7,3081614.0,2937529.0,144085.0,4.7
2015,Mar,67.9,64.7,3080867.0,2938085.0,142782.0,4.6
2015,Apr,67.8,64.7,3080496.0,2939372.0,141124.0,4.6
2015,May,67.8,64.8,3080195.0,2941178.0,139017.0,4.5
2015,Jun,67.8,64.8,3079718.0,2943053.0,136665.0,4.4
2015,Jul,67.7,64.8,3079639.0,2945129.0,134510.0,4.4
2015,Aug,67.7,64.8,3080585.0,2947761.0,132824.0,4.3
2015,Sep,67.8,64.9,3082966.0,2951433.0,131533.0,4.3
2015,Oct,67.8,65.0,3087350.0,2956772.0,130578.0,4.2
2015,Nov,67.9,65.1,3093448.0,2963483.0,129965.0,4.2
2015,Dec,68.1,65.2,3099913.0,2970598.0,129315.0,4.2
2016,Jan,68.2,65.3,3105263.0,2977051.0,128212.0,4.1
