"GeoFips","GeoName","LineCode","Description","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1","2018:Q2","2018:Q3","2018:Q4","2019:Q1","2019:Q2","2019:Q3","2019:Q4","2020:Q1","2020:Q2","2020:Q3","2020:Q4","2021:Q1","2021:Q2","2021:Q3"
"01000","Alabama","1","Personal income (millions of dollars, seasonally adjusted)",171805.2,173476.2,171972.3,176192.9,174319.6,175041.3,176099.1,175281.1,176964.1,179958.8,182473.3,184918.8,187220.2,188690.9,190223.3,190327.5,191242.8,191888.1,192446.5,193876.4,196920.4,198525.0,199752.5,202147.7,204412.1,205930.8,207561.9,210309.6,213580.1,215125.8,216690.0,218325.6,220503.8,239992.0,228757.7,225741.7,260165.8,237569.3,239070.3
"01000","Alabama","2","Population (midperiod, persons) 1/",4811070,4814535,4819450,4824247,4826744,4829571,4833698,4837723,4840041,4842263,4846064,4849924,4851546,4853403,4856986,4860795,4862857,4865180,4868953,4872717,4874595,4876408,4880452,4884778,4886938,4889702,4894401,4899364,4902271,4905709,4910975,4916419,4919385,4920954,4924127,4928670,4930141,4932200,4936526
"01000","Alabama","3","Per capita personal income (dollars) 2/",35710,36032,35683,36522,36115,36244,36432,36232,36563,37164,37654,38128,38590,38878,39165,39156,39327,39441,39525,39788,40397,40711,40929,41383,41828,42115,42408,42926,43568,43852,44124,44407,44823,48769,46456,45802,52770,48167,48429
"02000","Alaska *","1","Personal income (millions of dollars, seasonally adjusted)",38971.6,39289.6,39137.2,39665.6,38716.5,38734.6,39155.8,39305.2,40486.2,41091.7,41423.0,41839.0,42474.1,42605.6,42582.9,42557.8,41822.5,41716.9,41787.2,42023.0,42003.9,42202.2,42708.6,43073.7,43506.8,43730.3,44436.4,44737.2,44947.1,45149.9,45450.0,45628.5,45416.0,48729.7,45631.7,45943.8,50908.5,48328.8,48619.0
"02000","Alaska *","2","Population (midperiod, persons) 1/",727712,729758,731774,733633,735202,736761,737598,737598,737379,737141,737359,737840,738031,738269,739008,740106,741037,742012,742454,742186,741673,741148,740519,739538,738291,737131,736322,735674,734770,733948,733448,733072,732407,731605,730832,730138,729197,728469,727870
"02000","Alaska *","3","Per capita personal income (dollars) 2/",53554,53839,53483,54067,52661,52574,53086,53288,54905,55745,56177,56705,57551,57710,57622,57502,56438,56221,56283,56621,56634,56942,57674,58244,58929,59325,60349,60811,61172,61516,61968,62243,62009,66607,62438,62925,69814,66343,66796
"04000","Arizona","1","Personal income (millions of dollars, seasonally adjusted)",234167.8,237047.1,235982.2,244039.0,240161.4,243169.5,244888.4,246790.0,252123.8,255360.9,258837.9,262766.6,267031.2,270117.2,271265.9,274847.8,277248.9,280824.1,284220.1,286047.5,291952.2,295172.3,300483.3,304011.9,310010.7,313092.9,318117.1,321708.0,328327.3,331518.5,335868.4,340381.5,345632.5,386818.9,375055.6,366327.6,412559.1,385100.4,388859.8
"04000","Arizona","2","Population (midperiod, persons) 1/",6526567,6546070,6567653,6588918,6606778,6624834,6647932,6674067,6697498,6720717,6746899,6773603,6796911,6820390,6847944,6877272,6903891,6930680,6958940,6986514,7010943,7035055,7063884,7094536,7121796,7149569,7181461,7214922,7245115,7275739,7310196,7345938,7378105,7407412,7439087,7473388,7503701,7534248,7568199
"04000","Arizona","3","Per capita personal income (dollars) 2/",35879,36212,35931,37038,36351,36706,36837,36977,37644,37996,38364,38793,39287,39604,39613,39965,40158,40519,40842,40943,41642,41957,42538,42852,43530,43792,44297,44589,45317,45565,45945,46336,46846,52221,50417,49018,54981,51113,51381
"05000","Arkansas","1","Personal income (millions of dollars, seasonally adjusted)",106004.7,107754.5,106758.9,110991.0,107782.3,108226.1,108785.2,108677.5,111803.6,114221.9,115468.9,117478.9,117047.3,118150.5,119449.8,120230.4,120694.3,121543.1,122023.1,123043.2,124745.6,125168.2,125748.9,127457.1,128744.9,129853.4,131484.2,133378.3,134301.9,134456.4,135673.5,136778.9,137821.2,151525.8,141731.5,141513.0,162843.0,150557.8,151651.5
